component,year,paired_mean_ladrillo,paired_se_ladrillo,paired_mean_brick20,paired_se_brick20,med_diff_ladrillo,med_diff_brick20
glaciers,2100,-0.004857041837278994,0.012351498473250622,0.07070558020298222,0.010047212278346908,-0.047610403152241076,0.07377767562866211
gis,2100,0.03455505177279427,0.011443743733195726,0.03287189955167769,0.005812202132626767,-0.006766419694951509,0.011183500289916992
ais,2100,0.7335649904973718,0.13367096927551322,1.2374450155817762,0.17324721318403222,2.8061221364897797,3.013833999633789
te,2100,-0.7284455158167908,0.02776517745546608,-0.6987634618729638,0.02756371272395618,-0.8823104305276956,-0.979156494140625
lws,2100,0.0,0.0,0.0,0.0,0.0,0.0
total,2100,0.03481748461609526,0.1680256384766421,0.6422590334634718,0.19501719211080398,2.169674923738924,2.6183738708496094
