scenario,component,model,module,year,med,p17,p83
ssp126,glaciers,BRICK-AM,extA108,2100,6.379714001474668,5.893303102451525,6.998842000662334
ssp126,glaciers,FACTS,ar5glaciers,2100,8.947757720947266,6.6808431930542,11.167167922973633
ssp126,glaciers,FACTS,emuglaciers,2100,9.245886611938475,7.045029983520508,11.149871559143069
ssp126,glaciers,BRICK-AM,extA108,2150,7.909471360766495,7.233081182782089,8.852398492926692
ssp126,glaciers,FACTS,ar5glaciers,2150,11.99919776916504,8.879051254272461,15.299617691040035
ssp126,gis,BRICK-AM,extA108,2100,6.105245538148065,5.234313397988331,7.146605277910815
ssp126,gis,FACTS,FittedISMIP,2100,7.673104858398438,5.77243059539795,9.57296809387207
ssp126,gis,FACTS,emuGrIS,2100,5.45550937652588,1.1131318149566654,9.90415538787842
ssp126,gis,FACTS,bamber19,2100,13.047777557373047,7.096977684020998,25.77977709960937
ssp126,gis,BRICK-AM,extA108,2150,9.23434902386056,7.8866085850522065,10.808357273108934
ssp126,gis,FACTS,FittedISMIP,2150,13.178759765625,10.020847290039065,16.53970703125
ssp126,gis,FACTS,bamber19,2150,22.202161407470705,12.224450233459477,62.948309204101555
ssp126,ais,BRICK-AM,extA108,2100,4.886317605580974,4.341498395587785,5.400782671953444
ssp126,ais,FACTS,ar5AIS,2100,6.307804107666016,-2.028386013031005,13.577141555786136
ssp126,ais,FACTS,larmip,2100,11.89890022277832,4.535318008422852,24.730479736328128
ssp126,ais,FACTS,deconto21,2100,8.944500350952149,6.814640205383301,12.255460556030272
ssp126,ais,FACTS,emuAIS,2100,9.451589584350586,2.9757373580932622,14.35746189880371
ssp126,ais,FACTS,bamber19,2100,9.072666549682618,-0.0715103307962416,35.27146798706053
ssp126,ais,BRICK-AM,extA108,2150,7.563990869308579,6.6904677070926155,8.392443140812818
ssp126,ais,FACTS,ar5AIS,2150,13.154358673095704,-4.921828285217284,28.774102783203126
ssp126,ais,FACTS,larmip,2150,22.690328979492183,10.19671827697754,44.902688476562496
ssp126,ais,FACTS,deconto21,2150,26.337498474121094,14.677999877929688,45.321997070312506
ssp126,ais,FACTS,bamber19,2150,19.16692123413086,-1.08775993824005,61.19860046386716
ssp126,te,BRICK-AM,extA108,2100,12.80023684480932,12.241217430669,13.324457006713818
ssp126,te,FACTS,tlm,2100,14.051470184326172,11.103546310424806,17.004645126342773
ssp126,te,BRICK-AM,extA108,2150,16.01891437098154,15.319326993388492,16.67495206676024
ssp126,te,FACTS,tlm,2150,17.84750442504883,13.854631210327147,22.742835494995116
ssp126,lws,BRICK-AM,extA108,2100,2.596380650083528,2.596380650083528,2.596380650083528
ssp126,lws,FACTS,ssp-lws,2100,2.993846035003662,1.7497439422607424,4.248064918518066
ssp126,lws,BRICK-AM,extA108,2150,4.2307986469202445,4.2307986469202445,4.2307986469202445
ssp126,lws,FACTS,ssp-lws,2150,4.579002952575683,2.9082854480743414,6.333167640686035
ssp126,total,BRICK-AM,extA108,2100,32.9168573085837,31.80579166385636,34.13822603696155
ssp126,total,FACTS,wf1e,2100,41.24717559814454,32.69792321777344,50.470581268310546
ssp126,total,FACTS,wf1f,2100,39.781672668457034,31.052291625976565,48.501768585205085
ssp126,total,FACTS,wf2e,2100,45.89555053710937,35.163408752441406,60.084247985839845
ssp126,total,FACTS,wf2f,2100,46.11367187500001,37.03752734375,61.28592565917969
ssp126,total,FACTS,wf3e,2100,41.1756576538086,34.12974697875977,48.78156344604492
ssp126,total,FACTS,wf3f,2100,43.106806945800784,36.95658169555664,50.00436895751953
ssp126,total,FACTS,wf4,2100,53.467114257812504,35.53908325195312,83.86600970458979
ssp126,total,BRICK-AM,extA108,2150,45.1641102003278,43.495106906034934,47.03908749556238
ssp126,total,FACTS,wf1f,2150,60.20204772949219,43.493293151855475,77.60042449951172
ssp126,total,FACTS,wf2f,2150,72.02442321777343,55.06754907226563,97.50404052734376
ssp126,total,FACTS,wf3f,2150,74.9017333984375,60.432299987792966,96.60013793945312
ssp126,total,FACTS,wf4,2150,83.12250061035158,52.539689208984385,144.17760522460935
ssp245,glaciers,BRICK-AM,extA108,2100,6.775177261082309,6.243422472191661,7.510792815199056
ssp245,glaciers,FACTS,ar5glaciers,2100,11.37566032409668,8.57790554046631,14.275904403686525
ssp245,glaciers,FACTS,emuglaciers,2100,12.210803222656253,10.03072876739502,14.392802841186525
ssp245,glaciers,BRICK-AM,extA108,2150,8.85814256896575,8.064283202022256,9.996791447601844
ssp245,glaciers,FACTS,ar5glaciers,2150,17.53253402709961,13.17518118286133,22.52513494873047
ssp245,gis,BRICK-AM,extA108,2100,6.648706213210154,5.5442256184080065,7.93397334475545
ssp245,gis,FACTS,FittedISMIP,2100,10.206577682495118,7.825998588562013,12.147649772644044
ssp245,gis,FACTS,emuGrIS,2100,7.969259643554688,3.512177669525147,12.172385856628418
ssp245,gis,FACTS,bamber19,2100,14.39277801513672,6.785407611846927,38.79677709960937
ssp245,gis,BRICK-AM,extA108,2150,10.871285597555636,8.87197115983605,13.293204515707853
ssp245,gis,FACTS,FittedISMIP,2150,18.194348907470705,14.368693572998048,22.767957626342778
ssp245,gis,FACTS,bamber19,2150,25.616963958740236,12.596490844726564,67.11652081298827
ssp245,ais,BRICK-AM,extA108,2100,13.917266954845266,5.487971536393971,40.48863955089816
ssp245,ais,FACTS,ar5AIS,2100,5.541271972656251,-2.9606990432739253,12.89980142211914
ssp245,ais,FACTS,larmip,2100,12.73363037109375,4.416555896759034,26.742700958251945
ssp245,ais,FACTS,deconto21,2100,10.380000305175782,7.090049301147461,33.13256927490234
ssp245,ais,FACTS,emuAIS,2100,9.068058395385744,2.6231082859039323,14.098964096069334
ssp245,ais,FACTS,bamber19,2100,13.709166717529296,-0.2005333281755425,49.85356707763672
ssp245,ais,BRICK-AM,extA108,2150,58.629831065038445,10.731156348487763,98.8321700423868
ssp245,ais,FACTS,ar5AIS,2150,10.906217956542967,-7.55331105041504,26.899517578125
ssp245,ais,FACTS,larmip,2150,27.68946075439453,11.611618133544924,54.940114013671874
ssp245,ais,FACTS,deconto21,2150,30.27900085449219,17.01300048828125,221.21785253906245
ssp245,ais,FACTS,bamber19,2150,25.19712142944336,2.3493641252517774,84.7721173095703
ssp245,te,BRICK-AM,extA108,2100,16.770344998427632,16.03794070391228,17.457156740808394
ssp245,te,FACTS,tlm,2100,18.838010406494146,15.368673248291016,22.66759866333008
ssp245,te,BRICK-AM,extA108,2150,24.814474359783546,23.73076215297142,25.83072491234543
ssp245,te,FACTS,tlm,2150,28.643949890136717,22.82690203857422,35.29216430664062
ssp245,lws,BRICK-AM,extA108,2100,2.596380650083528,2.596380650083528,2.596380650083528
ssp245,lws,FACTS,ssp-lws,2100,3.1142893791198736,1.7047377243041997,4.498165267944336
ssp245,lws,BRICK-AM,extA108,2150,4.2307986469202445,4.2307986469202445,4.2307986469202445
ssp245,lws,FACTS,ssp-lws,2150,5.196758460998535,3.063929901123047,7.269112739562988
ssp245,total,BRICK-AM,extA108,2100,47.52447305851874,38.23073561421035,73.64285050137912
ssp245,total,FACTS,wf1e,2100,51.179089355468754,42.06135549926758,61.87601055908203
ssp245,total,FACTS,wf1f,2100,48.682986450195315,39.00409555053711,58.14907543945313
ssp245,total,FACTS,wf2e,2100,57.095062255859375,45.63274832153321,74.46622088623047
ssp245,total,FACTS,wf2f,2100,56.914437866210946,45.998819061279306,75.2179937133789
ssp245,total,FACTS,wf3e,2100,53.50764465332031,44.907590972900394,79.18834930419922
ssp245,total,FACTS,wf3f,2100,55.081787109375,46.7848959350586,81.15491802978514
ssp245,total,FACTS,wf4,2100,67.89636535644532,45.19120812988282,120.2024659423828
ssp245,total,BRICK-AM,extA108,2150,107.07566083041812,60.200446462802496,147.92042345715336
ssp245,total,FACTS,wf1f,2150,80.04207153320314,61.94434643554688,99.30250323486328
ssp245,total,FACTS,wf2f,2150,98.1462615966797,79.86429058837892,134.62259033203125
ssp245,total,FACTS,wf3f,2150,105.22191772460938,83.12649566650391,300.36357373046866
ssp245,total,FACTS,wf4,2150,111.18673095703126,71.92717626953126,207.70700097656243
ssp585,glaciers,BRICK-AM,extA108,2100,7.189559983378,6.593390288638636,8.110985802407193
ssp585,glaciers,FACTS,ar5glaciers,2100,15.46291961669922,11.871930618286134,19.862710311889646
ssp585,glaciers,FACTS,emuglaciers,2100,17.72603988647461,15.04999397277832,20.231552719116213
ssp585,glaciers,BRICK-AM,extA108,2150,9.466767201008947,8.544282289607352,10.900592134020602
ssp585,glaciers,FACTS,ar5glaciers,2150,28.4041748046875,21.262944229125974,31.570001220703126
ssp585,gis,BRICK-AM,extA108,2100,7.914005778298581,6.289962774189865,9.9271384638554
ssp585,gis,FACTS,FittedISMIP,2100,14.015732574462891,10.970763641357422,17.35151599121094
ssp585,gis,FACTS,emuGrIS,2100,12.718230056762696,7.797450233459473,17.118047790527342
ssp585,gis,FACTS,bamber19,2100,20.277777099609377,8.278077583312992,49.79477709960938
ssp585,gis,BRICK-AM,extA108,2150,15.480895498714284,11.538334006036845,20.73399253613914
ssp585,gis,FACTS,FittedISMIP,2150,27.330293273925783,20.9535464630127,33.481986083984374
ssp585,gis,FACTS,bamber19,2150,38.12635498046875,15.10679061889649,78.76690844726558
ssp585,ais,BRICK-AM,extA108,2100,46.212326334696016,31.068259147161015,65.32881783948572
