era,t_glac_C,exc_A_K,obs_rate_mm_yr,rate_A_mm_yr,rate_B_mm_yr
1900-1919,-0.0560,0.6677,0.8905,0.2368,0.1200
1920-1949,0.5119,1.1349,0.9587,0.6079,0.3036
1950-1979,0.4526,0.9063,0.5196,0.3868,0.2374
1980-1999,0.8118,1.1565,0.5432,0.5744,0.3482
2000-2023,1.6773,1.8067,0.7292,1.1670,0.6893
