arm,model,forcing,tap,component,horizon,n_draws,base_med_cm,policy_med_cm,avoided_med_cm,avoided_mean_cm,avoided_p2_5_cm,avoided_p97_5_cm,avoided_p05_cm,avoided_p95_cm
noegu50,Ladrillo L24,raw,false,glaciers,2050,2000,3.9814947175211906,3.974576530261767,0.007763916026979345,0.007981755188223217,0.004666263343875654,0.012553667975728103,0.00503024282192781,0.011694344388491994
noegu50,Ladrillo L24,raw,false,glaciers,2100,2000,9.571968494984263,9.52414978577923,0.04758554834968454,0.0486531505002958,0.02908254530883232,0.07461252292753129,0.03187267595450747,0.06855751003546241
noegu50,Ladrillo L24,raw,false,glaciers,2150,2000,13.29509434900575,13.21554293317466,0.08605711746172418,0.08703471583241909,0.05417252618212811,0.1253478253955103,0.05904433123228063,0.11850069915041833
noegu50,Ladrillo L24,raw,false,glaciers,2200,2000,15.667855151234141,15.541361863101148,0.11804529632545169,0.11944427051382024,0.07464670659876034,0.1702739856756324,0.0819018839567799,0.1609587062247904
noegu50,Ladrillo L24,raw,false,glaciers,2300,2000,18.21674491759998,18.04305368689497,0.1727483098313396,0.17355064212349522,0.10315674321089822,0.25171261372780185,0.11287074281606593,0.23746670394047217
noegu50,Ladrillo L24,raw,false,gis,2050,2000,3.2754382547893486,3.2681423583906777,0.006326153540189949,0.006544532864652837,0.0038737798631023777,0.010403220961290139,0.004182716561446931,0.009723985139923917
noegu50,Ladrillo L24,raw,false,gis,2100,2000,8.255719931398612,8.210475107955986,0.04633001615192267,0.05173471786090855,0.028123513814474997,0.10282917196772044,0.03025363972238573,0.0886668263657002
noegu50,Ladrillo L24,raw,false,gis,2150,2000,11.96872981836689,11.872377544782568,0.10220898208253892,0.1175898346332836,0.059448642920283803,0.24748330542992508,0.06400683350590564,0.211390408718648
noegu50,Ladrillo L24,raw,false,gis,2200,2000,14.679374719726274,14.517393128616666,0.17264582216677837,0.193965276700314,0.09224238120997477,0.4066549917121938,0.0985989405199385,0.35747111910780727
noegu50,Ladrillo L24,raw,false,gis,2300,2000,17.530260241580862,17.223254719671058,0.3157944088586735,0.35645607580403643,0.15689442477136853,0.7835990827753738,0.16941878493766485,0.6768788273417911
noegu50,Ladrillo L24,raw,false,ais,2050,2000,1.92215086745645,1.9193180428913932,0.0021467208559780016,0.014237220708091396,0.000817127785465166,0.004510222222725306,0.0009760382743179142,0.003879337381966507
noegu50,Ladrillo L24,raw,false,ais,2100,2000,7.7922246202303995,7.3210668236208045,0.02627438865699938,0.3060936962703635,0.009130919419737381,2.2326086019181197,0.010698698779516657,1.6402853288680836
noegu50,Ladrillo L24,raw,false,ais,2150,2000,39.422892938041755,37.737551628234556,0.10336243703088055,0.8608126507662375,0.026242058424885736,5.257163250422866,0.03164502078633485,4.1373473322254775
noegu50,Ladrillo L24,raw,false,ais,2200,2000,79.98312233365738,77.3001740525547,0.2818450234569667,1.5534096821795125,0.05012333206261301,9.252241887765752,0.06311034125149932,7.327867034076727
noegu50,Ladrillo L24,raw,false,ais,2300,2000,156.60446805793183,149.70490698643022,0.9086650950589501,3.526699962209034,0.1158964913960725,24.66904559158203,0.1515265421937973,17.964227449109536
noegu50,Ladrillo L24,raw,false,te,2050,2000,8.559882462353025,8.539956527739305,0.021042363181314805,0.021247990687962612,0.014644046025405899,0.028925113653593872,0.015755563513382365,0.027234304527251396
noegu50,Ladrillo L24,raw,false,te,2100,2000,20.28498631943956,20.173084489463008,0.11048756272974103,0.11231499139498397,0.07225000203263564,0.16243675723233028,0.07721017428337812,0.15159682447175696
noegu50,Ladrillo L24,raw,false,te,2150,2000,29.64020852165097,29.403008614835095,0.24289734356781523,0.24807406225087622,0.14489385285845646,0.37793775068112473,0.1641695064700759,0.345878170332281
noegu50,Ladrillo L24,raw,false,te,2200,2000,37.16874680373728,36.75475625847105,0.4039797121603321,0.41438065360424325,0.22968855674076777,0.6539697201951628,0.26340186032428115,0.5966394601028544
noegu50,Ladrillo L24,raw,false,te,2300,2000,45.8084736508643,45.07736965584405,0.7908083755837225,0.8150879175511083,0.41828481317859306,1.3581553379994218,0.488270307284324,1.2276327657105062
noegu50,Ladrillo L24,raw,false,lws,2050,2000,1.0367873592541808,1.0367873592541808,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,raw,false,lws,2100,2000,2.596380650083528,2.596380650083528,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,raw,false,lws,2150,2000,4.2307986469202445,4.2307986469202445,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,raw,false,lws,2200,2000,5.648882730278795,5.648882730278795,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,raw,false,lws,2300,2000,8.483616077316128,8.483616077316128,0.0,0.0,0.0,0.0,0.0,0.0
noegu50,Ladrillo L24,raw,false,total,2050,2000,18.867174695065835,18.8090662499158,0.03728671972021935,0.05001149944892991,0.027618777293079065,0.05353671757618736,0.02920069867842088,0.04987251586365496
noegu50,Ladrillo L24,raw,false,total,2100,2000,52.14264280978328,51.39434766220008,0.24357684080617759,0.5187965560265516,0.15764320396404355,2.457956342460192,0.16959492285553104,1.8886361930246507
noegu50,Ladrillo L24,raw,false,total,2150,2000,100.13737615452601,96.8095342661458,0.6247869717717123,1.3135112634828163,0.33500577124643643,5.702936964674513,0.36106562643484136,4.589076061751428
noegu50,Ladrillo L24,raw,false,total,2200,2000,155.60597914735425,150.59396016964968,1.1819760294848294,2.281199882997891,0.5297093835062696,10.035694556077813,0.5793939102246213,7.959512650955117
noegu50,Ladrillo L24,raw,false,total,2300,2000,249.3597255747802,243.46864343963009,2.4812543646451957,4.871794597687674,0.9753118931401205,25.93832145053147,1.0725502709558867,19.191803547570977
