draw,obs_iid_ais,obs_iid_gsic,obs_iid_gis,obs_iid_steric,obs_iid_fit,obs_iid_total,ar1_prof_ais,ar1_prof_ais_sd,ar1_prof_ais_rho,ar1_prof_gsic,ar1_prof_gsic_sd,ar1_prof_gsic_rho,ar1_prof_gis,ar1_prof_gis_sd,ar1_prof_gis_rho,ar1_prof_steric,ar1_prof_steric_sd,ar1_prof_steric_rho,ar1_prof_fit,ar1_prof_total,model
1,118.4604108390639,-62.13333870458051,108.62150437734103,-705.4517016929411,-540.5031251811167,-171.97848932326568,120.21882061076501,0.015364864352564907,0.8072919941574688,-3.6329883491395947,0.046108147243387375,0.9899999999934241,111.92402918403941,0.016079829521712906,0.8361219171954766,9.385883987491425,0.07498880443793582,0.9897539771170168,237.89574543315626,-168.00010722525224,ladrillo
6,118.15611157618515,-87.17406498621015,109.31869720610528,-885.72894275034,-745.4281989542598,-175.09283105090782,119.46376663176495,0.015988801965599285,0.7609165329514805,-6.615894375304748,0.055004262805113086,0.9899999999939118,110.79717098892841,0.01238535104409846,0.8793638003486267,8.763536468396055,0.07713044082802592,0.9895920174572411,232.40857971378466,-168.44165074014717,ladrillo
11,118.8218774702349,-8.33014771227002,107.43360751753566,-899.4198090289661,-681.4944717534656,-174.06289377637825,119.81965568283302,0.014862125613940076,0.7889429764228274,-0.6295784955671166,0.03414253223908805,0.9899999999961793,110.71378939315552,0.018071243520337833,0.797888566650595,8.71603470872627,0.0772853031641094,0.9895993428681082,238.61990128914772,-167.6743064930584,ladrillo
16,119.39656957234367,-34.339586227679945,107.35282581382496,-510.3143008088623,-317.90449165037364,-182.18457101479675,120.10478268507963,0.014235709452830089,0.7387469006674205,-7.486515469205912,0.05557162117953236,0.9899999999756042,110.29426534676126,0.015922632166315287,0.8900016174946257,10.034719654405336,0.07268986538229263,0.989999999058134,232.9472522170403,-170.0414570035498,ladrillo
21,116.72619144864696,-89.71665990086154,102.04321705602693,-609.7184937775631,-480.6657451737508,-178.61626643353043,119.25848100597922,0.01652122278519345,0.8126398592887145,-8.109748312580308,0.05915084866042407,0.9899999998929921,107.95191315456971,0.01702996985290183,0.9099189930572262,9.709918434827244,0.0737982849025838,0.9899999962594015,228.81056428279587,-169.5452514666138,ladrillo
26,120.15313515351649,-34.86954154928432,110.76345163377003,-166.15100865628983,29.896036581712366,-195.02298226233796,120.84122461780682,0.013586723574532373,0.7443083611337403,-6.599047331530102,0.0534865356055879,0.9899999999752198,111.78761141527725,0.012644964093965965,0.8263528641382579,9.84362523506178,0.07378119512815938,0.9899999999393057,235.87341393661575,-172.0294980461228,ladrillo
31,118.46841285752318,-44.46294868931902,107.90112577865243,-1183.8995950697852,-1001.9930051229286,-175.7966659719998,119.56473636112044,0.014825578530969328,0.8160049822142204,-6.631469954245773,0.05339677501347188,0.9899999999894827,110.7514990048155,0.01581546850675708,0.8524178097301649,7.735674395223967,0.0803663886146589,0.989999997175316,231.42043980691415,-168.24183836048059,ladrillo
36,117.81578543163833,-97.90089145278365,108.44701677140496,-924.6188432576926,-796.2569325074329,-174.29687082262026,119.38796784164269,0.014382833904235243,0.8547446340092948,-6.149760158506922,0.05402226239768562,0.9899999999492852,111.01277862057468,0.014077191489544606,0.897818445784395,8.628606184403267,0.0775678202025686,0.9896208661750401,232.8795924881137,-168.56399462070857,ladrillo
41,118.43004302639856,-249.10905433649003,109.92524696689254,-1074.098407236812,-1094.852171580011,-169.0723322398865,119.39604489464504,0.01447856996275777,0.8021407913695409,-7.77905031088666,0.060990771986080876,0.9899999999826663,111.8605441626694,0.014704991271676784,0.832485101717425,8.111630604762055,0.07917742620335443,0.9898877915218187,231.58916935118987,-167.07830822643533,ladrillo
46,119.39723193327781,-152.0280883076705,108.93067817210947,-538.6885181119926,-462.3886963142758,-172.00933088540435,119.86498326584562,0.013350751126059485,0.7401865466492444,-11.19361370116566,0.06812855946772965,0.9899999999894011,111.25526615945337,0.016205229358003965,0.8046534288402079,9.9437589694151,0.07299971963033992,0.9899999996590689,229.87039469354846,-167.95209845788273,ladrillo
