model,driver,year,N,pulse_median,pulse_mean
BRICK-AM,MAGICC,2100,600,4.765956594616938,19.897722802176684
BRICK-AM,MAGICC,2150,600,7.180625984287303,32.30975448927052
BRICK-AM,FaIR_stoch,2100,841,4.568234024699791,16.701931723536173
BRICK-AM,FaIR_stoch,2150,841,6.803817215600816,25.793502233653907
BRICK2.0,MAGICC,2100,600,5.610711911952393,20.270280612041848
BRICK2.0,MAGICC,2150,600,8.100662596292809,31.217193993819915
BRICK2.0,FaIR_stoch,2100,841,5.369646980581422,17.784612207029955
BRICK2.0,FaIR_stoch,2150,841,7.757886766989941,27.204837984598257
