component,year,obs,p50,bias,in90,in_sample
ais,1900,-0.6340783032503996,-0.6960374628665768,-0.06195915961617715,true,true
glaciers,1900,-7.27700420293,-6.394577748622943,0.8824264543070566,true,true
gis,1900,-4.130332357233222,-4.084245532222752,0.04608682501046957,true,true
te,1900,-3.6098928928375242,-3.6061723687002365,0.0037205241372877396,true,true
total,1900,-13.937918849348069,-13.436494842848607,0.5014240064994624,true,false
ais,1950,-0.36264223185452554,-0.47256905725535,-0.10992682540082443,true,true
glaciers,1950,-2.64135585698,-2.9292101374251813,-0.28785428044518113,true,true
gis,1950,-1.3604312723333192,-1.6658344436433135,-0.3054031713099943,false,true
te,1950,-2.815257120132446,-2.615929935369193,0.19932718476325295,true,true
total,1950,-5.985805844939225,-6.260174110884806,-0.27436826594558106,true,false
ais,2000,0.0017998782071199648,-0.006790012709497473,-0.008589890916617438,false,true
glaciers,2000,-0.00850888165561,0.00013971691568670508,0.008648598571296705,false,true
gis,2000,-0.04322274381464186,-0.02977293965197303,0.013449804162668832,false,true
te,2000,-0.23769707679748553,-0.005595999502670312,0.23210107729481522,false,true
total,2000,-0.2893630562230687,-0.2706504056176422,0.018712650605426484,false,false
ais,2018,0.696409138766202,0.49446173285053246,-0.20194740591566956,false,true
glaciers,2018,1.20556921092,1.2074195820690914,0.0018503711490913677,true,true
gis,2018,1.2730523759668522,1.1107770561187067,-0.16227531984814547,false,true
te,2018,2.074393606185913,2.6691724264421977,0.5947788202562845,false,true
total,2018,5.965000044906917,6.080522033662755,0.11552198875583741,true,false
ais,2025,0.7663673305319003,0.7562903836810544,-0.010076946850845925,true,true
glaciers,2023,1.63055217082,1.562921819361839,-0.06763035145816088,true,true
gis,2025,1.6502983936827973,1.4973428641046977,-0.15295552957809955,false,true
te,2025,3.2329575871586798,3.9491222466767155,0.7161646595180358,false,true
total,2024,8.225314682835013,8.274955090699612,0.04964040786459911,true,false
ais,2019,0.6917651205871491,0.5297593377772156,-0.1620057828099335,false,true
ais,2020,0.7446601482114583,0.5655595202575818,-0.1791006279538765,false,true
ais,2022,0.7131118056700219,0.6389412059309248,-0.07417059973909701,true,true
ais,2024,0.7646276896479223,0.7158700905396067,-0.048757599108315564,true,true
ais,2025,0.7663673305319003,0.7562903836810544,-0.010076946850845925,true,true
