block,component,scenario,horizon,metric,arm,value,unit,value_sigma,note,verdict
H,ais,,,hindcast/full,L16MID,0.031743017667526324,cm,0.1895736922362148,bias -0.0050 cm = -0.03 sd; cov90 82%; n=106,PASS
H,ais,,,hindcast/full,L14*,0.030787014921306227,cm,0.18386431160053854,bias -0.0012 cm = -0.01 sd; cov90 83%; n=106,PASS
H,ais,,,hindcast/full,BRICK 2.0,1.1757511688158073,cm,7.021748611238046,bias -0.8211 cm = -4.90 sd; cov90 31%; n=106,FAIL
H,ais,,,hindcast/1920-1949,L16MID,0.009115774502734481,cm,0.054440666233318113,bias -0.0090 cm = -0.05 sd; cov90 100%; n=30,PASS
H,ais,,,hindcast/1920-1949,L14*,0.00581652865516331,cm,0.0347371136766589,bias -0.0045 cm = -0.03 sd; cov90 100%; n=30,PASS
H,ais,,,hindcast/1920-1949,BRICK 2.0,1.9842706854871703,cm,11.850339000022418,bias -1.9579 cm = -11.69 sd; cov90 0%; n=30,FAIL
H,ais,,,hindcast/1950-1992,L16MID,0.007991403333788852,cm,0.04772576608823741,bias -0.0007 cm = -0.00 sd; cov90 98%; n=43,PASS
H,ais,,,hindcast/1950-1992,L14*,0.006651151612525651,cm,0.03972159742390365,bias +0.0039 cm = +0.02 sd; cov90 98%; n=43,PASS
H,ais,,,hindcast/1950-1992,BRICK 2.0,0.8082294255445154,cm,4.826857924449145,bias -0.7053 cm = -4.21 sd; cov90 2%; n=43,FAIL
H,ais,,,hindcast/1993-2026,L16MID,0.05547825756831325,cm,0.3313238280056837,bias -0.0070 cm = -0.04 sd; cov90 45%; n=33,PASS
H,ais,,,hindcast/1993-2026,L14*,0.054370748644931625,cm,0.32470963152351384,bias -0.0047 cm = -0.03 sd; cov90 48%; n=33,PASS
H,ais,,,hindcast/1993-2026,BRICK 2.0,0.0991516712222806,cm,0.5921474952971527,bias +0.0615 cm = +0.37 sd; cov90 97%; n=33,PASS
H,glaciers,,,hindcast/full,L16MID,0.32643484982631693,cm,0.7107413719562137,bias +0.1650 cm = +0.36 sd; cov90 53%; n=104,PASS
H,glaciers,,,hindcast/full,L14*,0.3307844777177898,cm,0.720211747122129,bias +0.1671 cm = +0.36 sd; cov90 54%; n=104,PASS
H,glaciers,,,hindcast/full,BRICK 2.0,0.8940588962628659,cm,1.9466201199952224,bias +0.5000 cm = +1.09 sd; cov90 47%; n=104,WARN
H,glaciers,,,hindcast/1920-1949,L16MID,0.580131674971205,cm,1.2631114073870224,bias +0.5167 cm = +1.12 sd; cov90 20%; n=30,WARN
H,glaciers,,,hindcast/1920-1949,L14*,0.5887925110802121,cm,1.2819685071779265,bias +0.5246 cm = +1.14 sd; cov90 23%; n=30,WARN
H,glaciers,,,hindcast/1920-1949,BRICK 2.0,1.6382486441740043,cm,3.5669325428493757,bias +1.5142 cm = +3.30 sd; cov90 0%; n=30,FAIL
H,glaciers,,,hindcast/1950-1992,L16MID,0.13366614001818788,cm,0.2910291465239237,bias +0.0741 cm = +0.16 sd; cov90 56%; n=43,PASS
H,glaciers,,,hindcast/1950-1992,L14*,0.1326240912118885,cm,0.2887603103422825,bias +0.0743 cm = +0.16 sd; cov90 56%; n=43,PASS
H,glaciers,,,hindcast/1950-1992,BRICK 2.0,0.13114982071295883,cm,0.28555040478960836,bias +0.0341 cm = +0.07 sd; cov90 95%; n=43,PASS
H,glaciers,,,hindcast/1993-2026,L16MID,0.08373571389643095,cm,0.18231642916847757,bias -0.0493 cm = -0.11 sd; cov90 81%; n=31,PASS
H,glaciers,,,hindcast/1993-2026,L14*,0.08479167793812631,cm,0.18461556276934862,bias -0.0502 cm = -0.11 sd; cov90 81%; n=31,PASS
H,glaciers,,,hindcast/1993-2026,BRICK 2.0,0.24600850950039985,cm,0.5356303888762102,bias +0.1647 cm = +0.36 sd; cov90 26%; n=31,PASS
H,gis,,,hindcast/full,L16MID,0.058919209741141045,cm,0.32165059750448816,bias +0.0023 cm = +0.01 sd; cov90 53%; n=106,PASS
H,gis,,,hindcast/full,L14*,0.058961046749829986,cm,0.3218789932840942,bias +0.0020 cm = +0.01 sd; cov90 57%; n=106,PASS
H,gis,,,hindcast/full,BRICK 2.0,0.7230147179026976,cm,3.9470678075906904,bias -0.5975 cm = -3.26 sd; cov90 22%; n=106,FAIL
H,gis,,,hindcast/1920-1949,L16MID,0.08063992955939057,cm,0.44022792633259605,bias +0.0266 cm = +0.15 sd; cov90 53%; n=30,PASS
H,gis,,,hindcast/1920-1949,L14*,0.08049277186229907,cm,0.4394245659106755,bias +0.0266 cm = +0.15 sd; cov90 60%; n=30,PASS
H,gis,,,hindcast/1920-1949,BRICK 2.0,0.7876326016987747,cm,4.299828495043884,bias -0.7371 cm = -4.02 sd; cov90 27%; n=30,FAIL
H,gis,,,hindcast/1950-1992,L16MID,0.049225887930311935,cm,0.2687330046522645,bias -0.0141 cm = -0.08 sd; cov90 58%; n=43,PASS
H,gis,,,hindcast/1950-1992,L14*,0.0494066908783976,cm,0.2697200405703943,bias -0.0149 cm = -0.08 sd; cov90 60%; n=43,PASS
H,gis,,,hindcast/1950-1992,BRICK 2.0,0.9132443162126479,cm,4.9855655102628536,bias -0.8659 cm = -4.73 sd; cov90 0%; n=43,FAIL
H,gis,,,hindcast/1993-2026,L16MID,0.04562532998708002,cm,0.24907690914660124,bias +0.0017 cm = +0.01 sd; cov90 45%; n=33,PASS
H,gis,,,hindcast/1993-2026,L14*,0.04578025129056223,cm,0.2499226524966929,bias +0.0017 cm = +0.01 sd; cov90 48%; n=33,PASS
H,gis,,,hindcast/1993-2026,BRICK 2.0,0.1685880472577014,cm,0.9203525704230598,bias -0.1209 cm = -0.66 sd; cov90 45%; n=33,PASS
H,te,,,hindcast/full,L16MID,0.31918988532020487,cm,1.0326831471087445,bias +0.1788 cm = +0.58 sd; cov90 27%; n=106,PASS
H,te,,,hindcast/full,L14*,0.32021504084815494,cm,1.0359998588391848,bias +0.1808 cm = +0.59 sd; cov90 28%; n=106,PASS
H,te,,,hindcast/full,BRICK 2.0,0.3242598975630279,cm,1.0490862865551778,bias +0.1908 cm = +0.62 sd; cov90 96%; n=106,PASS
H,te,,,hindcast/1920-1949,L16MID,0.4429831186979497,cm,1.4331945408424498,bias +0.3523 cm = +1.14 sd; cov90 30%; n=30,WARN
H,te,,,hindcast/1920-1949,L14*,0.4475277629872866,cm,1.447897943998518,bias +0.3576 cm = +1.16 sd; cov90 30%; n=30,WARN
H,te,,,hindcast/1920-1949,BRICK 2.0,0.4741184495400583,cm,1.5339274679151402,bias +0.3885 cm = +1.26 sd; cov90 100%; n=30,WARN
H,te,,,hindcast/1950-1992,L16MID,0.1839430090355542,cm,0.5951154914226979,bias +0.0304 cm = +0.10 sd; cov90 37%; n=43,PASS
H,te,,,hindcast/1950-1992,L14*,0.1846558564940881,cm,0.5974217849199019,bias +0.0333 cm = +0.11 sd; cov90 37%; n=43,PASS
H,te,,,hindcast/1950-1992,BRICK 2.0,0.18965745910212953,cm,0.6136035969365266,bias +0.0499 cm = +0.16 sd; cov90 100%; n=43,PASS
H,te,,,hindcast/1993-2026,L16MID,0.3236900766228134,cm,1.0472427303872283,bias +0.2145 cm = +0.69 sd; cov90 12%; n=33,PASS
H,te,,,hindcast/1993-2026,L14*,0.3207167892536875,cm,1.0376231782058445,bias +0.2123 cm = +0.69 sd; cov90 15%; n=33,PASS
H,te,,,hindcast/1993-2026,BRICK 2.0,0.2941324145652627,cm,0.9516140752243384,bias +0.1946 cm = +0.63 sd; cov90 88%; n=33,PASS
H,total,,,hindcast/full,L16MID,0.6876528810473902,cm,0.4471063357284199,bias +0.5578 cm = +0.36 sd; cov90 24%; n=105,PASS
H,total,,,hindcast/full,L14*,0.6923310847732395,cm,0.4501480659142509,bias +0.5606 cm = +0.36 sd; cov90 26%; n=105,PASS
