year,ais_p05,ais_p50,ais_p95,ais_pred_p05,ais_pred_p95,ais_obs,glaciers_p05,glaciers_p50,glaciers_p95,glaciers_pred_p05,glaciers_pred_p95,glaciers_obs,gis_p05,gis_p50,gis_p95,gis_pred_p05,gis_pred_p95,gis_obs,te_p05,te_p50,te_p95,te_pred_p05,te_pred_p95,te_obs,total_p05,total_p50,total_p95,total_pred_p05,total_pred_p95,total_obs,glaciers_obs_delta_corrected,provenance
1900,-1.5414116662415829,-1.0210035900030543,-0.5009655825120876,-1.8431012653663763,-0.21149291601231868,-0.7681519642532018,-7.3196979241348,-6.406907137467362,-5.367519238184607,-8.169824001948253,-4.5044523381539125,-7.27700420293,-4.515261221181289,-4.086949708377221,-3.7081358017473667,-5.235707648652037,-2.92431419459797,-4.130332357233222,-4.026927136159733,-3.6274030680147726,-3.2119018752611708,-4.842703428468256,-2.3901340228026045,-3.6098928928375242,-15.372539798373811,-13.81880076050857,-12.481391593891859,NaN,NaN,-13.937918849348069,-7.27700420293,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1901,-1.5287610260989095,-1.015586348966034,-0.5031991634103554,-1.7894741194116515,-0.21479257967771126,-0.7626991406142858,-7.275676326431414,-6.376390609793523,-5.336705942818991,-8.211274380320152,-4.39311538051806,-7.19201579961,-4.455573690725971,-4.039894382251566,-3.670240697992952,-5.141291819526423,-2.8984676374989586,-4.14182832891291,-3.998670847043375,-3.601950173943008,-3.1893644851043423,-4.818931602485048,-2.4541101398847434,-3.6964476108551025,-14.938593790318,-13.410429477440378,-12.084106906667484,NaN,NaN,-13.717743189686836,-7.19201579961,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1902,-1.5162821731737095,-1.0107247112242852,-0.5048950968970819,-1.8146205420170665,-0.2041159600303694,-0.7572272434890415,-7.195348664684328,-6.311439477982613,-5.282567189945724,-8.159301859993167,-4.437606333931731,-7.10599819097,-4.397308889695886,-3.9908203244901146,-3.629173911087945,-5.1669552723460015,-2.9273963406717463,-4.110059530084785,-3.974550126809248,-3.5802225459970405,-3.170125650148286,-4.7494887855263315,-2.4691541395703083,-3.7697138309478753,-14.64459287429119,-13.133351397637156,-11.823206119513333,NaN,NaN,-13.307361420412224,-7.10599819097,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1903,-1.504450303582178,-1.003433282493142,-0.5072339629192044,-1.7890435329284924,-0.24757010031207552,-0.7518496647536901,-7.1135740403180865,-6.24365936771546,-5.2281911828386,-8.101441830082816,-4.421845073426886,-7.04884410771,-4.354244888672161,-3.9576828010046707,-3.6025556060587682,-5.085513377594568,-2.8156240778208823,-4.069244558160955,-3.954965508485394,-3.5625809790672758,-3.1545048380020178,-4.782490059059155,-2.3969543458499167,-3.89201683998108,-14.485966214532118,-13.001578531361119,-11.705426116159657,NaN,NaN,-13.366047505500095,-7.04884410771,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1904,-1.492902813017142,-0.9982259422977632,-0.5097801158848252,-1.7834534974972807,-0.2512681180412253,-0.7464302197158481,-7.045886232438224,-6.186460699350363,-5.185100851223532,-7.976460884512291,-4.423393420148061,-6.9647086707,-4.31974811187789,-3.9310618883120028,-3.5824097036369618,-4.971488951619174,-2.909475447579135,-3.986545354669745,-3.9813841321490284,-3.586378528238127,-3.1755764948803114,-4.774118409626035,-2.436559659564881,-4.005975580215455,-14.442244272660615,-12.978155977063398,-11.696062635514144,NaN,NaN,-13.401862591297018,-6.9647086707,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1905,-1.4826209906944865,-0.9941234180646277,-0.5128066731813226,-1.7342400779470921,-0.22021617323251486,-0.740978254383817,-6.980890489138308,-6.130714186184408,-5.141264788880629,-7.831982698231745,-4.34850972703812,-6.86514507207,-4.291687991035636,-3.9139325537046123,-3.5697518623926525,-4.868289805284663,-2.999283207702308,-3.965610296075995,-3.965926743567425,-3.5724547156464057,-3.1632475865854275,-4.682517435927278,-2.4380662458834292,-4.084479761123657,-14.267754760337803,-12.826353826898032,-11.555741682643559,NaN,NaN,-13.311246733632538,-6.86514507207,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1906,-1.4712896792930936,-0.9889871114873016,-0.5147593523077559,-1.7270716510716428,-0.24652747619269721,-0.7355258122146275,-6.9043702193699135,-6.0618720198655875,-5.085718128826281,-7.808390137571268,-4.237897434299389,-6.78516536626,-4.246358963019924,-3.878550523741168,-3.539604216302613,-4.8310493536879235,-2.984783139832302,-3.9195184534246272,-3.935297280451663,-3.544864097609121,-3.1388173382364153,-4.802334354855961,-2.314836120201394,-4.1820330142974855,-14.317841837854319,-12.891824520471996,-11.631762503230203,NaN,NaN,-13.567440039263273,-6.78516536626,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1907,-1.4591383625139989,-0.9820536196442949,-0.5164488513837108,-1.7205603463663135,-0.24473269698308062,-0.7300945416152622,-6.827560236863762,-5.994095223229374,-5.031006420493509,-7.728619612707955,-4.2830410176424785,-6.7199607459,-4.225247331475103,-3.8635036564601775,-3.5308895697087213,-4.869626750044935,-2.9394659858293184,-3.8829637354070488,-3.9022817652763266,-3.515124155218876,-3.112483960075145,-4.627210887444241,-2.3744901053229954,-4.245766305923461,-14.20432429288494,-12.809246275491056,-11.56685468123345,NaN,NaN,-13.430518857797505,-6.7199607459,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1908,-1.4474243678025933,-0.9772755302848359,-0.5187743683333127,-1.7312875301161228,-0.23810930579549,-0.7246861591994909,-6.764005232517768,-5.940608292451344,-4.989676078718514,-7.744661285878228,-4.065646591642836,-6.64097972783,-4.205679539993665,-3.8506974901082582,-3.5214210809302964,-4.735541888826105,-2.959112150783764,-3.8119527643377134,-3.9360971623762486,-3.5455846207398327,-3.139455328983875,-4.701394237467131,-2.2790455364957882,-4.304152536392211,-14.075472157082519,-12.693501307124471,-11.461085571214156,NaN,NaN,-13.478100215899776,-6.64097972783,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1909,-1.4358586394755823,-0.9730085795928731,-0.5232125830127596,-1.714181778500784,-0.25431876183441177,-0.719240202015653,-6.689046137852262,-5.879213542725177,-4.938785709129364,-7.560558344629535,-4.169321295861028,-6.56629558477,-4.155228814734986,-3.8076098186860783,-3.484516026356309,-4.622386116214283,-3.017164792765506,-3.7546384638006036,-3.9496266623008176,-3.5577718165533345,-3.1502465414170127,-4.790075300900201,-2.416391851552824,-4.4123697757720945,-13.877223494659017,-12.50978642616939,-11.288861540173398,NaN,NaN,-13.127202387002756,-6.56629558477,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1910,-1.4249738187749583,-0.9697501281325291,-0.5268370374331027,-1.7034934921800704,-0.25232895585312043,-0.713820756977811,-6.619059664467711,-5.822982953459633,-4.893204597918936,-7.471321422099564,-4.055272475381524,-6.4967437354,-4.10240215195155,-3.760496559050859,-3.4423518467222394,-4.425003869063353,-3.1130370703413486,-3.709659749811346,-3.9231345558672395,-3.5339080750685614,-3.129116274229022,-4.706036246193692,-2.4172791214074896,-4.497396707534791,-13.691512625171207,-12.343924125429465,-11.134537140500793,NaN,NaN,-12.932223767549981,-6.4967437354,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
1911,-1.4145942328139247,-0.9661834356947916,-0.5292565909078197,-1.697960456920288,-0.24208330553185348,-0.7083755627334263,-6.551531125274383,-5.766514409383615,-4.849033423912646,-7.454807531813668,-4.053237222657701,-6.40783153447,-4.078376671305917,-3.7418943923411896,-3.4255908250076246,-4.412175322096862,-3.109782939223882,-3.7024556940252134,-3.897391806713586,-3.510719344778262,-3.1085836990208575,-4.654170427840025,-2.2268350872229217,-4.502541589736938,-13.527014106811059,-12.204420405620542,-11.011028924459183,NaN,NaN,-12.7859735900405,-6.40783153447,"posterior_predictive_ladrillo.jl | tag L33 | AR(1) obs-noise MersenneTwister(NOISE_SEED=2026) | posterior parameters_subsample_brick_mengel_L33.csv NTHIN=2000, forcing ssp245harm | targets recalib_targets_ext.csv | cm"
