block,ssp,year,med,p05,p95
R19,ssp126,2100,32.36746879598582,11.480496092665097,55.585438175146464
R19,ssp126,2300,64.64325368887839,21.689988176227494,89.3828345812535
SLOWP,ssp126,2100,22.680479487092697,17.535627366547175,31.877934488875994
SLOWP,ssp126,2300,42.17355454216889,31.289345037339437,60.0896895087355
FAST,ssp126,2100,38.514530040607035,32.498788006638904,47.41248032702543
FAST,ssp126,2300,52.649322475161874,44.71692543589475,63.45194788292892
R19,ssp245,2100,37.491993562383215,14.220550690632017,59.76900297430119
R19,ssp245,2300,80.16510545733043,37.752582877083455,95.37082009376337
SLOWP,ssp245,2100,29.196779917286253,22.5911992004673,39.69196313314533
SLOWP,ssp245,2300,65.46321049240649,50.77041028646895,84.53778455493799
FAST,ssp245,2100,47.88992513276226,40.59251455088177,57.928608729810406
FAST,ssp245,2300,74.69071047822109,65.5868101890588,84.44064045157003
R19,ssp585,2100,48.162855324395046,22.439814509772372,68.68514546158934
R19,ssp585,2300,97.66350486215126,67.5078724784573,99.77627762564654
SLOWP,ssp585,2100,43.4782833756465,34.766956693270274,56.51565714596954
SLOWP,ssp585,2300,94.75068754901177,84.88601421979185,99.60648202761192
FAST,ssp585,2100,66.6075597672429,57.53526277372619,75.97719851834988
FAST,ssp585,2300,96.93087540011405,93.2649177631055,99.13329186828
