scenario,estimator,dt_bin,n_models,median,lo95,hi95
ssp126,secant,0.75,40,1.6938832194902207,1.5223702828002952,1.8817606311333646
ssp126,secant,1.25,40,1.6590415877774434,1.5555699344758562,1.7757473343151449
ssp126,secant,1.75,35,1.6572951432942458,1.6140769448262362,1.7432958092958128
ssp126,secant,2.25,21,1.6008513970459515,1.41718675307573,1.7630759242406024
ssp126,secant,2.75,9,1.8188036740865976,1.418175697984889,2.0344775260237276
ssp245,secant,0.75,40,1.716350430128849,1.53470846737063,1.8639557840020162
ssp245,secant,1.25,40,1.695608686689087,1.6002722424069356,1.797775175591061
ssp245,secant,1.75,40,1.5812376637862915,1.5016114637340914,1.7466719294404847
ssp245,secant,2.25,39,1.5865889833092404,1.5097609905375164,1.7107851703619534
ssp245,secant,2.75,27,1.602045330770296,1.4904915004558814,1.6579748814881627
ssp245,secant,3.25,18,1.568105154292416,1.4508320269487456,1.6891370017972034
ssp245,secant,3.75,10,1.6588848627915993,1.4373918282648215,1.7479480775769063
ssp585,secant,0.75,40,1.6491468412878327,1.513442904994613,1.8847941204142025
ssp585,secant,1.25,40,1.7019849937966134,1.5441904998412932,1.7789622562340837
ssp585,secant,1.75,40,1.5631425867102524,1.498236074128553,1.7047439142834566
ssp585,secant,2.25,40,1.5492782927566302,1.4461982643518547,1.6977913338659232
ssp585,secant,2.75,40,1.5234733015462878,1.4717260521464177,1.6771701299806259
ssp585,secant,3.25,39,1.572742610752616,1.483381379120216,1.6792986548595685
ssp585,secant,3.75,34,1.5792458761342187,1.4916178945942966,1.6497081474374626
ssp585,secant,4.25,25,1.5965047164748656,1.471765576731056,1.6482454065376257
ssp585,secant,4.75,21,1.5805883343836389,1.4581807736828205,1.6445881337974595
ssp585,secant,5.25,14,1.5183728646147792,1.3198682796740144,1.61169408972679
ssp585,secant,5.75,7,1.5584944931815494,1.3410122270381115,1.5850661266226331
ssp126,slope,0.75,40,1.6922738216293705,1.5272166635668762,1.853191056984968
ssp126,slope,1.25,40,1.6768972766518884,1.571329406316445,1.7636372915904226
ssp126,slope,1.75,35,1.6648648161688349,1.6164331612690273,1.730662415704936
ssp126,slope,2.25,21,1.5959794459580765,1.4206425970814398,1.7619309824370983
ssp126,slope,2.75,9,1.8289314213183303,1.418260512896293,2.0328065132967685
ssp245,slope,0.75,40,1.7275530030072637,1.565252364828245,1.8569346908121753
ssp245,slope,1.25,40,1.684632364956213,1.575623418869074,1.7581203439672892
ssp245,slope,1.75,40,1.5987968352648236,1.495054104880641,1.7343483444975092
ssp245,slope,2.25,39,1.5852428209002292,1.5111078149540003,1.6982265541874373
ssp245,slope,2.75,27,1.5987544899726809,1.48977555510153,1.6522875999139535
ssp245,slope,3.25,18,1.5669485174720017,1.4498928468954397,1.688772243348895
ssp245,slope,3.75,10,1.6588342111984544,1.437631996404462,1.7493261066649668
ssp585,slope,0.75,40,1.7232201454528,1.488609527259967,1.864661195628036
ssp585,slope,1.25,40,1.693371172389792,1.5244932822962092,1.7320706962711543
ssp585,slope,1.75,40,1.5623999597489582,1.484001342521227,1.6847624441052877
ssp585,slope,2.25,40,1.5397250232678907,1.4419836437174027,1.6982396810587472
ssp585,slope,2.75,40,1.5310853506973685,1.4742634957178788,1.664267051575334
ssp585,slope,3.25,39,1.5653639149650167,1.4875219653586014,1.6652644965739185
ssp585,slope,3.75,34,1.5846147365904115,1.4847900014043798,1.642486573353916
ssp585,slope,4.25,25,1.5937741617320071,1.4753756726317167,1.6315039271213259
ssp585,slope,4.75,21,1.5739666375346268,1.4619339573484724,1.6465993758854793
ssp585,slope,5.25,14,1.5183337871288685,1.324183394157064,1.6061836422567808
ssp585,slope,5.75,7,1.5574418128228307,1.3396181379225978,1.5860260944811626
