year,fair_above700,fair_above700_p5,fair_above700_p95,obs_above700_of2000,obs_above700_offull,fair_total_ZJ,obs_total_ZJ,obs_0_2000_ZJ
1992,0.7283648566852753,0.5988204587116821,1.0,0.73432647821335,0.7277395737338221,123.18748290531849,128.2052033,127.05520333
1993,0.6791075669348998,0.5260720776810814,1.0,0.6905164042097226,0.6785424835377319,110.76965509912338,132.6372367,130.33723667
1994,0.6600547242191371,0.4979328221794763,1.0,0.7056545855853673,0.6871493769471037,109.929869124677,131.5580033,128.10800333
1995,0.6748815945060668,0.519830714138029,1.0,0.7257378216485351,0.7017112709052176,120.13519127964003,138.9460367,134.34603667
1996,0.6928336196747273,0.5463441657278151,1.0,0.7367959594306064,0.7087594172759545,132.8301067052355,151.1091033,145.35910332999998
1997,0.7058945750024047,0.5656339674935383,1.0,0.7368845378519123,0.7035166929781363,145.18727766519487,152.3773367,145.47733667
1998,0.716545716534102,0.5813647010861812,1.0,0.7138277663187067,0.6740987144626392,157.9791567756123,144.63757,136.58757
1999,0.7246455613938619,0.5933274096138478,1.0,0.7256227015662903,0.6787185501769109,170.8793821393871,142.3270367,133.12703667
2000,0.7317540551068887,0.6038259858004306,1.0,0.7164774280473528,0.6701218645928594,184.59105060757508,159.9709033,149.62090333
2001,0.7370652345743933,0.6116700980035585,1.0,0.7342593018008778,0.688550880380425,198.3977490602511,184.7358033,173.23580333
2002,0.7410042787169054,0.6174876954724418,1.0,0.7109094995785132,0.6662619778835775,212.35065683517672,201.42227,188.77227
2003,0.7434156947384438,0.6210491299818756,1.0,0.7083898026638252,0.6641898480147935,226.06265347414404,221.1717033,207.37170333
2004,0.7432969455978051,0.6208737486774226,1.0,0.6961999171766843,0.6516650956938124,238.25202342907068,233.7090033,218.75900333
2005,0.7423497065556807,0.6194747657631624,1.0,0.6957040638859763,0.6507390946906474,250.10606354207462,249.10137,233.00137
2006,0.7405025298543461,0.6167466596253595,1.0,0.694121159326062,0.6477093898907023,261.35024530117727,257.98607,240.73606999999998
2007,0.7384353256153557,0.613693593522692,1.0,0.696872847178548,0.6490433492695857,272.50081242171007,268.08687,249.68687
2008,0.7360337893673341,0.6101467505088913,1.0,0.7040435478083469,0.6547942491144318,283.37088201141336,279.4771033,259.92710333
2009,0.7346031458825594,0.6080338247292397,1.0,0.7020382262508863,0.6519864962389212,295.3365773269504,290.3434367,269.64343667
2010,0.7332446390793133,0.6060274380389438,1.0,0.6958116429003811,0.6452689513950989,307.51252033927875,300.8048033,278.95480333
2011,0.7328352936435613,0.6054228733565559,1.0,0.6883348644527579,0.6373956522023113,320.9899980123922,310.79597,287.79597
2012,0.7316796600147639,0.6037161112511785,1.0,0.6794202557993093,0.6292061776918024,333.840643088974,326.7609367,302.61093667
2013,0.7317630969005746,0.6038393396787215,1.0,0.6711158503175986,0.6211987772291518,348.53661495531196,340.14877,314.84877
2014,0.7317374079820442,0.6038013995638069,1.0,0.6652560509287235,0.6157589797068026,363.5003083836532,355.4962367,329.0462367
2015,0.7316082113328549,0.603610588272509,1.0,0.6678291775323597,0.6177564445487158,378.75752444840845,368.1062367,340.5062367
2016,0.7315673518653536,0.6035502426845655,1.0,0.6689487826136004,0.6186996158045476,394.5931065773665,382.7382367,353.9882367
2017,0.7308852211808688,0.602542799863431,1.0,0.667094220407006,0.6155699626876749,409.91641163008006,387.1209033,357.22090330000003
2018,0.7303878131885456,0.6018081750731393,1.0,0.6662932188385606,0.6146247678842154,425.89505903258134,400.4069033,369.3569033
2019,0.7294744319887454,0.6004591970054057,1.0,0.6683973774744696,0.6161476768399348,441.56754194024626,411.9142367,379.7142367
2020,0.72785960597068,0.5980742509587254,1.0,0.6725493523055652,0.6209996668635566,456.37365598002816,435.1049033,401.7549033
2021,0.726705031586902,0.5963690532585493,1.0,0.6749831558418717,0.6236475924193816,472.1345512222396,453.62157,419.12157
2022,0.725773490971717,0.5949932554433955,1.0,0.6840385677278914,0.6323765301513475,488.5039487069786,472.0289033,436.3789033
2023,0.7253020670408151,0.5942970066662909,1.0,0.6924376749862448,0.6401858259071573,505.9824549083363,487.6709033,450.8709033
2024,0.7247866538817701,0.593535789939337,1.0,0.6993435591417536,0.6464552164262914,523.7621444034042,501.81357,463.86357
