cell,capped,k,reachable,rate_scale,hind_endpoint_cm,hind_rmse_cm,proj_2300_cm
A+B+C+D,False,1.0,True,0.10082082318900558,5.780630750916018,1.038145428312536,24.265019686638453
A+B+C+D,False,2.0,True,0.043518169982272696,5.780630750916018,0.9974942741511588,47.927303419260184
A+B+C+D,False,5.0,True,0.016116023011431526,5.780630750916019,0.9821806650017012,113.06253636020665
A+B+C+D,False,10.0,True,0.007865894587684,5.780630750916018,0.9781946059826173,180.25375452590822
A+B+C+D,False,22.6,True,0.0034350341089869584,5.7806307509160195,0.9761767228347086,246.6131057257762
A+B+C+D,True,1.0,True,1.3366607600709997,5.7806307509160195,0.12155555331022144,21.61067671297973
A+B+C+D,True,2.0,True,0.1329704530712475,5.7806307509160195,0.3956555291076721,21.576855009197303
A+B+C+D,True,5.0,True,0.04223668528902495,5.780630750916019,0.4601273418788779,21.512273977453443
A+B+C+D,True,10.0,True,0.019929921689045064,5.780630750916019,0.4758460743848967,21.49380806353434
A+B+C+D,True,22.6,True,0.008564779921624391,5.780630750916018,0.4838442347812618,21.48408600347498
A+B'+C+D,False,1.0,True,0.5690912465595119,5.7806307509160195,0.5885430771726341,227.665830330204
A+B'+C+D,False,2.0,True,0.2840873467250488,5.780630750916018,0.5884414067995979,233.15695467031227
A+B'+C+D,False,5.0,True,0.11352508336253243,5.780630750916019,0.5883796439224007,236.60206660175945
A+B'+C+D,False,10.0,True,0.05674409636693348,5.780630750916018,0.5883571685816451,237.77608721465933
A+B'+C+D,False,22.6,True,0.025103282356359082,5.7806307509160195,0.5883398540044117,238.4354376576989
A+B'+C+D,True,1.0,False,,,,
A+B'+C+D,True,2.0,False,,,,
A+B'+C+D,True,5.0,False,,,,
A+B'+C+D,True,10.0,False,,,,
A+B'+C+D,True,22.6,False,,,,
