component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.8571428571428571,0.9841269841269841,-0.0025923559896213967,true
glaciers,124,0.7983870967741935,1.0,0.007828195797256928,true
gis,126,0.6349206349206349,0.9920634920634921,0.004733233940334305,true
te,126,0.30158730158730157,0.9682539682539683,0.17972730724879207,true
total,125,0.304,NaN,0.6489374126438849,false
