year,mean,median,p5,p95,var_total_gmsl,var_internal,var_emi,var_clim,var_brk,var_ais,var_gis,var_te,var_gsic
1850,-14.7344533287336,-14.819252865,-20.633873784999995,-8.946515215000593,12.298882601592261,0.0,4.8847461291446764e-08,0.9545536586535043,11.550110065014133,10.85893770544956,0.5602880911569262,0.04911904373136885,0.4423673227443637
1851,-14.7071692818614,-14.401956850000001,-19.340318849999967,-11.19826714500001,6.081156134077324,0.0,4.884746129144193e-08,0.9555681471662348,5.203984803820072,4.529729950833486,0.555359945905705,0.03686027424404712,0.4429985220248097
1852,-14.9261280095676,-14.62777285,-19.534974444999975,-11.404184445000013,6.001827755422365,0.0,4.884746129140383e-08,0.9565614444509358,5.122134893502963,4.457586664293158,0.5505502925083728,0.04806154797299103,0.4435655535234803
1853,-14.895669080052,-14.6036233,-19.466592889999973,-11.385621900000034,5.921664208869721,0.0,4.884746129145011e-08,0.9576987322866545,5.0392836329012125,4.3851599424894445,0.5458248100432429,0.04912633292209809,0.44422277308537794
1854,-14.8128981617676,-14.5214825,-19.35128284499997,-11.318730970000054,5.842320021644287,0.0,4.884746129145046e-08,0.9590565796445186,4.957005843305655,4.313694404353935,0.5411015891052692,0.04797219157008104,0.44511628375290585
1855,-14.4460995423808,-14.160206250000002,-18.944155654999964,-10.996354305000017,5.76174382058464,0.0,4.88474612913802e-08,0.9604740281755331,4.873393120838935,4.241740596499333,0.5363146027337805,0.03541783950846349,0.446185853958871
1856,-14.085149627429601,-13.7984525,-18.56465725,-10.678909990000163,5.683159525863378,0.0,4.884746129135696e-08,0.9616240429651431,4.792125234653754,4.170566973418344,0.5315696632378785,0.024997297851292306,0.4470353291492512
1857,-14.1104598738016,-13.827300900000001,-18.550951574999978,-10.710347175000082,5.6045790389687085,0.0,4.8847461291440736e-08,0.9626843426349275,4.710980200008166,4.100583925444566,0.5269223145025436,0.0276651623710079,0.4477369687378613
1858,-15.449047105916001,-15.1794547,-19.834363214999996,-11.957705500000001,5.541213253235674,0.0,4.8847461291453627e-08,0.9638188537582056,4.645267280555398,4.029933534943392,0.5222821299858648,0.09265063934959304,0.4485544468471409
1859,-14.714710726819598,-14.448508149999999,-19.063665512499977,-11.318086515000065,5.449092714400954,0.0,4.8847461291444805e-08,0.9648412743693108,4.550371189490822,3.9565731678216025,0.5176741283051864,0.05572249460234799,0.44930179516339425
