model,block,ssp,window,n_gcm,median,p05,p95
OGGM,R19,ssp126,2000-2020,17,1.5872272670278922,1.5872272670278922,1.5872272670278922
OGGM,R19,ssp245,2000-2020,14,1.5872272670278922,1.5872272670278922,1.5872272670278922
OGGM,R19,ssp585,2000-2020,19,1.5872272670278922,1.5872272670278922,1.5872272670278922
OGGM,SLOWP,ssp126,2000-2020,17,2.5877837363968412,2.5877837363968412,2.5877837363968412
OGGM,SLOWP,ssp245,2000-2020,14,2.5877837363968412,2.5877837363968412,2.5877837363968412
OGGM,SLOWP,ssp585,2000-2020,19,2.5877837363968412,2.5877837363968412,2.5877837363968412
OGGM,FAST,ssp126,2000-2020,17,7.8532250230306015,7.8532250230306015,7.8532250230306015
OGGM,FAST,ssp245,2000-2020,14,7.8532250230306015,7.8532250230306015,7.8532250230306015
OGGM,FAST,ssp585,2000-2020,19,7.8532250230306015,7.8532250230306015,7.8532250230306015
GloGEM,R19,ssp126,2015-2100,12,13.17224983911571,6.60930309727599,23.40437237385513
OGGM,R19,ssp126,2015-2100,17,21.47379197025462,12.858823174244444,37.52267909667079
GloGEM,R19,ssp245,2015-2100,12,16.31047435668324,9.37340111997092,32.479445868028684
OGGM,R19,ssp245,2015-2100,14,27.265347145332964,13.035885189407981,46.9630443844796
GloGEM,R19,ssp585,2015-2100,12,32.08443086082658,16.38551234307115,49.46878115550949
OGGM,R19,ssp585,2015-2100,19,55.06876151965955,23.25235104134561,73.73294186490847
GloGEM,SLOWP,ssp126,2015-2100,12,17.432451916156875,12.678721081280628,39.83840798935664
OGGM,SLOWP,ssp126,2015-2100,17,19.861148740199827,16.692602585538868,42.758714758640366
GloGEM,SLOWP,ssp245,2015-2100,12,23.008233915048915,16.693063654359506,51.378494580962496
OGGM,SLOWP,ssp245,2015-2100,14,24.923256758605284,19.576433709125457,53.526344428979876
GloGEM,SLOWP,ssp585,2015-2100,12,36.79927021412189,26.345249244602474,72.78614490370943
OGGM,SLOWP,ssp585,2015-2100,19,49.62352072828911,26.86524055104693,77.84375582794164
GloGEM,FAST,ssp126,2015-2100,12,47.11485598248845,34.840432486709986,60.987849010935165
OGGM,FAST,ssp126,2015-2100,17,51.631828095008736,36.53043215131315,59.39746171274493
GloGEM,FAST,ssp245,2015-2100,12,57.93266887114484,42.37478354087023,69.55658533476085
OGGM,FAST,ssp245,2015-2100,14,59.26242880727882,44.1749606437188,67.69355180337581
GloGEM,FAST,ssp585,2015-2100,12,72.71376675710974,56.715191610437174,85.70704701292942
OGGM,FAST,ssp585,2015-2100,19,77.18521465563067,53.87728102606279,84.71965743792329
OGGM,R19,ssp126,2015-2300,6,59.83894918174295,49.964893897351125,81.65164161020584
OGGM,R19,ssp585,2015-2300,6,99.57211763279452,99.32150957933412,99.73209416445894
OGGM,SLOWP,ssp126,2015-2300,6,58.605468133016345,28.27432475448018,68.14412911207782
OGGM,SLOWP,ssp585,2015-2300,6,99.99993497673887,96.40452524453332,99.99999088725946
OGGM,FAST,ssp126,2015-2300,6,67.4091420218833,37.74921195716746,77.48803871964691
OGGM,FAST,ssp585,2015-2300,6,99.6747818501704,97.9632874989603,99.85835199225636
