window,sum5_accel,frederikse_total_accel,dang_accel,dang_over_frederikse,sum5_over_frederikse
1993-2018,0.007188563,0.007284638,0.013350320,1.832667559,0.986811244
1998-2023,0.000372099,nan,0.007167574,nan,nan
1993-2023,0.003533238,nan,0.009734840,nan,nan
