structure,block,fit_mode,a,a0,a0_sig,b,T_off,amp_b,S2020_mm,tau15,tau30,kappa_anch,nu_anch,rungz1p2,rungz1p5,rungz2p0,rungz3p0,com1p2,com1p5,com2p0,com3p0,sig1p2,sig1p5,sig2p0,sig3p0
A_4rung,SLOW,4rung,0.22669,0.22669,0.03740,0.36863,0.19209,1.44100,22.75469,664.74337,159.37813,0.00073,1.57125,0.05516,0.01506,-0.16863,0.09159,35.43800,45.82570,62.77350,74.07750,26.95970,25.96590,23.78930,18.32760
A_4rung,FAST,4rung,0.12817,0.12817,0.02421,0.42103,-1.20479,1.23005,53.94514,129.89607,37.01309,0.00339,1.56676,-0.07217,0.13727,-0.01291,-0.04473,44.77160,50.69680,63.26240,78.56940,8.65190,10.83685,13.14780,12.47300
B_seam,R19,2rung,0.06900,0.06900,0.01800,0.64323,0.62162,1.03000,0.58361,828.00000,213.00000,0.00135,1.24621,0.00000,0.00000,0.00000,0.00000,32.07010,45.01500,60.01690,69.66440,36.27285,35.28705,33.61350,28.35125
B_seam,SLOWP,2rung,0.14592,0.14592,0.03279,0.38459,0.15583,1.70068,22.17108,522.75855,112.74302,0.00068,1.66109,0.00000,0.00000,0.00000,0.00000,42.88700,50.77680,66.15530,82.85020,19.33125,20.50905,13.90245,16.60645
B_seam,FAST,2rung,0.13994,0.13994,0.02421,0.41429,-1.13236,1.23005,53.94514,129.89607,37.01309,0.00321,1.59756,0.00000,0.00000,0.00000,0.00000,44.77160,50.69680,63.26240,78.56940,8.65190,10.83685,13.14780,12.47300
C_both,R19,4rung,0.06900,0.06900,0.01800,0.45904,0.27171,1.03000,0.58361,828.00000,213.00000,0.00093,1.54476,0.08680,-0.03485,-0.13079,0.09440,32.07010,45.01500,60.01690,69.66440,36.27285,35.28705,33.61350,28.35125
C_both,SLOWP,4rung,0.14592,0.14592,0.03279,0.39362,0.23477,1.70068,22.17108,522.75855,112.74302,0.00073,1.62212,-0.04178,0.08976,-0.00428,-0.01260,42.88700,50.77680,66.15530,82.85020,19.33125,20.50905,13.90245,16.60645
C_both,FAST,4rung,0.13994,0.13994,0.02421,0.42103,-1.06389,1.23005,53.94514,129.89607,37.01309,0.00339,1.56676,-0.07217,0.13727,-0.01291,-0.04473,44.77160,50.69680,63.26240,78.56940,8.65190,10.83685,13.14780,12.47300
