scenario,estimator,dt_bin,n_models,median,lo95,hi95
ssp126,secant,0.75,40,1.8804942627424583,1.7645476374580706,2.0389153602470502
ssp126,secant,1.25,40,1.9024023077116925,1.746171084779412,1.9998771152157415
ssp126,secant,1.75,35,1.9320582101301986,1.8238259689765233,2.003142912258193
ssp126,secant,2.25,21,1.825523168977436,1.764780322336995,2.1548318406091385
ssp126,secant,2.75,9,2.1718300918830478,1.6452657040806327,2.3809167358121694
ssp245,secant,0.75,40,1.920283111266618,1.7117041355077012,2.0365161544913746
ssp245,secant,1.25,40,1.9275486767346273,1.8029846670413021,2.0278801998834908
ssp245,secant,1.75,40,1.8568540769448836,1.7004737908334497,1.9734578621087309
ssp245,secant,2.25,39,1.8734028908590197,1.7885539192930422,1.9774839416830836
ssp245,secant,2.75,27,1.8439794734119093,1.7743703345065855,1.971201197553801
ssp245,secant,3.25,18,1.809797624480936,1.6745792302528646,2.0291988891388675
ssp245,secant,3.75,10,1.8684101457965152,1.6593140504828257,2.18616887627272
ssp585,secant,0.75,40,1.8789234810931648,1.6702391179719047,1.9515781028652377
ssp585,secant,1.25,40,1.8911765877730695,1.758607592043143,2.009385931047637
ssp585,secant,1.75,40,1.8474420160414535,1.7382428979209235,2.005381918361813
ssp585,secant,2.25,40,1.8609210127096678,1.7492742920822435,1.9207048889423846
ssp585,secant,2.75,40,1.8587797280927054,1.7894397708218883,1.8936164956048929
ssp585,secant,3.25,39,1.8475922726629688,1.7564053804577495,1.9209686669128074
ssp585,secant,3.75,34,1.8703275502046488,1.763172379175316,1.919893288652088
ssp585,secant,4.25,25,1.8393211205011577,1.795488603591033,1.980927816170214
ssp585,secant,4.75,21,1.854782640267598,1.745786259691921,2.020979222051393
ssp585,secant,5.25,14,1.7819941873993443,1.6379022604465456,1.899893201966818
ssp585,secant,5.75,7,1.7667917330365097,1.7212919791393273,1.941862654329182
ssp126,slope,0.75,40,1.9413716522901336,1.7417537696835697,1.9787630983941185
ssp126,slope,1.25,40,1.8888414602477037,1.7336146756371247,1.9852731780493214
ssp126,slope,1.75,35,1.9217903106828,1.8305984337318717,2.0013276174908308
ssp126,slope,2.25,21,1.8233867268974047,1.7628369659703578,2.1528396783543657
ssp126,slope,2.75,9,2.169881227420987,1.6443296966070262,2.389177764945266
ssp245,slope,0.75,40,1.9096132063711027,1.7573809446838937,1.9945588001973873
ssp245,slope,1.25,40,1.891951702833686,1.7986333409228326,1.9795172636886162
ssp245,slope,1.75,40,1.8529837844290389,1.7034918299507171,1.9646432862496006
ssp245,slope,2.25,39,1.8709201155054969,1.792162746510681,1.9751166373365376
ssp245,slope,2.75,27,1.8456843800790452,1.768439099822752,1.9702936667346926
ssp245,slope,3.25,18,1.809242473104081,1.678581377896957,2.0319742822282394
ssp245,slope,3.75,10,1.868296502275753,1.658265655513686,2.184448007535162
ssp585,slope,0.75,40,1.8999189354089925,1.6597398549698903,1.9696785944386073
ssp585,slope,1.25,40,1.8867907679781943,1.7355791220795056,1.9841737319376818
ssp585,slope,1.75,40,1.8568071230114271,1.7258948739838957,1.9757225220936028
ssp585,slope,2.25,40,1.8608779155631403,1.7647080612944137,1.9156389544696748
ssp585,slope,2.75,40,1.8524356376158275,1.7893299840205596,1.892722003778933
ssp585,slope,3.25,39,1.8596342155382133,1.75441210380578,1.9117035592230311
ssp585,slope,3.75,34,1.8637956469888315,1.7688610211072169,1.9209664085910734
ssp585,slope,4.25,25,1.841442991943738,1.8043737240492663,1.9900497866696434
ssp585,slope,4.75,21,1.8581496863333657,1.7501398449763597,2.0284477004094397
ssp585,slope,5.25,14,1.7838695393641224,1.6494253413286444,1.903232832405577
ssp585,slope,5.75,7,1.7689289580623777,1.718659991354878,1.9369529165489272
