cell,V_m,onset_K,tau_yr,psi_cm_per_yr,add_ssp126_2100_cm,tot_ssp126_2100_cm,add_ssp126_2150_cm,tot_ssp126_2150_cm,add_ssp126_2200_cm,tot_ssp126_2200_cm,add_ssp126_2300_cm,tot_ssp126_2300_cm,add_ssp245_2100_cm,tot_ssp245_2100_cm,add_ssp245_2150_cm,tot_ssp245_2150_cm,add_ssp245_2200_cm,tot_ssp245_2200_cm,add_ssp245_2300_cm,tot_ssp245_2300_cm,add_ssp585_2100_cm,tot_ssp585_2100_cm,add_ssp585_2150_cm,tot_ssp585_2150_cm,add_ssp585_2200_cm,tot_ssp585_2200_cm,add_ssp585_2300_cm,tot_ssp585_2300_cm
base (no reservoir),0.0,4.69,800.0,0.0,0.0,30.08776491597262,0.0,40.814439040876266,0.0,48.789836064712034,0.0,62.17618953980184,0.0,39.993325931115805,0.0,65.79341912205042,0.0,117.5929808420561,0.0,214.11321992925943,0.0,89.69402273108093,0.0,193.65508779889396,0.0,291.7143790511615,0.0,462.6020607590932
A shipped,1.0,4.69,800.0,0.125,0.0,30.08776491597262,0.0,40.814439040876266,0.0,48.789836064712034,0.0,62.17618953980184,0.0,39.993325931115805,0.0,65.79341912205042,0.0,117.5929808420561,0.0,214.11321992925943,0.0,89.69402273108093,4.648262730028683,198.30335052892264,10.428834307206865,302.1432133583683,20.959904114998224,483.5619648740914
A tau->2700 @fixed psi,3.375,4.69,2700.0,0.125,0.0,30.08776491597262,0.0,40.814439040876266,0.0,48.789836064712034,0.0,62.17618953980184,0.0,39.993325931115805,0.0,65.79341912205042,0.0,117.5929808420561,0.0,214.11321992925943,0.0,89.69402273108093,4.72710114129142,198.3821889401854,10.833973535336781,302.54835258649825,22.713564689154442,485.31562544824766
B psi=0.273 tau=2200,6.0,4.69,2200.0,0.2727272727272727,0.0,30.08776491597262,0.0,40.814439040876266,0.0,48.789836064712034,0.0,62.17618953980184,0.0,39.993325931115805,0.0,65.79341912205042,0.0,117.5929808420561,0.0,214.11321992925943,0.0,89.69402273108093,10.297045759159294,203.95213355805325,23.551212003393047,315.26559105455453,49.17253800948445,511.7745987685777
B tau->2718 @fixed psi,7.42,4.69,2718.0,0.2729948491537896,0.0,30.08776491597262,0.0,40.814439040876266,0.0,48.789836064712034,0.0,62.17618953980184,0.0,39.993325931115805,0.0,65.79341912205042,0.0,117.5929808420561,0.0,214.11321992925943,0.0,89.69402273108093,10.324279688064598,203.97936748695855,23.663482531854886,315.37786158301634,49.61675950949305,512.2188202685862
A psi->0.273 @fixed tau,2.184,4.69,800.0,0.273,0.0,30.08776491597262,0.0,40.814439040876266,0.0,48.789836064712034,0.0,62.17618953980184,0.0,39.993325931115805,0.0,65.79341912205042,0.0,117.5929808420561,0.0,214.11321992925943,0.0,89.69402273108093,10.151805802382643,203.8068936012766,22.776574126939792,314.4909531781013,45.77643058715612,508.37849134624935
A onset->2.0K,1.0,2.0,800.0,0.125,0.0,30.08776491597262,0.0,40.814439040876266,0.0,48.789836064712034,0.0,62.17618953980184,2.435444276915503,42.42877020803131,7.674494858416114,73.46791398046653,13.271120687212473,130.86410152926857,23.46801692418937,237.5812368534488,5.43137327690162,95.12539600798256,11.164469824272789,204.81955762316676,16.550005059183338,308.2643841103448,26.361395983754992,488.9634567428482
B onset->2.0K,7.42,2.0,2718.0,0.2729948491537896,0.0,30.08776491597262,0.0,40.814439040876266,0.0,48.789836064712034,0.0,62.17618953980184,5.393874146966462,45.387200078082266,17.30309098700787,83.0965101090583,30.51395806466322,148.1069389067193,56.219729472686005,270.3329494019454,12.096445206470905,101.79046793755184,25.40333964550407,219.05842744439803,38.46763567759886,330.18201472876035,63.88604316486914,526.4881039239624
