arm,cell,scenario,ours_cm,p05_cm,p50_cm,p95_cm,ratio_to_p50,pctile,band_lo_cm,band_hi_cm,in_adopted_band,adopted_arm
GSAT integral 2015-2300 (ADOPTED),base (no reservoir),SSP5-8.5,49.47197467165441,42.9168781453884,98.50663957320324,144.988254731883,0.5022196969260158,5.629970121040198,42.9,145.0,True,True
GSAT integral 2015-2300 (ADOPTED),base (no reservoir),SSP2-4.5,17.724888545688614,10.585912118283778,15.436905739057494,21.520877244164215,1.1482151180623077,62.181391376343015,10.6,21.5,True,True
GSAT integral 2015-2300 (ADOPTED),base (no reservoir),SSP1-2.6,9.395800444339248,4.798302092506975,13.767134462332589,25.514106713973963,0.6824804733364463,37.45193242128536,6.2,15.9,True,True
GSAT integral 2015-2300 (ADOPTED),cell A (shipped),SSP5-8.5,70.43187878665263,42.9168781453884,98.50663957320324,144.988254731883,0.7149962590522905,12.75706783290608,42.9,145.0,True,True
GSAT integral 2015-2300 (ADOPTED),cell A (shipped),SSP2-4.5,17.724888545688614,10.585912118283778,15.436905739057494,21.520877244164215,1.1482151180623077,62.181391376343015,10.6,21.5,True,True
GSAT integral 2015-2300 (ADOPTED),cell A (shipped),SSP1-2.6,9.395800444339248,4.798302092506975,13.767134462332589,25.514106713973963,0.6824804733364463,37.45193242128536,6.2,15.9,True,True
GSAT integral 2015-2300 (ADOPTED),WINNER (weighted verdict),SSP5-8.5,99.40816726232876,42.9168781453884,98.50663957320324,144.988254731883,1.0091519484679565,51.06643277395409,42.9,145.0,True,True
GSAT integral 2015-2300 (ADOPTED),WINNER (weighted verdict),SSP2-4.5,17.724888545688614,10.585912118283778,15.436905739057494,21.520877244164215,1.1482151180623077,62.181391376343015,10.6,21.5,True,True
GSAT integral 2015-2300 (ADOPTED),WINNER (weighted verdict),SSP1-2.6,9.395800444339248,4.798302092506975,13.767134462332589,25.514106713973963,0.6824804733364463,37.45193242128536,6.2,15.9,True,True
GSAT level at 2300 (stated sensitivity),base (no reservoir),SSP5-8.5,49.47197467165441,58.60168014771042,120.17598428526284,172.21934831642736,0.41166273749189625,,42.9,145.0,True,False
GSAT level at 2300 (stated sensitivity),base (no reservoir),SSP2-4.5,17.724888545688614,11.04367884372244,17.279242569582024,24.793917418111334,1.0257908281750205,52.31134242059676,10.6,21.5,True,False
GSAT level at 2300 (stated sensitivity),base (no reservoir),SSP1-2.6,9.395800444339248,4.759978829537494,14.11896484930028,28.49090885381819,0.6654737471639001,37.24471632272552,6.2,15.9,True,False
GSAT level at 2300 (stated sensitivity),cell A (shipped),SSP5-8.5,70.43187878665263,58.60168014771042,120.17598428526284,172.21934831642736,0.5860728264930856,6.358072837306243,42.9,145.0,True,False
GSAT level at 2300 (stated sensitivity),cell A (shipped),SSP2-4.5,17.724888545688614,11.04367884372244,17.279242569582024,24.793917418111334,1.0257908281750205,52.31134242059676,10.6,21.5,True,False
GSAT level at 2300 (stated sensitivity),cell A (shipped),SSP1-2.6,9.395800444339248,4.759978829537494,14.11896484930028,28.49090885381819,0.6654737471639001,37.24471632272552,6.2,15.9,True,False
GSAT level at 2300 (stated sensitivity),WINNER (weighted verdict),SSP5-8.5,99.40816726232876,58.60168014771042,120.17598428526284,172.21934831642736,0.8271882926821941,16.577356260437067,42.9,145.0,True,False
GSAT level at 2300 (stated sensitivity),WINNER (weighted verdict),SSP2-4.5,17.724888545688614,11.04367884372244,17.279242569582024,24.793917418111334,1.0257908281750205,52.31134242059676,10.6,21.5,True,False
GSAT level at 2300 (stated sensitivity),WINNER (weighted verdict),SSP1-2.6,9.395800444339248,4.759978829537494,14.11896484930028,28.49090885381819,0.6654737471639001,37.24471632272552,6.2,15.9,True,False
