draw,gis_amp,gis126,gis245,gis585,spread
1,1.6472959706396222,5.753039818581965,7.466887913850404,12.62481998588487,6.871780167302904
2,1.6840067656340019,5.9220475300424456,7.443585374168742,11.668323320261923,5.746275790219477
3,1.9628435835347466,6.51855142935891,8.700589484407667,15.379391752930628,8.860840323571718
4,2.082908574292625,6.63027194704829,8.925525843045094,15.93936919419879,9.3090972471505
5,2.0663266851998165,6.532680512579223,8.69406163092715,15.070208692391851,8.537528179812629
6,1.896983855901914,6.400329233747076,8.263158900721372,13.716805682421722,7.316476448674646
7,1.7390397338765062,6.334069148386135,8.155001091567637,13.538454042308564,7.204384893922429
8,1.973191419023614,6.745259026894225,8.861108206823776,15.327894352144,8.582635325249775
9,1.789653604067251,6.418334364796063,8.314797398599632,13.948064410928657,7.529730046132594
10,1.7859792208477587,6.318067914816966,8.088211709310967,13.219712315949648,6.901644401132682
11,2.1203470017453268,6.795309673421009,8.833651697446768,14.606017018235024,7.8107073448140145
12,1.6612052711544154,6.004595061263199,7.38864087029134,10.993672606825603,4.989077545562404
13,1.8370068915605384,6.229903321769564,7.872230217544647,12.411131302153084,6.18122798038352
14,2.0303582214351907,6.681789475912924,8.702207799405027,14.657239639021682,7.975450163108758
15,1.773374328067036,6.219295503864221,7.893318776174316,12.678094512463165,6.458799008598944
16,1.8685138990138703,6.465964576154089,8.405528927946698,14.18282148017612,7.7168569040220305
17,1.7321908395470262,6.224183432505327,7.958837739474805,13.083682406028078,6.859498973522752
18,1.7377540816963823,6.113258713821077,7.801662897312321,12.6714439500411,6.558185236220023
19,2.2169963293839268,6.760608167671162,9.037509908971648,15.837463609069513,9.07685544139835
20,2.0166603808380703,6.361171536555907,8.291540425072387,13.895533760024442,7.534362223468535
21,2.1787534664623682,6.658262051216753,9.011369343347372,16.162410687032718,9.504148635815966
22,1.7351315018143245,6.2869938439019375,8.172633518868363,13.89246741264035,7.605473568738413
23,1.6234416580190032,5.91738094347082,7.542249146222704,12.347941585625843,6.430560642155023
24,1.5745981652726802,5.851233728392593,7.394985667867433,11.918580325824529,6.067346597431936
25,1.9266867304581161,6.369405201346838,8.358678217691477,14.276065311969065,7.9066601106222265
26,1.7927272302289907,6.1380440462705215,7.812926768562774,12.500008380392192,6.36196433412167
27,1.7337846334151148,6.234435870233997,7.947056095856756,12.9246024074588,6.690166537224802
28,1.9078959812125964,6.2189826031096525,8.02037063035186,13.210202935306597,6.991220332196945
29,1.8018200960951156,6.307421152954976,8.165921012423711,13.693621357198976,7.386200204244
30,2.275856690212543,6.9463817325847454,9.388387609488056,16.769367903123907,9.822986170539162
31,1.6686685736269162,6.089536102611302,7.593543078334942,11.796933030159693,5.70739692754839
32,2.279005936335586,7.162978320337363,9.851393261473339,18.18036758117494,11.017389260837579
33,2.2019380169262575,6.892543015467806,9.298302934894497,16.758505848918045,9.86596283345024
34,2.2283613373896163,6.945931940842963,9.43578332391057,17.114808563437702,10.168876622594738
35,1.967636304246857,6.392660704732274,8.302269564213248,14.036726328072815,7.644065623340541
