arm,trained_on,sd_ais,ais_fit_span,n,shape_cm,shape_over_sigma_heldout,shape_over_sigma_bar,bias_vs_imbie_cm,bias_vs_frederikse_cm,rmse_vs_imbie_cm,rmse_vs_frederikse_cm,rmse_vs_imbie_over_sigma_bar,cov90_vs_imbie,band_halfwidth_cm,sigma_heldout_cm,sigma_bar_cm,constant_offset_cm,provenance
L27,frederikse,free,1900-2025,79,0.02409728716910986,0.10313381371611353,0.1439123321346314,0.03504535743777892,-0.09902830356502326,0.042530651615655175,0.10191802664826742,0.253998934330688,1.0,0.28774370369627583,0.23365069418881504,0.16744421281816635,-0.13407366100280213,"diag_ais_heldout_pre1979.py | frozen 070f74ab (Frederikse) | live eb768cd9 (IMBIE-2026) | heldout 1900-1978 | ref (1995, 2005) | sigma_ho 0.2337 sigma_bar 0.1674 cm | offset -0.134074 cm | scoring only, no refit, no RNG | cm"
L28,imbie2026,free,1900-2025,79,0.15009967285644085,0.6424105581092093,0.8964160082345721,-0.2762924188427358,-0.41036607984553797,0.31443188849348647,0.43695563994461156,1.8778307306143764,0.34177215189873417,0.26099512614446263,0.23365069418881504,0.16744421281816635,-0.13407366100280213,"diag_ais_heldout_pre1979.py | frozen 070f74ab (Frederikse) | live eb768cd9 (IMBIE-2026) | heldout 1900-1978 | ref (1995, 2005) | sigma_ho 0.2337 sigma_bar 0.1674 cm | offset -0.134074 cm | scoring only, no refit, no RNG | cm"
L31,imbie2026,free,1979-2025,79,0.3240808125072827,1.387031241796313,1.9354554394735257,-0.685466376749176,-0.8195400377519784,0.7582166752907932,0.8812912381919467,4.528174862120602,0.02531645569620253,0.5143269112158623,0.23365069418881504,0.16744421281816635,-0.13407366100280213,"diag_ais_heldout_pre1979.py | frozen 070f74ab (Frederikse) | live eb768cd9 (IMBIE-2026) | heldout 1900-1978 | ref (1995, 2005) | sigma_ho 0.2337 sigma_bar 0.1674 cm | offset -0.134074 cm | scoring only, no refit, no RNG | cm"
L32,imbie2026,floor,1900-2025,79,0.050087930987906114,0.21437099154274133,0.2991320520721632,-0.14135515857018965,-0.27542881957299187,0.14996693530592903,0.2799461296071459,0.8956232812225257,1.0,0.29984936721554317,0.23365069418881504,0.16744421281816635,-0.13407366100280213,"diag_ais_heldout_pre1979.py | frozen 070f74ab (Frederikse) | live eb768cd9 (IMBIE-2026) | heldout 1900-1978 | ref (1995, 2005) | sigma_ho 0.2337 sigma_bar 0.1674 cm | offset -0.134074 cm | scoring only, no refit, no RNG | cm"
L33,imbie2026,floor21,1900-2025,79,0.07127276132630256,0.30503980128861274,0.4256507891598511,-0.19691278196179193,-0.33098644296459406,0.20941454153665714,0.33857322979442805,1.2506526084844023,1.0,0.28536773900647194,0.23365069418881504,0.16744421281816635,-0.13407366100280213,"diag_ais_heldout_pre1979.py | frozen 070f74ab (Frederikse) | live eb768cd9 (IMBIE-2026) | heldout 1900-1978 | ref (1995, 2005) | sigma_ho 0.2337 sigma_bar 0.1674 cm | offset -0.134074 cm | scoring only, no refit, no RNG | cm"
L34,frederikse,floor,1900-2025,79,0.030465132833349565,0.13038751260345258,0.1819419872482111,0.03440951648199514,-0.09966414452080703,0.04595801500367841,0.10421643834644294,0.2744676225602724,1.0,0.31288609217412133,0.23365069418881504,0.16744421281816635,-0.13407366100280213,"diag_ais_heldout_pre1979.py | frozen 070f74ab (Frederikse) | live eb768cd9 (IMBIE-2026) | heldout 1900-1978 | ref (1995, 2005) | sigma_ho 0.2337 sigma_bar 0.1674 cm | offset -0.134074 cm | scoring only, no refit, no RNG | cm"
L35,imbie2026,floor,1979-2025,79,0.2751942502392817,1.1778019799799737,1.6434981275711509,-0.6447949918697371,-0.7788686528725393,0.7010652301355805,0.8260558418123101,4.186858526408986,0.6708860759493671,0.6784629204649698,0.23365069418881504,0.16744421281816635,-0.13407366100280213,"diag_ais_heldout_pre1979.py | frozen 070f74ab (Frederikse) | live eb768cd9 (IMBIE-2026) | heldout 1900-1978 | ref (1995, 2005) | sigma_ho 0.2337 sigma_bar 0.1674 cm | offset -0.134074 cm | scoring only, no refit, no RNG | cm"
