arm,transient,amp_variant,amp_used,a,b,T_off,f,tau_f,tau_s,kappa,nu,sigma,rho,logJ,ll_flow,ll_inv,ll_lec,ll_prior,S1900_mm,inv_z,S2020_mm,com1p2,com1p5,com2p0,com3p0,sens_mm,ds126,ds245,ds585,spread,g_s1900,g_inv,g_lad,g_spread,npass
A_SC_fixed,N,ampfit,1.59490,0.38300,0.28634,-0.95661,,,,0.00971,0.00000,0.05002,0.99000,-2.03475,-4.50913,1.89433,2.39569,-1.81563,35.03784,-0.01707,112.71235,37.71081,45.68590,56.77393,72.62135,72.80320,9.27605,10.30098,11.75124,2.47519,False,True,True,False,2
A_SC_fixed,M,ampfit,1.59490,0.38300,0.28634,-0.95661,0.38681,72.98089,122.40890,,,0.05091,0.99000,-10.95331,-4.75631,1.89393,2.17403,-10.26496,36.18779,-0.03307,113.91812,37.43168,45.44251,56.58023,72.49867,72.80320,9.27990,10.34612,11.84637,2.56646,False,True,True,False,2
B_free,N,ampfit,1.59490,0.29829,0.32040,-2.00000,,,,0.00848,0.00000,0.00500,0.04930,2.55836,8.69069,0.32797,-1.30974,-5.15056,48.74746,-1.77003,128.57795,49.84458,56.97314,66.67456,80.00835,39.09332,6.43115,6.92015,7.58976,1.15861,False,False,True,False,1
A_SC_fixed,N,amp1.8,1.80000,0.38300,0.28634,-0.95661,,,,0.00971,0.00000,0.05002,0.99000,-2.03475,-4.50913,1.89433,2.39569,-1.81563,35.03784,-0.01707,112.71235,41.94944,50.26585,61.56426,77.04400,72.37803,9.50314,10.59471,12.07386,2.57072,False,True,True,False,2
A_SC_fixed,M,amp1.8,1.80000,0.38300,0.28634,-0.95661,0.38681,72.98089,122.40890,,,0.05091,0.99000,-10.95331,-4.75631,1.89393,2.17403,-10.26496,36.18779,-0.03307,113.91812,41.68931,50.04299,61.39203,76.94113,72.37803,9.51290,10.64839,12.17766,2.66476,False,True,True,False,2
B_free,N,amp1.8,1.80000,0.29829,0.32040,-2.00000,,,,0.00848,0.00000,0.00500,0.04930,2.55836,8.69069,0.32797,-1.30974,-5.15056,48.74746,-1.77003,128.57795,53.64777,61.01203,70.77885,83.58539,38.30950,6.54316,7.06049,7.73673,1.19358,False,False,True,False,1
C_nu0.0,N,ampfit,1.59490,0.38300,0.28634,-0.95661,,,,0.00971,0.00000,0.05002,0.99000,-2.03475,-4.50913,1.89433,2.39569,-1.81563,35.03784,-0.01707,112.71235,37.71081,45.68590,56.77393,72.62135,72.80320,9.27605,10.30098,11.75124,2.47519,False,True,True,False,2
C_nu0.5,N,ampfit,1.59490,0.38300,0.28634,-0.95661,,,,0.00794,0.50000,0.06851,0.99000,-7.52835,-11.16371,1.87814,3.42296,-1.66574,27.72772,0.18074,103.89229,39.67920,47.40227,58.13991,73.48654,72.80320,10.83268,12.72404,15.95029,5.11761,True,True,True,True,4
C_nu1.0,N,ampfit,1.59490,0.38300,0.28634,-0.95661,,,,0.00607,1.00000,0.08490,0.99000,-13.09500,-17.04774,1.83229,3.78102,-1.66057,21.30857,0.35265,96.58118,41.21895,48.74488,59.20843,74.16332,72.80320,11.98485,14.59251,19.36271,7.37786,True,True,True,True,4
C_nu1.5,N,ampfit,1.59490,0.38300,0.28634,-0.95661,,,,0.00437,1.50000,0.10006,0.99000,-18.75597,-22.38211,1.76461,3.68327,-1.82173,15.81095,0.50964,89.96956,42.54522,49.90135,60.12881,74.74627,72.80320,12.82533,15.95873,21.75602,8.93069,True,True,True,True,4
C_nu2.0,N,ampfit,1.59490,0.38300,0.28634,-0.95661,,,,0.00293,2.00000,0.11416,0.99000,-24.41701,-27.21607,1.67430,3.30622,-2.18146,11.13261,0.66358,83.06405,43.86802,51.05478,61.04678,75.32770,72.80320,13.44135,16.96185,23.41789,9.97654,True,True,True,True,4
C_nu2.5,N,ampfit,1.59490,0.38300,0.28634,-0.95661,,,,0.00179,2.50000,0.12698,0.99000,-29.93694,-31.48324,1.55436,2.78590,-2.79396,7.23589,0.82476,74.79786,45.37351,52.36752,62.09153,75.98942,72.80320,13.88551,17.71674,24.67027,10.78475,False,True,True,True,3
