year,model,member,scenario,tas_global_K,gsat_anom_C,gsat_anom_C_11yr,gis_anom_C,gis_anom_C_11yr,amp_11yr,source,basis
1850,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.76583161127655,-0.21386552420608496,,-1.0446741683515484,,,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1851,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9470046137094,-0.03269252177324233,,-1.5242065300841716,,,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1852,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9319236102204,-0.047773525262243766,,-0.17891135065625008,,,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1853,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0106457799058,0.030948644423176574,,0.2565837527166934,,,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1854,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.1059200597358,0.12622292425317028,,0.010146343199892272,,,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1855,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.01637579017626,0.03667865469361686,0.03738024278453105,0.3609243749071709,-0.40484924416832707,-10.830567540772222,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1856,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.1379166742742,0.15821953879157036,0.07384306135713298,-0.6098894424337402,-0.3139200929891398,-4.251179287799344,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1857,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.097305958405,0.11760882292236374,0.05788969578920635,-0.22034298609145253,-0.12278097283362141,-2.120946934679076,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1858,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0362107112513,0.05651357576863347,0.05515085131494599,-0.5557525022015568,-0.03627713511516814,-0.6577801475448298,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1859,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.1548066420327,0.17510950655008628,0.05371712505678323,-0.4759574763341732,0.1019278693564109,1.8974930108166645,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1860,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.98390970995143,0.004212574468795083,0.05427915196493028,-0.4712617005224615,0.1632391525002416,3.007400568927648,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1861,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.1669226155752,0.18722548009253615,0.07483775643066792,-0.04445350538048842,0.26743502648974465,3.573530785059076,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1862,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.7715175924622,-0.20817954302043518,0.07104421860567424,0.5783237916265307,0.42973858737859544,6.048888928792759,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1863,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.90179632100353,-0.0779008144791078,0.057695764312835636,0.7726308642467359,0.4139016457542885,7.173865372682261,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1864,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.994874791066,0.01517765558338624,0.04534888114823265,1.7768388019040628,0.43684294579465316,9.63293767638362,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1865,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.1121023557254,0.1324052202427879,0.03372527500055288,0.68457045778203,0.4464319896491547,13.237312064670666,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1866,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.24252043929937,0.2628233038167309,0.04540226235107267,1.5070789887917044,0.5052506914288131,11.128315314377193,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1867,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0961877581993,0.11649062271663979,0.050024685804420314,1.1754497273436186,0.4447881005977582,8.89137219845278,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1868,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.9504729611838,-0.029224174298860817,0.09100140162476836,-0.394549343958829,0.49049395514280875,5.389960444403839,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1869,IPSL-CM6A-LR,r1i1p1f1,ssp585,285.90039499644064,-0.07930213904199945,0.11190679378390976,-0.3033982017575454,0.5216269803289632,4.661262848225431,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1870,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.02694697440825,0.047249838925608856,0.11592448624782553,-0.3704779939346565,0.39068166601958604,3.370139292093816,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1871,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.11235657080715,0.13265943532451274,0.11955097489806121,0.17574401905378068,0.37160174821168696,3.108312153276412,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1872,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.217769273562,0.23807213807936023,0.11262947038849544,-0.7095420045220919,0.20738366066580935,1.8412912708412468,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1873,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.22226146648603,0.24256433100339336,0.10906266332831778,1.0810881916220865,0.14883665836394885,1.3646893796816337,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1874,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.1317556347541,0.15205849927144754,0.11215873034715494,1.1150941412944348,0.24099307858970126,2.1486787327547026,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1875,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0390694081691,0.05937227268645984,0.12681170839887168,0.33644034450091453,0.23719802951754074,1.8704742055162726,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1876,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.151993730878,0.17229659539538034,0.1215925118314038,0.4746913618951396,0.1362695817395909,1.1207070212394152,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1877,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.16638388969415,0.18668675421150738,0.09455981621999854,-0.2993199742129491,0.06600949767700502,0.6980713406150277,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
1878,IPSL-CM6A-LR,r1i1p1f1,ssp585,286.0569528805373,0.07725574505468558,0.049807085777837816,0.5314327020231531,0.13062989044296233,2.6227169970479878,cmip6_gis_csv,anomaly vs own historical 1850-1900 mean
