year,variable,p05,p17,p50,p83,p95
2000,SLR_total,-1.5662155350924953,-1.490654159302392,-1.390845908238575,-1.2865178060886016,-1.1931072589793712
2000,ais,-0.20644367825605883,-0.18464061703770668,-0.14242573475041434,-0.09579229955734087,-0.07210421536543521
2000,gsic,-0.4003877658598307,-0.3734585642933338,-0.3428879918105601,-0.317439796682776,-0.3011022050601488
2000,gis,-0.30989510835107315,-0.2843149752402866,-0.2549586184035779,-0.22958947424159715,-0.2126893412029383
2000,te,-0.814119907345237,-0.7449883294713017,-0.6449294237085645,-0.5416492316662092,-0.47903482994263524
2000,lws,0.0,0.0,0.0,0.0,0.0
2010,SLR_total,1.394102173465854,1.497450860794501,1.6226952544659472,1.7399409057458128,1.8222170382637366
2010,ais,0.06937529445987227,0.10087501130461204,0.15623263628413345,0.19736166982200148,0.22087049842260817
2010,gsic,0.35899738764291134,0.37844293535360785,0.4079750743142846,0.4429274767538298,0.47213161309578144
2010,gis,0.2569625793960242,0.27667308699263904,0.30578303476452434,0.33907577463962,0.3677848005281672
2010,te,0.556393507620392,0.6337081133934648,0.7466405209923532,0.8610112824326722,0.9453954519683614
2010,lws,0.0,0.0,0.0,0.0,0.0
2020,SLR_total,4.453489012073967,4.752546106450254,5.159554453832902,5.533487727603849,5.798291565674578
2020,ais,0.45188733665238545,0.5206601904754102,0.6073721982916087,0.676531567360573,0.7207903731573458
2020,gsic,1.0501334388526857,1.1011023549025016,1.1809102087802017,1.2775363201736663,1.3589473770674754
2020,gis,0.7466888143724223,0.8119028920221599,0.9103686936934439,1.0278023495807906,1.1224140475569564
2020,te,1.7943616338353565,2.018745810737596,2.3859235295492605,2.7243292074728993,2.9700304793164203
2020,lws,0.05791438615406403,0.05791438615406403,0.05791438615406403,0.05791438615406403,0.05791438615406403
2030,SLR_total,8.104436358161589,8.650036812766661,9.398407014633417,10.122145145213821,10.68012116544622
2030,ais,0.9602748120435634,1.043703954706938,1.1565504089769902,1.2667412149581982,1.3430089447910964
2030,gsic,1.743134066337637,1.8276998450087139,1.9689667759147893,2.141114053462972,2.2849223014354525
2030,gis,1.2559918542835122,1.3803866215175613,1.5721348738041252,1.8008942025899468,1.9942014378510144
2030,te,3.106724340869076,3.5362906732369854,4.207714451701356,4.8361287469683845,5.288464715184765
2030,lws,0.4610753742637405,0.4610753742637405,0.4610753742637405,0.4610753742637405,0.4610753742637405
2040,SLR_total,11.801508332797143,12.658157501304018,13.841136416467586,15.09515558186727,16.459233607523185
2040,ais,1.522353931874728,1.635802407425381,1.7965219643460397,1.98537360925761,2.3379201306500423
2040,gsic,2.4064548158191874,2.53296541185957,2.7344267544529948,2.982603857586875,3.1926791828488317
2040,gis,1.783049318982114,1.9747335544896008,2.283476089235999,2.651571457934558,2.9816433587317754
2040,te,4.435715387365219,5.127960608970742,6.1098552002892745,7.095491292310815,7.798223577536173
2040,lws,0.8201880512157937,0.8201880512157937,0.8201880512157937,0.8201880512157937,0.8201880512157937
2050,SLR_total,15.52014197927916,16.749353300003463,18.525480912655816,21.36957574884847,30.340795759232837
2050,ais,2.134428586556048,2.3029234724159062,2.5524918736270976,3.880402298447292,13.16168601166778
2050,gsic,3.040295252492364,3.20428146673189,3.4677492298925805,3.7852742781720234,4.071741677114799
2050,gis,2.3211696827035295,2.5967575080562972,3.0398010059359244,3.5884732292123784,4.085919697713395
2050,te,5.8483766992023725,6.840391954129287,8.142359715759458,9.552591997624027,10.52699969516591
2050,lws,1.0367873592541808,1.0367873592541808,1.0367873592541808,1.0367873592541808,1.0367873592541808
2060,SLR_total,19.51047672760254,21.187443666893447,23.96040393671492,36.02997396003866,48.43258333070397
2060,ais,2.8027778382713215,3.0528409038501447,3.4892324993112167,15.596514147180267,26.874424777702124
2060,gsic,3.634712339340496,3.835692070443611,4.159029886736897,4.544912671952204,4.907559186290007
2060,gis,2.87097559531548,3.239482828831836,3.8441913246123227,4.607599411698008,5.3064896805507
2060,te,7.272755117011033,8.602583896648802,10.245817162836685,12.149445630254306,13.391974052047786
2060,lws,1.3922663725651958,1.3922663725651958,1.3922663725651958,1.3922663725651958,1.3922663725651958
2070,SLR_total,23.559422618118262,25.800160650129552,30.49563429335877,53.9317872727871,66.7878320795198
2070,ais,3.5105319039002643,3.8639261352794803,5.221281139976272,29.2252848146671,40.698200721830666
2070,gsic,4.180136763475266,4.419952257641345,4.7956600095277295,5.245227711355791,5.677723525469997
2070,gis,3.42867159952029,3.897877123461538,4.685261146922531,5.687261879953639,6.643042777361355
2070,te,8.621514029577561,10.353006529203274,12.355695920409733,14.785348299344063,16.360999409531882
2070,lws,1.7402566206886732,1.7402566206886732,1.7402566206886732,1.7402566206886732,1.7402566206886732
2080,SLR_total,27.48252373960469,30.440274755524815,41.45937494106491,71.80555278460292,85.26279208812973
2080,ais,4.255486118073263,4.751465858510819,13.758698049204057,42.909293851646424,54.54131894701765
2080,gsic,4.6806226687609795,4.960285832299958,5.3819469726114955,5.890571902346052,6.378034697222428
2080,gis,3.9915473623581432,4.56989193811857,5.5586577266414245,6.8332865217552685,8.051160890067619
2080,te,9.880677992462758,12.03874534885546,14.473085056236357,17.389044434657485,19.357351556578678
2080,lws,2.0051310144705425,2.0051310144705425,2.0051310144705425,2.0051310144705425,2.0051310144705425
2090,SLR_total,31.441954259742662,35.18626486083218,57.952584811370926,90.06841099901436,104.12491938128683
2090,ais,5.024885817137468,5.706299287278368,26.43735926941686,56.64675123624613,68.33770248937536
2090,gsic,5.139800956501856,5.453022379423281,5.915351132421453,6.484285331510486,7.022926329547001
2090,gis,4.562410829054083,5.249858877158127,6.446959345066217,8.024842235589428,9.537519946329773
2090,te,11.103222252518139,13.638270401212699,16.558332105994122,20.04028505937601,22.396097404782417
2090,lws,2.368107784941434,2.368107784941434,2.368107784941434,2.368107784941434,2.368107784941434
2100,SLR_total,35.15542218632938,39.931073263041114,74.93587299442316,108.04397704213393,122.73417738474572
2100,ais,5.818097026490345,6.72350139787106,39.92365641960805,70.48335056285796,82.30809417919595
2100,gsic,5.5536742039777725,5.8982038957553895,6.400333844419844,7.020948995063014,7.617885415737903
2100,gis,5.132912308575792,5.938405404437835,7.339115839146329,9.265188498852897,11.079957052279417
2100,te,12.187435213701654,15.145603594148662,18.585189839920996,22.63335057406316,25.410594849206404
2100,lws,2.596380650083528,2.596380650083528,2.596380650083528,2.596380650083528,2.596380650083528
