year,before_ais,after_ais,before_gsic,after_gsic,before_gis,after_gis,before_te,after_te,before_lws,after_lws,before_total,after_total,lws_fred
1850,-5.434109024602409,-0.08753042364007646,-4.0314425337614495,-8.283466075889365,-7.2027345050384834,-7.2027345050384834,-4.737621299032636,-5.080006293369736,0.0,0.0,NaN,NaN,NaN
1851,-6.31705350161706,-1.0500877971271192,-4.018236626705332,-8.237836616676017,-7.153449884365754,-7.153449884365754,-4.696661274642974,-5.036086113063524,0.0,0.0,NaN,NaN,NaN
1852,-6.273706039206301,-1.0485128351625737,-4.003988890526729,-8.190960885307366,-7.104076888666883,-7.104076888666883,-4.656204885841534,-4.992705965781536,0.0,0.0,NaN,NaN,NaN
1853,-6.225760516670526,-1.0417199350202242,-3.988698311661884,-8.142842421567147,-7.054615318452379,-7.054615318452379,-4.617021852867309,-4.950691198973765,0.0,0.0,NaN,NaN,NaN
1854,-6.177905120858636,-1.0348965102932148,-3.9731384126119362,-8.094454939175062,-7.005162163797946,-7.005162163797946,-4.580005447514108,-4.91099964064035,0.0,0.0,NaN,NaN,NaN
1855,-6.130279554908653,-1.0280817695927367,-3.957038277745988,-8.045460771487228,-6.955683400464691,-6.955683400464691,-4.545742046363356,-4.874260044439698,0.0,0.0,NaN,NaN,NaN
1856,-6.082392752113148,-1.0212765243733932,-3.941674946227315,-7.997457767362551,-6.906339253593769,-6.906339253593769,-4.57450885207618,-4.905105809611162,0.0,0.0,NaN,NaN,NaN
1857,-6.033762199127608,-1.0148385437826255,-3.929163436956128,-7.953081033777103,-6.857394353586683,-6.857394353586683,-4.577356478795412,-4.908159232572135,0.0,0.0,NaN,NaN,NaN
1858,-5.9845864797816795,-1.0082706301085318,-3.9177690182682383,-7.91015561468325,-6.808630874909822,-6.808630874909822,-4.551097447108422,-4.8800024767219075,0.0,0.0,NaN,NaN,NaN
1859,-5.935590656670959,-1.0015416846308798,-3.905536686701791,-7.866243175450336,-6.759804321252522,-6.759804321252522,-4.515072951750864,-4.84137451311299,0.0,0.0,NaN,NaN,NaN
1860,-5.887169732424054,-0.9947496827916955,-3.8916930044544618,-7.820385911036217,-6.71081785390964,-6.71081785390964,-4.474683551219565,-4.798066195302463,0.0,0.0,NaN,NaN,NaN
