marker,decline,climate,year,gmst_K,ladrillo_cm,equilibrium_ceiling_cm,saturation_S_over_Seq,headroom_cm,headroom_floored_cm,frac_blocks_Seq_negative,regrowth_R1_cm
vvVL,True,fair,2100,,7.0382908225375775,18.238149733566775,0.525754015569061,0.0,0.0,0.0,-0.00022965415131892541
vvVL,True,fair,2150,,8.586064101258925,17.361389006840895,0.615095315733555,0.0,0.0,0.0008333333333333334,-0.00015157381924169044
vvVL,True,fair,2300,,10.290022327864776,15.457194359039296,0.753504535307988,0.0,0.0,0.011666666666666667,-8.076819400137936e-05
vvVL,True,magicc,2100,1.380962925005992,6.013862032496874,15.943961991129648,0.5368396764203791,0.0,0.0,0.008333333333333333,-0.0002706515327615122
vvVL,True,magicc,2150,1.1290515639587266,6.8954614260619875,13.974426533074181,0.6398911109683861,0.0,0.0,0.029166666666666664,-0.00020320157271758177
vvVL,True,magicc,2300,0.6779271324314322,7.61627534225717,10.002626150820799,0.8434920521334326,0.0,0.0,0.1025,-0.0002241630874229017
vvLN,True,fair,2100,,7.481991709482455,18.676782692432297,0.5343161668555966,0.0,0.0,0.0,-0.0002126448639305778
vvLN,True,fair,2150,,8.834174440646443,16.076803084980604,0.6636143464951855,0.0,0.0,0.008333333333333333,-0.00014895279929660887
vvLN,True,fair,2300,,9.186386811509959,7.189536308960118,1.1465868356017186,2.354869780954557,1.8323957096968206,0.1425,-0.14032300429526057
vvLN,True,magicc,2100,1.4663199508461704,6.707407452363865,16.53393084369152,0.5542619147900316,0.0,0.0,0.005,-0.00024336597508600732
vvLN,True,magicc,2150,0.856014831363842,7.374310604204265,11.656508881468309,0.7500768582535795,0.0,0.0,0.0725,-0.000210778083872043
vvLN,True,magicc,2300,-0.6724842763511164,7.4490788460890665,-10.428972622005524,114590004690.05362,17.640730777419584,9.75848378111595,0.5,-2.1234150037951007
vvL,False,fair,2100,,7.457982768853254,19.183655942438193,0.5235138778337247,0.0,0.0,0.0,-0.00021250371906500476
vvL,False,fair,2150,,9.290332205493852,18.167852494030402,0.6232259193685108,0.0,0.0,0.0,-0.00013455692522335028
vvL,False,fair,2300,,10.844194871409162,15.728759639713639,0.7698876692286616,0.0,0.0,0.010833333333333334,-7.649371986140352e-05
vvL,False,magicc,2100,1.622318018362048,6.680278601217049,17.483306854353494,0.5275065478468506,0.0,0.0,0.0008333333333333334,-0.0002422959307386563
vvL,False,magicc,2150,1.3056142205345735,7.850699744361689,15.415930977580231,0.6369827145902909,0.0,0.0,0.013333333333333334,-0.00017152636090855822
vvL,False,magicc,2300,0.8506228035345995,8.610760277783783,11.596607340941901,0.8233086406890724,0.0,0.0,0.07416666666666667,-0.00016436363677740928
vvML,True,fair,2100,,8.807392139834834,21.513953820610094,0.5297465530389172,0.0,0.0,0.0,-0.0001794949521194411
vvML,True,fair,2150,,11.297512830558151,19.839130282269373,0.6613910859428047,0.0,0.0,0.0,-9.68113730905884e-05
vvML,True,fair,2300,,12.144690528662537,9.83007472436158,1.1282241081291104,2.440622700560883,2.2542388791138075,0.105,-0.12221162856625511
vvML,True,magicc,2100,2.2203787692000665,8.212982137976262,20.537836864106204,0.526022784116489,0.0,0.0,0.0,-0.0001934154865610438
vvML,True,magicc,2150,1.647620321596223,10.111724177248893,17.61828999939771,0.6734863889812466,0.0,0.0,0.0,-0.00011964305235778738
vvML,True,magicc,2300,-0.0301218668775795,10.486359481576564,1.73095739588132,2.407508508528843,8.802419264501252,6.883915000989548,0.21916666666666665,-0.6206028094275258
vvM,False,fair,2100,,9.676701707741309,23.198866761046702,0.5295099913656884,0.0,0.0,0.0,-0.00015862248023346126
vvM,False,fair,2150,,14.619554092392406,24.81295198920267,0.6678516317656804,0.0,0.0,0.0,-5.3378580446405977e-05
vvM,False,fair,2300,,21.57394756062473,25.912701464358513,0.8646147371540276,0.0,0.0,0.0,-6.057326606523361e-06
vvM,False,magicc,2100,2.8185724243841883,9.09545936882503,22.66295155914611,0.5180346208466603,0.0,0.0,0.0,-0.00017219062382700656
vvM,False,magicc,2150,3.517745376607664,13.860045752041806,24.450313068917715,0.6516576915074683,0.0,0.0,0.0,-6.044361599855108e-05
vvM,False,magicc,2300,3.875576396170535,20.475639583926768,25.05029574185547,0.849869414446252,0.0,0.0,0.0,-8.184638197406002e-06
vvHL,True,fair,2100,,10.659057562365806,23.11856677253251,0.5664990089053625,0.0,0.0,0.0,-0.00013661794639663327
vvHL,True,fair,2150,,13.230176035992653,21.407628886558737,0.7021782331222308,0.0,0.0,0.0,-6.921930263104059e-05
vvHL,True,fair,2300,,14.411327711340206,16.683700634149414,0.900462786830744,0.33167655104621097,0.33167655104621097,0.004166666666666667,-0.003509234371870562
vvHL,True,magicc,2100,2.6825898642904904,9.869716400689926,22.255224453046576,0.555740602608617,0.0,0.0,0.0,-0.00015430567882646073
vvHL,True,magicc,2150,2.037990111212377,12.047916341735654,19.698319310188808,0.6972252316656059,0.0,0.0,0.0,-8.803991266148614e-05
