component,year,obs,p50,bias,in90
ais,1900,-0.6340783032503996,-0.6340043586717847,7.394457861487069e-5,true
glaciers,1900,-5.984817634756859,-5.701889280998362,0.28292835375849723,true
gis,1900,-4.130332357233222,-4.235384684082807,-0.10505232684958532,true
te,1900,-3.6098928928375242,-3.9250960543275886,-0.31520316149006433,false
total,1900,-13.937918849348069,-13.682090845861367,0.25582800348670176,true
ais,1950,-0.36264223185452554,-0.36851723138885,-0.005874999534324465,true
glaciers,1950,-2.4259914289511437,-2.6146403847120308,-0.18864895576088703,true
gis,1950,-1.3604312723333192,-2.219286944284599,-0.8588556719512797,false
te,1950,-2.815257120132446,-2.4609468143739224,0.35431030575852374,false
total,1950,-5.985805844939225,-6.51552293644022,-0.529717091500995,false
ais,2000,0.0017998782071199648,-0.009063200274227523,-0.010863078481347488,false
glaciers,2000,-0.00850888165561,-0.0014190424674209723,0.007089839188189027,false
gis,2000,-0.04322274381464186,-0.0038313926982125324,0.03939135111642933,false
te,2000,-0.23769707679748553,-0.014619454843419533,0.223077621954066,false
total,2000,-0.2893630562230687,-0.25800829608221315,0.03135476014085553,false
ais,2018,0.696409138766202,0.5712257692131986,-0.12518336955300347,false
glaciers,2018,1.20556921092,1.2357187285263498,0.030149517606349763,true
gis,2018,1.2730523759668522,0.9968700593374953,-0.2761823166293569,false
te,2018,2.074393606185913,2.5077388343552016,0.43334522816928844,false
total,2018,5.965000044906917,5.991676080956834,0.026676036049916974,true
ais,2025,0.7663673305319003,0.8530370192846227,0.0866696887527224,false
glaciers,2023,1.63055217082,1.5982557292428625,-0.0322964415771374,true
gis,2025,1.6502983936827973,1.4353101719042032,-0.2149882217785941,true
te,2025,3.2329575871586798,3.681052705871569,0.4480951187128892,false
total,2024,8.225314682835013,8.11254133423275,-0.1127733486022624,true
ais,2019,0.6917651205871491,0.6096091794581553,-0.08215594112899383,false
ais,2020,0.7446601482114583,0.6484910981679168,-0.09616905004354148,false
ais,2022,0.7131118056700219,0.7276093191800251,0.01449751351000328,true
ais,2024,0.7646276896479223,0.8103314281005913,0.04570373845266906,true
ais,2025,0.7663673305319003,0.8530370192846227,0.0866696887527224,false
