year,ais_p5,ais_p50,ais_p95,gsic_p5,gsic_p50,gsic_p95,gis_p5,gis_p50,gis_p95,te_p5,te_p50,te_p95,total_p5,total_p50,total_p95,provenance
1929,-3.4013465407206325,-2.6045357413852943,-1.7163434211106745,-3.3090118098302685,-2.830929217990283,-2.4544753985236705,-3.884983600304294,-3.458820136718769,-3.053228243749976,-4.1259800084152385,-3.1071766189177366,-2.2795461559364165,-11.257450820150527,-10.203428161695616,-9.193822740863327,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1930,-3.3470270662132604,-2.5613498018482606,-1.6885834215518576,-3.2808460726548554,-2.807022906052413,-2.433730886044743,-3.832828951992439,-3.4123628488457003,-3.0121924435035106,-4.085529670592577,-3.0767144393498405,-2.25719791093719,-10.989241383246425,-9.943932542110911,-8.949061726102483,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1931,-3.2938867588836107,-2.51803639554902,-1.6601905245251396,-3.251756437660373,-2.782277540277798,-2.4123016818204537,-3.7815465064372455,-3.3651971726563703,-2.9716948797789544,-4.040810913730472,-3.0430378157439084,-2.232491424212738,-10.832189281202409,-9.799429970732813,-8.815598627765986,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1932,-3.239579177620948,-2.474432351149357,-1.632226177790664,-3.2214923387455023,-2.756563001971958,-2.390175415554135,-3.728147773058499,-3.318344356701656,-2.9307010038463446,-3.9958514317644327,-3.009179907833882,-2.207651940240554,-10.688919902163445,-9.666200577601767,-8.695809593471191,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1933,-3.1877825717407977,-2.4326154010614345,-1.60460549996118,-3.1898282374132076,-2.729581454033074,-2.3671034099437804,-3.675157204047041,-3.2713410382926154,-2.889729129725136,-3.9653492310899656,-2.9862094318335295,-2.1907999016574133,-10.544859055353996,-9.529966310193869,-8.570245244537638,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1934,-3.1362804278472303,-2.390904016348059,-1.5776518683523153,-3.1573949798621137,-2.7021879099418453,-2.3434722885040378,-3.6223907638883115,-3.2247864738903784,-2.8479233810244042,-3.986081904354118,-3.0018227109775495,-2.2022544132025956,-10.506874611523216,-9.496549011510044,-8.540988492167292,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1935,-3.0817926002778653,-2.3481088250770643,-1.5483894320361369,-3.1294762160264056,-2.678547368711131,-2.3232372117910876,-3.569672007880614,-3.1785435643239603,-2.807293120026191,-3.9588717980497443,-2.981331432315322,-2.1872212106416895,-10.462895372464516,-9.460000829663365,-8.511834997676333,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1936,-3.028759515539723,-2.306389626280722,-1.5207347329070473,-3.099413968967116,-2.6531621829471304,-2.3014615512334045,-3.516896779303135,-3.132140538699378,-2.7666859468318474,-3.9099013279166877,-2.9444529453850654,-2.1601657118950817,-10.111596854692614,-9.12090723660775,-8.188273492675055,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1937,-2.976650814440817,-2.2635098804483027,-1.4936075662428576,-3.068091353892924,-2.6265418252066546,-2.278231867882147,-3.4641483797860926,-3.085172216272706,-2.726075703352821,-3.855238656392128,-2.9032877980643614,-2.1299653516187633,-9.935756179530632,-8.956543057414986,-8.038254876854946,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
1938,-2.9227992773475044,-2.2223027828729847,-1.4665040191750882,-3.0337879227759337,-2.5972463015388243,-2.2527585546723783,-3.4112922193656385,-3.0378898372062997,-2.6846431104268036,-3.8057677273280275,-2.86603242751225,-2.102633356323423,-9.834249989463412,-8.865750909170282,-7.960489639551271,"posterior_predictive_oldbrick.jl | stock MimiBRICK get_model(ssp245) | Random.seed!(2026) immediately before get_model | posterior data/MimiBRICK/parameters_subsample_brick.csv ND=10000 | forcing fair_mean_{gmst,ohc}_ssp245harm.csv | LWS = OBSERVED series (matches Ladrillo arm) | run 1850-2026, saved 1900-2026, re-referenced 1995-2005 | cm"
