component,source,module,year,spread_126_585
glaciers,Ladrillo,L24,2100,4.889088811142864
glaciers,BRICK 2.0,BRICK2.0,2100,3.4516406059265137
glaciers,MAGICC-SLR,Nauels2025,2100,4.848162954799065
glaciers,FACTS,ar5glaciers,2100,4.214402008056641
glaciers,FACTS,emuglaciers,2100,6.768180084228517
gis,Ladrillo,L24,2100,5.5108188737936015
gis,BRICK 2.0,BRICK2.0,2100,1.239062786102295
gis,MAGICC-SLR,Nauels2025,2100,7.090995003825567
gis,FACTS,FittedISMIP,2100,3.926586532592774
gis,FACTS,bamber19,2100,3.374999237060546
gis,FACTS,emuGrIS,2100,5.314587402343751
ais,Ladrillo,L24,2100,32.684644471855115
ais,BRICK 2.0,BRICK2.0,2100,38.24493765830994
ais,MAGICC-SLR,Nauels2025,2100,35.446238772849306
ais,FACTS,ar5AIS,2100,-1.5592895507812496
ais,FACTS,larmip,2100,1.2679672241210955
ais,FACTS,deconto21,2100,9.947501373291015
ais,FACTS,bamber19,2100,5.322499084472655
ais,FACTS,emuAIS,2100,0.07308959960937678
te,Ladrillo,L24,2100,12.29393805055697
te,BRICK 2.0,BRICK2.0,2100,11.573288917541504
te,MAGICC-SLR,Nauels2025,2100,16.791713861451875
te,FACTS,tlm,2100,12.499110412597656
lws,Ladrillo,L24,2100,0.0
lws,BRICK 2.0,BRICK2.0,2100,0.0
lws,MAGICC-SLR,Nauels2025,2100,0.0
lws,FACTS,ssp-lws,2100,-0.03843240737915066
total,Ladrillo,L24,2100,55.811681102043465
total,BRICK 2.0,BRICK2.0,2100,55.45306587219238
total,MAGICC-SLR,Nauels2025,2100,62.257751622257565
total,FACTS,wf1f,2100,19.13379974365234
total,FACTS,wf2f,2100,22.629531860351562
total,FACTS,wf3f,2100,32.95717468261719
total,FACTS,wf4,2100,30.82189331054687
total,FACTS,wf1e,2100,24.8363052368164
total,FACTS,wf2e,2100,26.32064361572266
total,FACTS,wf3e,2100,37.42856750488281
