marker,marker_label,component,year,width_ladrillo_cm,width_brick20_cm,width_ratio
vvVL,Very Low,total,2100,51.95452188567661,70.39839267730711,0.7380072173497808
vvVL,Very Low,total,2150,82.1187745019325,114.86189613342282,0.7149348675782252
vvVL,Very Low,total,2300,118.67037592715316,182.019031715393,0.6519668564807415
vvLN,Low-to-Neg,total,2100,51.10003918422022,72.23474864959714,0.7074163077953095
vvLN,Low-to-Neg,total,2150,73.8662932491218,105.49020576477037,0.7002194441997218
vvLN,Low-to-Neg,total,2300,72.99012053324924,106.86787433624269,0.6829940333948955
vvL,Low,total,2100,50.4663401375579,72.6035539627075,0.6950946253055287
vvL,Low,total,2150,90.8444577214398,123.63252754211425,0.7347941478466862
vvL,Low,total,2300,116.64882497392625,195.79912261962886,0.5957576490295887
vvML,Medium-to-Low,total,2100,64.85356255931549,81.73261604309079,0.7934844826834323
vvML,Medium-to-Low,total,2150,122.67865884766945,148.61159992218018,0.8254985405709219
vvML,Medium-to-Low,total,2300,148.0673417603959,188.58711891174312,0.7851402715881668
vvM,Medium,total,2100,67.99005951799573,81.25668029785156,0.8367319372237928
vvM,Medium,total,2150,140.47732157664473,154.77531166076653,0.9076209898678165
vvM,Medium,total,2300,385.56991449038287,326.75730209350587,1.1799886705517204
vvHL,High-to-Low,total,2100,77.21335406540871,89.03295612335205,0.8672446409443297
vvHL,High-to-Low,total,2150,146.48024098757978,163.34533824920652,0.8967518911626566
vvHL,High-to-Low,total,2300,226.56290742265406,267.98334884643555,0.8454365108799468
vvH,High,total,2100,71.9673489736948,83.09444255828859,0.8660910014916049
vvH,High,total,2150,145.89556267095094,138.47764701843255,1.0535676032358565
vvH,High,total,2300,375.8031986577017,379.59122467041004,0.9900207755961762
vvVL,Very Low,gis,2100,3.7393270375235383,4.906519913673398,0.7621139021779677
vvVL,Very Low,gis,2150,6.002211209900414,7.693544554710387,0.7801620133889455
vvVL,Very Low,gis,2300,10.207249715391713,13.576691198348994,0.7518216011742961
vvLN,Low-to-Neg,gis,2100,3.4929271185793977,5.039867091178895,0.6930593714848051
vvLN,Low-to-Neg,gis,2150,5.483260541301052,7.601222038269034,0.7213656585342574
vvLN,Low-to-Neg,gis,2300,7.358370651216253,9.389273214340209,0.7836997053166836
vvL,Low,gis,2100,3.5378054855420125,5.1021565675735445,0.6933941439638146
vvL,Low,gis,2150,5.838866027411684,8.22025029659271,0.7103027057256264
vvL,Low,gis,2300,9.72035593537922,13.603629827499386,0.7145413436441627
vvML,Medium-to-Low,gis,2100,4.213419267648602,5.782102274894713,0.7287002317380012
vvML,Medium-to-Low,gis,2150,7.131430298810973,9.972125601768486,0.7151364296440735
vvML,Medium-to-Low,gis,2300,9.57127197055529,14.367262077331537,0.6661862169032685
vvM,Medium,gis,2100,4.659350178023515,6.239967298507688,0.746694646803328
vvM,Medium,gis,2150,11.236166876684928,13.106338715553271,0.857307835585768
vvM,Medium,gis,2300,59.95820780805742,38.32307782173154,1.5645457310857596
vvHL,High-to-Low,gis,2100,5.82916255295066,7.1607599020004224,0.8140424525785638
vvHL,High-to-Low,gis,2150,9.910414151693239,12.378356242179866,0.8006244090732345
vvHL,High-to-Low,gis,2300,12.87319735287226,19.796114587783812,0.6502890906085336
vvH,High,gis,2100,5.3942527514075405,6.915611815452573,0.7800109224399155
vvH,High,gis,2150,15.858611139603958,15.965050435066217,0.993332980945148
vvH,High,gis,2300,88.39102692545691,57.16651325225829,1.5462028711706524
vvVL,Very Low,ais,2100,36.76281911914067,57.34374469518659,0.6410955425836801
vvVL,Very Low,ais,2150,61.613543801623145,96.04090682268132,0.641534381962669
vvVL,Very Low,ais,2300,83.09651815334772,153.5210052967071,0.5412713263097038
vvLN,Low-to-Neg,ais,2100,38.82242682102458,61.747615498304334,0.6287275469299813
vvLN,Low-to-Neg,ais,2150,57.480541681385695,89.43312528133383,0.6427209325467108
vvLN,Low-to-Neg,ais,2300,57.84218993839201,85.62495577335356,0.6755295744794121
vvL,Low,ais,2100,38.38594445422949,59.26240817904472,0.6477283936598921
vvL,Low,ais,2150,72.11329180104558,109.32726068496702,0.6596094272300876
vvL,Low,ais,2300,96.72344217480644,170.29086987972255,0.5679895947629064
vvML,Medium-to-Low,ais,2100,52.57769469209289,66.38607244491577,0.7919988750007698
vvML,Medium-to-Low,ais,2150,102.0873561935772,126.58854039907456,0.8064502195202142
vvML,Medium-to-Low,ais,2300,129.31591482324293,167.7051843881606,0.7710907405458371
vvM,Medium,ais,2100,54.17802513379841,67.34054806232452,0.8045379298614554
vvM,Medium,ais,2150,117.00534078373401,134.15011973381039,0.8721970656150275
vvM,Medium,ais,2300,327.9478730507755,297.1786521911621,1.1035377899211312
vvHL,High-to-Low,ais,2100,62.11682059885784,74.40230189561844,0.8348776720107891
vvHL,High-to-Low,ais,2150,122.9629816609191,141.38156435489654,0.8697242969547073
vvHL,High-to-Low,ais,2300,197.8087071297418,237.73262319564802,0.8320637885989681
vvH,High,ais,2100,58.551960139118215,70.84038636684417,0.8265336080454048
vvH,High,ais,2150,123.68130428399523,119.45389156341548,1.0353894935129468
vvH,High,ais,2300,273.981969745764,331.65232429504385,0.8261120145264675
vvVL,Very Low,te,2100,11.82465050401803,13.897417426109314,0.8508523664118239
vvVL,Very Low,te,2150,16.123058623138142,18.115338039398196,0.8900225095481443
vvVL,Very Low,te,2300,23.530387809091415,24.82807219028473,0.947733179956634
vvLN,Low-to-Neg,te,2100,11.457852449065555,14.199815130233764,0.8069015225888319
vvLN,Low-to-Neg,te,2150,14.670638353363623,17.024599027633656,0.8617317993540302
vvLN,Low-to-Neg,te,2300,15.090494131473724,15.169890630245208,0.9947661785633981
vvL,Low,te,2100,11.53786987223384,14.211680698394776,0.8118582254340301
vvL,Low,te,2150,15.961978489119172,18.450456905364984,0.865126461148926
vvL,Low,te,2300,22.574359112529272,24.403385639190674,0.9250502961472661
vvML,Medium-to-Low,te,2100,13.226557847703013,16.53297410011291,0.8000108006951202
vvML,Medium-to-Low,te,2150,19.08618976586088,22.28396921157836,0.8564986598502402
vvML,Medium-to-Low,te,2300,21.50293168255408,22.376694679260247,0.9609520972945119
vvM,Medium,te,2100,14.198235060825493,18.170175647735594,0.7814032916404364
vvM,Medium,te,2150,25.43902643628969,30.66825885772705,0.8294904042092425
vvM,Medium,te,2300,55.998056320429676,62.96493034362792,0.8893531052098862
vvHL,High-to-Low,te,2100,16.12338281749937,19.523505687713623,0.8258446549200438
vvHL,High-to-Low,te,2150,23.339081054135978,26.546804571151725,0.8791672455937856
vvHL,High-to-Low,te,2300,29.427747560465704,31.129916620254505,0.9453204748167782
vvH,High,te,2100,15.380733725878894,19.321087455749506,0.7960594226957938
vvH,High,te,2150,29.154430305724322,35.23914403915404,0.8273308305482953
vvH,High,te,2300,79.72987172992782,90.0418285369873,0.885475928525557
vvVL,Very Low,glaciers,2100,5.055478005014794,6.329089546203614,0.7987686014092229
vvVL,Very Low,glaciers,2150,6.772332604672511,9.666979026794433,0.7005634941279286
vvVL,Very Low,glaciers,2300,8.593540640761095,15.754859542846681,0.5454533325029163
vvLN,Low-to-Neg,glaciers,2100,4.634578266695949,6.002544784545897,0.7721022388084628
vvLN,Low-to-Neg,glaciers,2150,6.113953103950094,9.047134208679196,0.6757889253024222
vvLN,Low-to-Neg,glaciers,2300,6.380252105874868,13.618708562850953,0.46849171317748056
vvL,Low,glaciers,2100,4.708462455541524,5.956429004669188,0.7904841058040993
vvL,Low,glaciers,2150,6.506734190700824,9.189811277389524,0.7080378469479451
vvL,Low,glaciers,2300,8.140815452633863,14.88055849075317,0.5470772792360309
vvML,Medium-to-Low,glaciers,2100,5.272517007699856,6.437408781051634,0.8190433739767141
vvML,Medium-to-Low,glaciers,2150,7.3852381106594684,9.98351430892944,0.7397433290653949
vvML,Medium-to-Low,glaciers,2300,8.11371749514167,14.835874462127684,0.5468985003785238
vvM,Medium,glaciers,2100,5.494195283176463,6.581728076934816,0.83476485490649
vvM,Medium,glaciers,2150,8.617728744459606,11.013055896759031,0.7825011354927989
vvM,Medium,glaciers,2300,11.61673217151891,20.881112098693844,0.5563272739791268
vvHL,High-to-Low,glaciers,2100,6.542996550386032,7.302711153030398,0.8959681429643965
vvHL,High-to-Low,glaciers,2150,8.484564634115117,11.115224885940545,0.7633282026391652
vvHL,High-to-Low,glaciers,2300,9.526463697507479,16.525543212890618,0.5764690197945467
vvH,High,glaciers,2100,5.8787179083440435,6.714984846115112,0.8754625725991203
vvH,High,glaciers,2150,9.092864720450134,11.530407619476314,0.7885987226584373
vvH,High,glaciers,2300,11.480641020653785,22.623702526092533,0.5074607486291357
