component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.8492063492063492,0.9920634920634921,-0.004185864816212061,true
glaciers,124,0.7983870967741935,1.0,0.010581816966605546,true
gis,126,0.6031746031746031,0.9920634920634921,0.004213561245796835,true
te,126,0.3333333333333333,0.9444444444444444,0.21976173523636325,true
total,125,0.296,NaN,0.6898082348569158,false
