component,window,ratio_shipped,ratio_mc_p50,ratio_mc_p2_5,ratio_mc_p97_5,denom_sign_flip_frac,denom_sigma,reading
ais,1993-2024,0.7270166541686091,0.5976536813400295,-5.806159054863903,7.2766424584107545,0.097955,0.0006414095038392342,denominator sign not secure -- band tails meaningless
gis,1993-2024,0.6290897727395106,0.3406846990015102,-5.5828534866887605,5.753782007188345,0.230375,0.0019739619580094354,denominator sign not secure -- band tails meaningless
gsic_hind,1993-2023,3.086093352446702,2.060774861282134,-29.0767656611954,31.61829035547406,0.181525,0.0004819032221591506,denominator sign not secure -- band tails meaningless
te,1993-2024,3.624239022433135,1.0006183280411092,-20.30124750592552,20.922281666484743,0.34642,0.001047184542275818,denominator sign not secure -- band tails meaningless
total,1993-2024,0.5706942317005019,0.5630242857048277,0.2757188415108466,2.874169493176698,0.01286,0.0041052748954155185,denominator sign not secure -- band tails meaningless
