"year","fair_temp_C","total_slr_cm","gsic_cm","te_cm","gis_cm","ais_cm"
1850,-0.0303231356795565,-6.71449325106553,-2.47622395696237,-4.19286892984144,-0.0454003642617273,0
1851,-0.0180128427254588,-6.71358943785019,-2.46828280227258,-4.20044971376133,-0.0448569218162831,0
1852,-0.00721999307551663,-6.70898432434583,-2.45969372108047,-4.20491502052309,-0.0443755827422621,0
1853,-0.00306727838288158,-6.70143343679108,-2.45085635094491,-4.20665978833856,-0.0439172975076119,0
1854,-0.00891540999464194,-6.69315616752759,-2.44237212377469,-4.2073576536418,-0.0434263901111009,0
1855,-0.01574137626116,-6.68670995360859,-2.43429965159375,-4.20951406252146,-0.0428962394933841,0
1856,-0.0148145923650156,-6.68191040243488,-2.42617274319187,-4.21336618092335,-0.0423714783196694,0
1857,-0.0142789221166068,-6.67683208984348,-2.41801492994767,-4.21696734275919,-0.0418498171366188,0
1858,-0.0170180158125002,-6.67175173882655,-2.41002300184658,-4.22041658122375,-0.0413121557562235,0
1859,-0.0126795689984001,-6.66710473300148,-2.40177167088247,-4.22453334691997,-0.0407997151990358,0
1860,-0.000501266888781365,-6.66069044158061,-2.39279014244572,-4.22754491708417,-0.0403553820507163,0
1861,0.0112805622994271,-6.65057261156699,-2.38310262154807,-4.22749685387016,-0.0399731361487632,0
1862,-0.00443454028286873,-6.6383713378175,-2.37436054019369,-4.22450357367516,-0.0395072239486538,0
1863,-0.0429655391919953,-6.63219531985247,-2.36793328368836,-4.2254540355267,-0.0388080006374025,0
1864,-0.0582935682546377,-6.63646435694794,-2.36242704409293,-4.23603249479628,-0.0380048180587345,0
1865,-0.0431383685624033,-6.6437061482482,-2.35601165953599,-4.25039006903516,-0.0373044196770422,0
1866,-0.0193892570171626,-6.64581141946357,-2.34817170969176,-4.26088705547979,-0.036752654292016,0
1867,0.000929103832640887,-6.64082401118915,-2.33911374716896,-4.26539427910589,-0.0363159849142924,0
1868,0.014652123217103,-6.62998424065261,-2.32923410961484,-4.26479937640141,-0.0359507546363602,0
1869,0.0231379347861634,-6.61525125803628,-2.31884740608128,-4.26077669336433,-0.0356271585906676,0
1870,0.0306295313972046,-6.59800494674486,-2.30801356988041,-4.25465267085018,-0.0353387060142651,0
1871,0.0369626127119848,-6.57856749688633,-2.29680234521129,-4.24668636929583,-0.0350787823792054,0
