component,year,obs,p50,bias,in90
ais,1900,-0.6340783032503996,-0.6125223436475283,0.021555959602871266,true
glaciers,1900,-5.991590389497165,-5.698415884949787,0.2931745045473777,true
gis,1900,-4.130332357233222,-4.0515514626116795,0.07878089462154225,true
te,1900,-3.6098928928375242,-3.830210931130943,-0.2203180382934189,true
total,1900,-13.937918849348069,-14.023031293650876,-0.08511244430280662,true
ais,1950,-0.36264223185452554,-0.37189939756980267,-0.009257165715277127,true
glaciers,1950,-2.427120221407861,-2.6247497628746705,-0.19762954146680967,true
gis,1950,-1.3604312723333192,-1.3201623933150375,0.04026887901828169,true
te,1950,-2.815257120132446,-2.4014559793904553,0.4138011407419908,false
total,1950,-5.985805844939225,-5.905342301638955,0.0804635433002705,true
ais,2000,0.0017998782071199648,-0.009206613720223578,-0.011006491927343542,false
glaciers,2000,-0.00850888165561,-0.0013108476239782618,0.007198034031631738,false
gis,2000,-0.04322274381464186,-0.0494598926210883,-0.006237148806446435,false
te,2000,-0.23769707679748553,-0.014266044696333635,0.2234310321011519,false
total,2000,-0.2893630562230687,-0.30390097957331724,-0.01453792335024856,false
ais,2018,0.696409138766202,0.5706766276045434,-0.12573251116165862,false
glaciers,2018,1.20556921092,1.2275395442250163,0.0219703333050163,true
gis,2018,1.2730523759668522,1.2676758895698153,-0.005376486397036917,true
te,2018,2.074393606185913,2.447116850854835,0.3727232446689217,false
total,2018,5.965000044906917,6.283513356712506,0.31851331180558873,false
ais,2025,0.7663673305319003,0.8510715205526295,0.08470419002072915,false
glaciers,2023,1.63055217082,1.5881704124775213,-0.04238175834247859,true
gis,2025,1.6502983936827973,1.6498376867544193,-0.000460706928377963,true
te,2025,3.2329575871586798,3.592067077327555,0.3591094901688754,false
total,2024,8.225314682835013,8.389718358903256,0.16440367606824324,true
ais,2019,0.6917651205871491,0.6087277444358165,-0.08303737615133266,false
ais,2020,0.7446601482114583,0.6472099219496941,-0.09745022626176425,false
ais,2022,0.7131118056700219,0.7260172177656352,0.012905412095613356,true
ais,2024,0.7646276896479223,0.8085686566371476,0.04394096698922534,true
ais,2025,0.7663673305319003,0.8510715205526295,0.08470419002072915,false
