model,driver,year,N,pulse_median,pulse_mean,mean_over_median,level_median,level_mean
BRICK-AM,MAGICC,2100,600,0.01664336465449594,0.018435641542102095,1.1076871729252173,45.76281273564126,55.06026547893492
BRICK-AM,MAGICC,2150,600,0.023061131193954053,0.0290690181910371,1.2605200476314076,101.6536263497108,101.84303075947119
BRICK-AM,FaIR_stoch,2100,841,0.0077432043270675875,0.014982379923216818,1.9349069571680493,44.45015552831707,56.11932915540103
BRICK-AM,FaIR_stoch,2150,841,0.013033998259493274,0.024842053432794064,1.9059426691806123,97.16754781675823,102.58474328277626
BRICK-AM,FaIR_nonoise,2100,841,0.012566999510876541,0.016406470089530424,1.3055200706684902,45.31444945023951,56.23689622358617
BRICK-AM,FaIR_nonoise,2150,841,0.019213455370169184,0.028722308552998177,1.4949059395944178,100.55401412067076,102.88627697893656
BRICK-AM,FaIR_nn_flatsol,2100,841,0.013952157901246664,0.015691605661064287,1.1246723103429184,45.923106521672096,56.709477962399895
BRICK-AM,FaIR_nn_flatsol,2150,841,0.019958015602210822,0.024936085049509647,1.2494270746409972,101.79543080769199,103.74486961877523
BRICK2.0,MAGICC,2100,600,0.021372876374795166,0.021404190227995997,1.0014651211494283,67.49269458448201,69.88672213582943
BRICK2.0,MAGICC,2150,600,0.0256736270861893,0.0332721753018486,1.2959670711952818,128.77214472475694,126.94272526831965
BRICK2.0,FaIR_stoch,2100,841,0.011210986385917466,0.018954721728710038,1.6907273879593472,66.14316728867377,70.1848423827741
BRICK2.0,FaIR_stoch,2150,841,0.015727796838098128,0.029263905539841557,1.8606487508125946,128.84091356568692,127.77372007834593
BRICK2.0,FaIR_nonoise,2100,841,0.01782195415607788,0.01949418538843084,1.0938298470363124,66.67950434624223,70.2429502625221
BRICK2.0,FaIR_nonoise,2150,841,0.02265598978805201,0.030319795966191793,1.3382684336387463,131.03696947009456,128.3040530482
BRICK2.0,FaIR_nn_flatsol,2100,841,0.018494216566996614,0.019505652676553874,1.0546893190037685,67.24632421561427,70.79934109409528
BRICK2.0,FaIR_nn_flatsol,2150,841,0.022778127616041387,0.029735005032460914,1.3054191957165162,132.69048217028524,129.31617178054807
