k,SSP1-2.6_level,SSP1-2.6_shipped_ok,SSP2-4.5_level,SSP2-4.5_shipped_ok,SSP1-2.6_resid_lo,SSP1-2.6_resid_hi,SSP1-2.6_resid_ok,SSP2-4.5_resid_lo,SSP2-4.5_resid_hi,SSP2-4.5_resid_ok
0.5,2.3452377119289265,False,7.101643309280412,False,-57.43627353137449,74.81926395190104,True,-34.76125643469814,53.13431648335177,True
0.75,7.169198287564044,True,14.03356802239106,True,-51.07062384595406,58.18575623433618,True,-25.8824537688558,31.00197269037079,True
1.0,10.075208833708192,True,18.34276380018501,True,-45.80419438311383,46.74694995024344,True,-17.99297840217841,14.72089812759731,True
1.5,13.900851949717627,True,24.313045727898007,False,-37.20784560926385,29.9830408859525,True,-9.99418520480747,-4.850916300567224,False
2.0,16.667466917423273,False,28.77710787073828,False,-30.193444918619054,17.010028029533697,True,-29.611493253664676,6.111368025696002,True
3.0,20.31004111221517,False,34.88222108746189,False,-19.540238521743618,-1.532036913556885,False,-59.123000989189606,23.697017198232132,True
5.0,23.982735302169385,False,41.485484420070286,False,-22.390354862436407,-6.736472985684942,False,-94.20569911127428,45.91781690378535,True
8.0,26.369348834944745,False,46.0046762194861,False,-37.045943916644795,2.6335239229965097,True,-120.3303279964556,63.20208706078637,True
12.0,27.805102750073612,False,48.79329973673865,False,-46.084848671425235,8.493574049393455,True,-136.80463850772705,74.23371963895288,True
14.0,28.228150363229197,False,49.63012656387946,False,-49.05270716324474,10.497608639322742,True,-141.82340284873737,77.60625621816855,True
22.6,29.201157965487674,False,50.53135267830237,False,-53.958373371634856,13.334000727449386,True,-135.8669369848704,69.82687452570926,True
50.0,24.59014337910108,False,31.552181325160042,False,-59.77676156327994,32.05163678778701,True,-35.773427938633965,4.668443380883593,True
