arm,gcm,model,rcm,n_runs,ism_2300_cm,pred_gmst_cm,pred_direct_cm,pred_allzone_cm,rate_gmst,rate_direct,rate_allzone,amp_south,amp_all,amp_central,amp_north,dgmst_K,gmst_2300_K,reg_2300_K,own_amp,our_amp,resid_gmst,resid_direct,resid_allzone,src
SSP5-8.5 r2300,CESM2-Leo,CESM2,MARv3.12/RACMO2.3p2,10,77.73042609873318,34.679647473474276,24.720649307409314,29.484558332565197,2.882504425726637,2.5071727834095086,2.7312538744556107,1.1083405146259888,1.3499954663445357,1.3391731457301663,1.6505904016763628,5.516625703162447,5.516625703162447,6.114299770842024,1.1083405146259888,1.6401958651425363,43.0507786252589,53.00977679132386,48.245867766167976,shipped
SSP5-8.5 r2300,CNRM-ESM2-1,CNRM-ESM2-1,MARv3.12,5,56.31152294884991,32.30178815469739,22.125971604255675,28.68448909559612,2.870413575099583,2.4468749239974557,2.7881492486677075,1.14534867867891,1.4830867987017622,1.5168642133642525,1.834402672980571,5.013785597760943,5.013785597760943,5.742532709574846,1.14534867867891,1.6401958651425363,24.00973479415252,34.18555134459424,27.627033853253792,shipped
SSP5-8.5 r2300,IPSL-CM6A-LR,IPSL-CM6A-LR,MARv3.12,5,71.48386028426587,36.29110068085011,31.37124081102921,36.25298072514558,2.998145856328563,2.759685461148436,2.9422866394878895,1.3388001918359673,1.559793097670916,1.5765305223912789,1.793001290544042,6.031149043407083,6.031149043407083,8.074503496304715,1.3388001918359673,1.6401958651425363,35.192759603415766,40.11261947323666,35.2308795591203,shipped
SSP5-8.5 r2300,MPI-ESM1-2-HR,MPI-ESM1-2-HR,MARv3.12,5,29.957820963540097,23.455788739848202,17.44127665543642,22.959954880353276,2.4327042001767865,1.9868093724216607,2.359659783670807,1.237775231740453,1.6038514811734166,1.6367081213272794,1.9818261383000717,3.916458967510266,3.916458967510266,4.847695906111994,1.237775231740453,1.6401958651425363,6.502032223691895,12.51654430810368,6.997866083186821,shipped
SSP5-8.5 r2300,UKESM1-0-LL-Robin,UKESM1-0-LL,MARv3.12/MARv3.9,10,106.74830965304002,41.75346324537149,33.4699181832302,39.28156403268418,3.134460042025808,2.8784681829900904,3.081037400649919,1.388989633421879,1.5969754646662553,1.576709840240221,1.8682424959284238,6.518589186691827,6.518589186691827,9.054252804850904,1.388989633421879,1.6401958651425363,64.99484640766853,73.27839146980983,67.46674562035585,extra
SSP1-2.6 r2300,CESM2,CESM2,RACMO2.3p2,5,15.003227275275588,12.429159144586778,4.842221352981888,7.589852460423475,1.4633322547147216,0.6874003908385351,0.9854584987399608,0.627491652324428,0.9491993375296208,0.9076946170737451,1.390304410472577,2.334554879913469,2.334554879913469,1.4649136990389593,0.627491652324428,1.7085996278534912,2.5740681306888096,10.1610059222937,7.413374814852113,shipped
SSP1-2.6 r2300,MPI-ESM1-2-HR,MPI-ESM1-2-HR,MARv3.12,5,6.7341407529466935,8.365453316505898,6.726020053606541,7.40441927164141,1.1033382412658455,0.9450250568086213,0.9990344653118512,1.5061509467469356,1.7369981715680605,1.7010965862928231,2.059950019139604,1.58044439455756,1.58044439455756,2.3803878211437564,1.5061509467469356,1.8161695886037277,-1.631312563559204,0.008120699340152804,-0.6702785186947162,shipped
SSP2-4.5 r2300,CESM2,CESM2,MARv3.12/RACMO2.3p2,10,18.00587061920611,18.898676808481888,5.8648895387942295,9.877554824964998,2.033810668355926,0.9207728403984063,1.3478625487397444,0.6877207179689524,0.9880528625323595,0.9302327439423899,1.4286605049112928,3.2831538597399117,3.2831538597399117,2.2578929296228694,0.6877207179689524,1.6401958651425363,-0.8928061892757775,12.14098108041188,8.128315794241113,shipped
SSP2-4.5 r2300,MPI-ESM1-2-HR,MPI-ESM1-2-HR,MARv3.12,5,11.130721344369745,13.509995429675064,9.328640175702448,11.784344082934405,1.6393373877030086,1.312523359686331,1.518467799980911,1.2739473385516797,1.5581827692867587,1.5640000258450386,1.8810826442511028,2.4107971501186967,2.4107971501186967,3.071228613181688,1.2739473385516797,1.6972638030140994,-2.379274085305319,1.8020811686672964,-0.6536227385646605,shipped
