tag,k,rate_scale,m2300_SSP1-2.6,cm2100_SSP1-2.6,in_band_SSP1-2.6,m2300_SSP2-4.5,cm2100_SSP2-4.5,in_band_SSP2-4.5,m2300_SSP5-8.5,cm2100_SSP5-8.5,in_band_SSP5-8.5,g4_2100_cm,g4_in_band,ar6_2100_ok,ratio_585_over_245,tau_slow_yr,g4_rel_to_k1,keeps_2100,all_pass
L14,1.0,1.0166659860437726,0.1007675322681967,6.490207533184552,True,0.18311102207638133,8.485047491247304,True,0.4987760047103022,13.952925763928697,True,7.462718230744144,False,True,2.7238994084269113,54.96888629498899,1.0,True,True
L14,1.25,0.6518673493690893,0.1217377685474513,7.040938316237835,True,0.21596881910160148,8.94829289514821,False,0.5871307373727257,14.24518723463185,True,7.204248918394015,True,True,2.7185903030590395,85.73062760779897,0.9653652590975077,True,False
L14,1.5,0.483202760853783,0.13920810136155878,7.452515227900349,True,0.24306720599116333,9.34326449067807,False,0.662361732776861,14.599930712957931,True,7.147415485057582,True,True,2.7250147961175024,115.65537665423687,0.9577496113430076,True,False
L14,1.75,0.3850408430521103,0.15398370736428338,7.7686827907196125,True,0.26753229041147875,9.656003787601119,False,0.7317551152269914,14.91650596936293,True,7.147823178643318,True,True,2.735202969710735,145.14043937463984,0.9578042420517026,True,False
L14,2.0,0.32054376101790466,0.16692163293537668,8.011583450411447,False,0.28864362023326023,9.893507593026492,False,0.7950077221896743,15.181365828959057,True,7.169782378547611,True,True,2.7542882172389898,174.34436064325286,0.9607467623540004,True,False
L14,2.5,0.24051125165237036,0.1876817675177889,8.373498655071588,False,0.32287644650669783,10.26274659665455,False,0.901700711345923,15.584051242957038,True,7.21055258788545,True,True,2.7927113330864097,232.359179127769,0.9662099472254161,True,False
L14,3.0,0.19276312531786127,0.20332396213625917,8.601669498777955,False,0.34928430672291766,10.509624865727812,False,0.9899074853817873,15.871948426687323,True,7.270278927909368,True,True,2.834102381150113,289.9153916973315,0.9742132428312804,True,False
L14,4.0,0.1380174147619243,0.22541905516219074,8.904137228634799,False,0.3892387227641831,10.822057487230383,False,1.129299665950583,16.260963646245216,True,7.356826417610417,False,True,2.901303492958894,404.9126487116853,0.985810557244747,True,False
L14,5.0,0.10754449923608318,0.24009124570541152,9.08793433878499,False,0.41655510692427894,11.032735043177873,False,1.2375748144865188,16.49480097232047,True,7.406866633535479,False,True,2.970975013664841,519.645333022037,0.9925159177283991,True,False
L14,8.0,0.06470811275866029,0.2640767019597354,9.364695029718428,False,0.46071325925362916,11.33811083864746,False,1.4247619125452093,16.87080050475337,True,7.506105475034941,False,True,3.09251336688979,863.6474563869341,1.0058138660671998,True,False
L14,12.0,0.04229213973736139,0.2785239123914496,9.513827171190155,False,0.48922638469625296,11.506514074145102,False,1.4627822709476117,17.078253298329713,False,7.5644261271395585,False,True,2.9899905579618573,1321.403867048799,1.01362880029108,True,False
L14,14.0,0.03604719995411412,0.28276728266726237,9.559102224364505,False,0.497936031141431,11.55556171120445,False,1.387744145605899,17.08224597393945,True,7.523143749574945,False,True,2.7869928240074113,1550.3283764566077,1.0080969851684694,True,False
L14,16.0,0.03140884013570567,0.2860301153557305,9.593938664877056,False,0.5038161907128842,11.59109432294348,False,1.2778189373311102,17.02857193749129,True,7.434633272614233,False,True,2.5362800181610603,1779.2760503660938,0.9962366315782619,True,False
L14,22.6,0.0220529440814745,0.29248300022341067,9.64913622757467,False,0.5059073914457601,11.609224813607423,False,0.9818003628624069,16.126312191582866,True,6.477175964008195,True,True,1.9406721061272905,2534.1286359687765,0.867937896586285,True,False
L14,32.0,0.015591524968258694,0.2944143423133674,9.576913363679122,False,0.44212364540295257,11.091390100547377,False,0.7354438346802966,13.515529534698231,True,3.9386161710191097,False,True,1.6634347480103926,3584.319164738895,0.5277723276209466,False,False
L14,50.0,0.01055975785560417,0.24562961125869154,7.950733226566541,False,0.31593609223427427,8.607633889845644,False,0.528389213025687,10.052080520680631,True,2.10134729411409,False,True,1.6724559998478223,5292.261220251217,0.28157934269274354,False,False
