question,parameter,l10_med,l10_sd,d1_med,d1_sd,shift_in_l10_sd,sd_ratio
R19,gic_a_R19,0.0711403091444806,0.015940760631843114,0.0681905093427059,0.016732800442598304,-0.1850476191131189,1.049686450292279
R19,gic_b_R19,1.1964250024730143,0.8131014390151837,1.0623684460788567,0.8364156164013887,-0.16487064216307978,1.0286731473682333
R19,gic_T_off_R19,-1.9095497701123891,0.7748717417680844,-0.3236178173952893,1.0799417479221447,2.046702527954313,1.3937038734409886
R19,gic_log10_kappa_R19,-2.760492370683719,0.13107498767304177,-2.780131002836159,0.1323972509883144,-0.14982745755755886,1.0100878385628456
R19,gic_amp_R19,0.7190989212874657,0.08041878544997996,0.7234352926535036,0.07998734560625093,0.0539223682846482,0.9946350863008571
other_unresolved,rho_gis,0.7891527383916181,0.20558661994153352,0.5308728712966726,0.2162090004719844,-1.256306792574329,1.051668637450588
other_unresolved,ais_iceflow0,1.1767192318075907,0.22319124557107847,0.9080570870101619,0.09650761021943305,-1.203730657580248,0.432398725911043
other_unresolved,ais_slope,0.0006223345749538499,2.0052928566535153e-05,0.0006427103909621499,1.539697281751044e-05,1.01610175993464,0.7678166690926784
other_unresolved,anto_beta,0.7008529439347515,0.39438100328942055,0.922756870865698,0.36477785175365085,0.5626638328928334,0.9249376838923321
other,gic_u_unch,27.291765956092732,5.138603788475816,24.449221122386042,4.643734593600533,-0.5531745491025354,0.9036957867845133
other_unresolved,rho_gsic,0.6487840534971068,0.3029478615801303,0.4820001389386545,0.28090557919661796,-0.5505366952865505,0.9272406734659121
other_unresolved,antarctic_alpha,0.34974099353636867,0.11000290163137058,0.29290177561731967,0.1078773247950726,-0.516706532974214,0.980677083924377
TE,1920-1949,0.5529249682061793,,0.5160207920690663,,,0.17748420235139278
TE,1950-1992,0.13859479787368986,,0.1186867428501862,,,0.16289395493740533
TE,1993-2026,0.13371209976059514,,0.14857235884139353,,,0.13386305881405952
TE,full,0.2799793920760996,,0.2610335682992663,,,0.17711162160455818
