component,driver,fitted,ours_rate,obs_rate,rate_ratio,ours_accel,obs_accel,accel_ratio,accel_window
ais,FaIR-mean GMST,true,0.03150047735182267,0.029631390578478804,1.063077929751342,0.0005265168490407348,0.0008262092819011904,0.6372681360213804,1993-2024
gis,OBSERVED regional T (spliced),true,0.06315358317243018,0.059326755583031215,1.0645042452059106,0.000953458762014549,0.001458149942450539,0.6538825221308753,1993-2024
gsic_hind,OBSERVED block T (spliced),true,0.057546350108882996,0.07050690729777687,0.8161803192677758,0.0011799893222457657,0.0004361960764503015,2.705180963222646,1993-2023
te,FaIR-mean OHC,true,0.146993677879045,0.13004343280504493,1.1303429531840419,0.0015222660777176784,0.0004105358949039427,3.7079975140148433,1993-2024
total,mixed,true,0.3114227156671526,0.32008435697227455,0.9729395044885865,0.0055071092150836345,0.009093335711771254,0.6056203564501335,1993-2024
