year,mean,median,p5,p95,var_total_gmsl,var_internal,var_emi,var_clim,var_brk,var_ais,var_gis,var_te,var_gsic
1850,-13.763253876924,-13.78246625,-18.644691005,-8.835616345000007,8.897724474520494,0.4029325289060175,1.89807113745979e-07,1.4833372693571387,7.889293753002412,7.297637442419026,0.3668785937994358,0.33980391224410983,0.42010094797316416
1851,-15.163293688564,-15.27074845,-18.675210115,-11.21035105,5.149931642340822,0.3997687857483315,1.8980711374583653e-07,1.4851798863370396,3.7279322956916063,3.0704599442748197,0.3650371784437343,0.33883328372463367,0.4189185894132762
1852,-15.106058568364,-15.217658,-18.610882405,-11.148569250000003,5.10977062941209,0.394234382458901,1.898071137454915e-07,1.4814990996600286,3.692735477984333,3.042013085120446,0.3631047738803385,0.3363237762228472,0.4162283025435972
1853,-15.043018065443999,-15.15998285,-18.5287974,-11.100620095000004,5.057881239169327,0.39142783439020645,1.898071137454004e-07,1.4814949848627572,3.6375504725211285,2.9966340509892047,0.3609841730266313,0.335778583650949,0.4160155765804049
1854,-14.984619809083998,-15.11087185,-18.44180123,-11.065472305000002,5.005130178109284,0.38839656783316434,1.8980711374505027e-07,1.4798587112602033,3.583802992722992,2.9516262045094894,0.359208389058092,0.33464794576091567,0.41588166694315776
1855,-14.925009218004002,-15.0465373,-18.368368965000002,-11.026102085000009,4.94853232816121,0.3839975751039868,1.898071137458365e-07,1.477034404637862,3.5284073487415406,2.906041558787446,0.35727366142793,0.3323988874198074,0.4158288687498333
1856,-14.861971086403999,-14.975409200000001,-18.29940127,-10.992097080000011,4.889011309354218,0.37921388558644276,1.8980711374549147e-07,1.4732536433037065,3.4713113714188744,2.860260208537139,0.35498962754017976,0.3291371515994113,0.41653604385267673
1857,-14.804584558963999,-14.9138405,-18.21785149,-10.964765750000014,4.834565593290747,0.3751220719101726,1.8980711374575413e-07,1.472185406481694,3.4157850099818114,2.81477917498805,0.3527493669832943,0.3274322982257564,0.4176201553367467
1858,-14.746862346883999,-14.859456100000001,-18.144001225,-10.930387125000012,4.7798300469084465,0.37150406184451873,1.8980711374553658e-07,1.4696501661688421,3.36088348148405,2.7698756787562244,0.3505286743619974,0.3247705489930053,0.4184420617771993
1859,-14.683494186244,-14.795756699999998,-18.0619151,-10.882387845,4.724784443658517,0.3689513434960788,1.8980711374576115e-07,1.4674328675987254,3.3042337895024967,2.7249204658023287,0.3485863941572989,0.32279757352511323,0.4189248299873894
1860,-14.617301215884002,-14.737083849999998,-17.973949349999998,-10.842774450000002,4.665763906466044,0.364354490826623,1.8980711374547787e-07,1.4621969256135987,3.248908319155894,2.680834350479532,0.3467958511864901,0.31991894774934004,0.4184702252344177
1861,-14.550957025803998,-14.6723838,-17.884126185,-10.799158750000002,4.608467853902164,0.35896743931650094,1.8980711374527524e-07,1.4580278253434562,3.195880546013044,2.637813913741714,0.3448620350249836,0.3163348371357272,0.4187945816104588
1862,-14.505910007723998,-14.617922,-17.819222445,-10.779149810000012,4.563182350074978,0.3563813539820615,1.898071137455451e-07,1.4591493147794314,3.1473573589655293,2.595231554556887,0.3424969764860353,0.31621246860197355,0.42034074224127216
1863,-14.470825036964,-14.576859599999999,-17.7649115,-10.770324445000016,4.518135281647822,0.35222399361547024,1.8980711374519115e-07,1.4630374347587771,3.097765244347942,2.551472060384874,0.34028438910936165,0.31653616638003584,0.4219042249047547
