product,n,median,lo,hi,sd
HadCRUT5,146,2.054695892930244,-0.9651121301273112,5.163449479314773,1.5763899834846027
BerkeleyEarth,146,1.6419779979952356,-0.8637076175531145,3.469774294879143,1.1089157083605277
GISTEMP,117,2.3105396365249673,-2.358366902419261,6.149278540365592,2.76380108920173
