year,ais_obs,ais_sigma,gsic_obs,gsic_sigma,gis_obs,gis_sigma,steric_obs,steric_sigma,total_obs,total_sigma,provenance
1900,-0.7681519642532018,0.358268200830474,-7.27700420293,0.9853424741792772,-4.130332357233222,0.6494993328480182,-3.6098928928375242,0.6128244268682049,-13.937918849348069,2.518059018711038,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1901,-0.7626991406142858,0.35408017626621174,-7.19201579961,0.9753495004070881,-4.14182832891291,0.6461912754927764,-3.6964476108551025,0.5662607971561957,-13.717743189686836,2.505740071881458,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1902,-0.7572272434890415,0.3499908184613807,-7.10599819097,0.9661267189217868,-4.110059530084785,0.64219952598193,-3.7697138309478753,0.5482486730533934,-13.307361420412224,2.4927250671574304,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1903,-0.7518496647536901,0.34580371981251523,-7.04884410771,0.9610187386339696,-4.069244558160955,0.6405556553088916,-3.89201683998108,0.5699338571451716,-13.366047505500095,2.4784212579852234,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1904,-0.7464302197158481,0.34178575903694003,-6.9647086707,0.9507187788250527,-3.986545354669745,0.5796649496475068,-4.005975580215455,0.6029425397342052,-13.401862591297018,2.455775227616408,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1905,-0.740978254383817,0.33758355130046297,-6.86514507207,0.9419144931335404,-3.965610296075995,0.5167578035330623,-4.084479761123657,0.5325241275408163,-13.311246733632538,2.433979794091717,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1906,-0.7355258122146275,0.33343452818682845,-6.78516536626,0.9324885633401295,-3.9195184534246272,0.5131361512042744,-4.1820330142974855,0.6112820595905436,-13.567440039263273,2.4224624523019456,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1907,-0.7300945416152622,0.32933726735985197,-6.7199607459,0.924979619535875,-3.8829637354070488,0.5097601592686928,-4.245766305923461,0.5379009922498929,-13.430518857797505,2.410637571717956,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1908,-0.7246861591994909,0.3252585546347549,-6.64097972783,0.9128694365292018,-3.8119527643377134,0.5059070465483084,-4.304152536392211,0.5919970170485958,-13.478100215899776,2.3974835122374407,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1909,-0.719240202015653,0.32108699898027104,-6.56629558477,0.9034729347672037,-3.7546384638006036,0.4271962304605659,-4.4123697757720945,0.5845130877526921,-13.127202387002756,2.3823510330858366,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1910,-0.713820756977811,0.3169970275008325,-6.4967437354,0.8951842613961773,-3.709659749811346,0.33455304125653373,-4.497396707534791,0.5610701173900162,-12.932223767549981,2.3698040436436125,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1911,-0.7083755627334263,0.31285603822166896,-6.40783153447,0.8852376080453667,-3.7024556940252134,0.3308583572130952,-4.502541589736938,0.5826996259536534,-12.7859735900405,2.356422745729846,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1912,-0.702943815296903,0.3087829396187288,-6.33277965459,0.8742239784784168,-3.6499250238591983,0.32754791732822097,-4.496937417984009,0.5572732575216871,-12.504873544685173,2.3448406786163747,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1913,-0.6975461140334751,0.30470761605464586,-6.26434474858,0.8670581338755652,-3.6160070245916187,0.32558407318189664,-4.43869423866272,0.5486584988091224,-12.481187939747363,2.331949164824447,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1914,-0.692109502857938,0.30056279726613633,-6.15112605962,0.8541145371128749,-3.6001985376531427,0.3212252756361629,-4.3344473361969,0.6088836064614437,-12.215842947480144,2.319863354400968,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1915,-0.6866780415237095,0.2964161162163663,-5.99616084966,0.8380547897494875,-3.567949086969549,0.3169000719906101,-4.308618783950806,0.5718786394090773,-11.887195821280871,2.3067273709436753,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1916,-0.6812593594253209,0.2922509711899189,-5.89606166753,0.825538662902389,-3.5504369562322453,0.31279818468045467,-4.27322907447815,0.562211890474802,-11.995727195056805,2.2956916362212025,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1917,-0.6758843556106235,0.288199217235105,-5.7766593543,0.8093340298228155,-3.4816617792302904,0.30587261460612897,-4.251692819595336,0.5635695018503719,-12.29178087162002,2.283888840914356,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1918,-0.670394529408231,0.28415165925740077,-5.67177921208,0.7972397348793047,-3.470746785944159,0.30114130239188625,-4.2542582035064695,0.5759241796701078,-11.69048315752298,2.272059157313498,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1919,-0.664944376057401,0.28009669191541686,-5.58503070745,0.788880102505905,-3.454160482233221,0.2976678448373659,-4.2755896091461185,0.5669448841046381,-11.250664952584467,2.2602827852785774,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1920,-0.6595906391799595,0.2759887729633927,-5.53279949102,0.7840842930187617,-3.4362096613103685,0.29513538445365933,-4.26266884803772,0.5499558202819719,-11.224365852032271,2.2505990997518692,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1921,-0.6541625157058384,0.27191578102286185,-5.47143054875,0.7789501080835555,-3.420304281061346,0.2934270413404816,-4.285170221328736,0.47189080117142285,-11.325210959935976,2.237127107515957,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1922,-0.6486930027663853,0.2678017056156842,-5.39706416997,0.7724472240792074,-3.4399301355535346,0.2901999206056903,-4.291196298599244,0.4624554989696643,-11.200481604358236,2.2255394641019977,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1923,-0.6433162823379186,0.26372602206960677,-5.27797008428,0.7616162780302036,-3.4075719659978687,0.2873210103046983,-4.334321069717407,0.4457081019682862,-11.352617614839804,2.2128637978655887,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1924,-0.6378295078933385,0.25959418563494174,-5.18389659795,0.7527964172437333,-3.348880941217596,0.284327286794275,-4.327344751358032,0.49577300299562216,-11.075476495691147,2.195218668391694,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1925,-0.6324462071120884,0.2555901872610509,-5.09053493413,0.7442960834518013,-3.3296964471990402,0.2809012013066685,-4.261248254776,0.49602141452678145,-11.202160503297451,2.18263140121202,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1926,-0.6269355908095982,0.25155497688338385,-4.98425517949,0.7337248116009976,-3.227677327936346,0.27637661355941634,-4.176789331436157,0.4788432808654793,-11.233488262164094,2.170715071810608,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1927,-0.6215731754958775,0.24748427589310434,-4.87102313909,0.7226989289945882,-3.1523057764226743,0.27124710920258127,-4.124979639053345,0.47572581152091276,-11.300538775892718,2.1591049116527454,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1928,-0.6161877766311314,0.24344729988201788,-4.76876254949,0.7109097139931334,-3.0399404352361508,0.2664009282699678,-4.053016519546508,0.4806552376874861,-10.99322183443144,2.146940444901232,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1929,-0.6107674256026892,0.23941744800735043,-4.67126232061,0.6988164538512657,-2.9371179407293146,0.26270233415967176,-4.0196997165679935,0.46124605630423926,-10.474411885506226,2.1350071887569047,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1930,-0.6053012982070591,0.23529704811525123,-4.5751269904,0.6911951954133735,-2.8757768457586117,0.25945641664375296,-3.9823153018951416,0.4535211614076705,-10.184452568299797,2.1233241259345457,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1931,-0.5999289169967319,0.23129809931536754,-4.44350086125,0.6818961377116186,-2.6913759058172047,0.25577368875692336,-3.9497736454010006,0.4591181182569402,-9.757755545159595,2.110318768273597,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1932,-0.5944008007705357,0.2272984161252138,-4.35036960515,0.6725184006398758,-2.5936906641179864,0.2529541743623784,-3.9116777896881105,0.46189565974573515,-9.504605049194335,2.0973374216304768,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1933,-0.5890162125289586,0.22321563238513148,-4.25953250798,0.6641658127388367,-2.484005719965155,0.24943811171336455,-3.867179727554321,0.4632483386363264,-9.253040811952237,2.085319720347596,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1934,-0.5835541859328892,0.21923318600273461,-4.18574787053,0.6594830563304868,-2.3884008234197447,0.24578273044269763,-3.853262567520142,0.5005181991974191,-9.500952017569661,2.072134576921949,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1935,-0.5781529560744907,0.21524471680032553,-4.09781146916,0.6517782417930803,-2.276845914667303,0.24297295104946753,-3.7873159885406498,0.4398248127797443,-8.699684359075338,2.0591363018332967,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1936,-0.5727494373977329,0.21122300278695463,-3.99091983708,0.6453643086564838,-2.151611310785467,0.24022445439893883,-3.683291864395142,0.47182333780472313,-8.345625635928295,2.047334306319547,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1937,-0.5673648968398717,0.20720652141376977,-3.89691425237,0.6399268526538107,-2.0860078638250177,0.236926616140442,-3.566823816299438,0.441844713545326,-7.953761479092558,2.035070755900904,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1938,-0.5618380203902866,0.20324771479750417,-3.79899288091,0.6340277451758318,-2.044928914850409,0.23427587910116549,-3.444520044326782,0.4898345294207115,-7.899684639860988,2.0230869408280916,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1939,-0.5564606800735141,0.19930998144374232,-3.72093234929,0.6276103421453055,-1.9972474878484552,0.23111825865058605,-3.301994562149048,0.4742758679678047,-7.911933543707674,2.0114353711899646,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1940,-0.5510307446181919,0.19536085693540076,-3.6258666602,0.6238037591466468,-1.9552793329412288,0.2288200194137809,-3.169507455825806,0.4577120714433278,-7.4846792166250555,1.9984301005493763,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1941,-0.5456445828139926,0.19134218266905442,-3.52210994634,0.6157338099756274,-1.893123418634588,0.22435018318565275,-3.092987680435181,0.46819275057634746,-7.475771658546931,1.9858292685026933,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
1942,-0.5402168884933141,0.18739078670973294,-3.42794910344,0.6101252755980437,-1.8451209848577332,0.2208168224904772,-2.967337656021119,0.46971670680385286,-7.568758274996826,1.9740086519744982,"ic_hindcast_residuals.jl | targets recalib_targets_ext.csv + recalib_targets_ext_gsicadj.csv (gsic) | sigma = max((hi-lo)/(2*1.645), 0.05) cm, total adds dang_sig (+) lws band in quadrature | re-referenced 1995-2005 | cm"
