cell,transient,driver,amp_variant,amp_used,logJ,ll_flow,ll_inv,ll_lec,ll_prior,n_params,AIC,a,b,T_off,f,tau_f,tau_s,kappa,nu,sigma,rho,S1900_mm,inv_resid,inv_z,S2020_m,com1p2,com1p5,com2p0,com3p0,sens_1p5_3_mm,ds2100_ssp126,ds2100_ssp245,ds2100_ssp585,spread2100,ds2150_ssp245,ds2150_spread,bounds_hit,g_inv,g_s1900,g_ladder,g_bounds,g_spread,gates_passed
MxGfair,M,Gfair,global,1.00000,-7.68317,-0.41941,1.88249,1.11381,-10.26006,8,31.36634,0.40715,0.58079,-1.40984,0.02000,49.88333,267.96027,,,0.03816,0.98439,40.82789,0.29929,0.15478,0.12223,68.61347,73.63222,80.27771,88.96620,43.68952,6.92399,7.15582,7.46045,0.53646,10.43416,1.37782,f;rho,True,False,False,False,False,1
MxGobs,M,Gobs,global,1.00000,-7.53015,0.70962,1.88916,-0.15070,-9.97823,8,31.06030,0.40774,0.56507,-1.37368,0.14936,68.64383,304.96965,,,0.03485,0.98425,45.27155,0.29618,0.10304,0.12584,66.21734,71.48510,78.50345,87.78307,45.94326,6.81570,7.09034,7.44905,0.63335,10.20366,1.57100,rho,True,False,False,False,False,1
MxTglac,M,Tglac,ampfit,1.59490,-2.40613,9.61941,1.66284,-2.89074,-10.79765,8,20.81227,0.36800,0.66824,-1.40449,0.34925,68.72110,549.92717,,,0.00500,0.03217,52.90194,0.24916,-0.68063,0.13271,82.97045,87.63073,92.74040,97.49937,23.22014,5.86113,6.01108,6.15640,0.29527,8.16908,0.60626,sigma,True,False,False,False,False,1
MxTglac,M,Tglac,amp1.8,1.80000,-2.40613,9.61941,1.66284,-2.89074,-10.79765,8,20.81227,0.36800,0.66824,-1.40449,0.34925,68.72110,549.92717,,,0.00500,0.03217,52.90194,0.24916,-0.68063,0.13271,85.55308,89.92930,94.48093,98.34240,19.79535,5.91153,6.05858,6.19225,0.28073,8.22817,0.56418,sigma,True,False,False,False,False,1
NxGfair,N,Gfair,global,1.00000,1.03751,-0.35353,1.89323,1.21165,-1.71384,7,11.92498,0.40052,0.51413,-1.40357,,,,0.00438,0.00000,0.03807,0.98443,40.44383,0.29299,0.04986,0.12203,62.28737,67.67771,75.00454,85.05215,48.38539,7.06999,7.35131,7.73626,0.66627,10.72784,1.75946,kappa;nu;rho,True,False,False,False,False,1
NxGobs,N,Gobs,global,1.00000,1.17409,-0.16796,1.89446,1.20626,-1.75867,7,11.65182,0.39651,0.46644,-1.41608,,,,0.00475,0.00000,0.03791,0.98537,40.46517,0.28971,-0.00490,0.12135,57.46692,63.02099,70.71337,81.63049,51.20547,7.11944,7.43115,7.86895,0.74952,10.81735,2.00259,kappa;nu;rho,True,False,False,False,False,1
NxTglac,N,Tglac,ampfit,1.59490,2.55836,8.69069,0.32797,-1.30974,-5.15056,7,8.88328,0.29829,0.32040,-2.00000,,,,0.00848,0.00000,0.00500,0.04930,48.74746,0.18380,-1.77003,0.12858,49.84459,56.97314,66.67456,80.00835,39.09332,6.51049,6.90737,7.43928,0.92879,9.56432,2.29585,T_off;kappa;nu;sigma,False,False,True,False,False,1
NxTglac,N,Tglac,amp1.8,1.80000,2.55836,8.69069,0.32797,-1.30974,-5.15056,7,8.88328,0.29829,0.32040,-2.00000,,,,0.00848,0.00000,0.00500,0.04930,48.74746,0.18380,-1.77003,0.12858,53.64777,61.01203,70.77885,83.58539,38.30950,6.62855,7.04689,7.58573,0.95718,9.78321,2.30995,T_off;kappa;nu;sigma,False,False,True,False,False,1
