rff_idx,fair_cfg_idx,seed_idx,post_idx,axis
23,37,0,0,anova
23,37,0,1,anova
23,37,0,2,anova
23,37,1,0,anova
23,37,1,1,anova
23,37,1,2,anova
23,37,2,0,anova
23,37,2,1,anova
23,37,2,2,anova
23,183,0,0,anova
23,183,0,1,anova
23,183,0,2,anova
23,183,1,0,anova
23,183,1,1,anova
23,183,1,2,anova
23,183,2,0,anova
23,183,2,1,anova
23,183,2,2,anova
23,191,0,0,anova
23,191,0,1,anova
23,191,0,2,anova
23,191,1,0,anova
23,191,1,1,anova
23,191,1,2,anova
23,191,2,0,anova
23,191,2,1,anova
23,191,2,2,anova
23,218,0,0,anova
23,218,0,1,anova
23,218,0,2,anova
23,218,1,0,anova
23,218,1,1,anova
23,218,1,2,anova
23,218,2,0,anova
23,218,2,1,anova
23,218,2,2,anova
23,263,0,0,anova
23,263,0,1,anova
23,263,0,2,anova
23,263,1,0,anova
23,263,1,1,anova
23,263,1,2,anova
23,263,2,0,anova
23,263,2,1,anova
23,263,2,2,anova
23,275,0,0,anova
23,275,0,1,anova
23,275,0,2,anova
23,275,1,0,anova
23,275,1,1,anova
23,275,1,2,anova
23,275,2,0,anova
23,275,2,1,anova
23,275,2,2,anova
23,303,0,0,anova
23,303,0,1,anova
23,303,0,2,anova
23,303,1,0,anova
23,303,1,1,anova
23,303,1,2,anova
23,303,2,0,anova
23,303,2,1,anova
23,303,2,2,anova
23,343,0,0,anova
23,343,0,1,anova
23,343,0,2,anova
23,343,1,0,anova
23,343,1,1,anova
23,343,1,2,anova
23,343,2,0,anova
23,343,2,1,anova
23,343,2,2,anova
23,365,0,0,anova
23,365,0,1,anova
23,365,0,2,anova
23,365,1,0,anova
23,365,1,1,anova
23,365,1,2,anova
23,365,2,0,anova
23,365,2,1,anova
23,365,2,2,anova
23,464,0,0,anova
23,464,0,1,anova
23,464,0,2,anova
23,464,1,0,anova
23,464,1,1,anova
23,464,1,2,anova
23,464,2,0,anova
23,464,2,1,anova
23,464,2,2,anova
23,471,0,0,anova
23,471,0,1,anova
23,471,0,2,anova
23,471,1,0,anova
23,471,1,1,anova
23,471,1,2,anova
23,471,2,0,anova
23,471,2,1,anova
23,471,2,2,anova
23,628,0,0,anova
23,628,0,1,anova
23,628,0,2,anova
23,628,1,0,anova
23,628,1,1,anova
23,628,1,2,anova
23,628,2,0,anova
23,628,2,1,anova
23,628,2,2,anova
23,638,0,0,anova
23,638,0,1,anova
23,638,0,2,anova
23,638,1,0,anova
23,638,1,1,anova
23,638,1,2,anova
23,638,2,0,anova
23,638,2,1,anova
23,638,2,2,anova
23,680,0,0,anova
23,680,0,1,anova
23,680,0,2,anova
23,680,1,0,anova
23,680,1,1,anova
23,680,1,2,anova
23,680,2,0,anova
23,680,2,1,anova
23,680,2,2,anova
23,800,0,0,anova
23,800,0,1,anova
23,800,0,2,anova
23,800,1,0,anova
23,800,1,1,anova
23,800,1,2,anova
23,800,2,0,anova
23,800,2,1,anova
23,800,2,2,anova
40,37,0,0,anova
40,37,0,1,anova
40,37,0,2,anova
40,37,1,0,anova
40,37,1,1,anova
40,37,1,2,anova
40,37,2,0,anova
40,37,2,1,anova
40,37,2,2,anova
40,183,0,0,anova
40,183,0,1,anova
40,183,0,2,anova
40,183,1,0,anova
40,183,1,1,anova
40,183,1,2,anova
40,183,2,0,anova
40,183,2,1,anova
40,183,2,2,anova
40,191,0,0,anova
40,191,0,1,anova
40,191,0,2,anova
40,191,1,0,anova
40,191,1,1,anova
40,191,1,2,anova
40,191,2,0,anova
40,191,2,1,anova
40,191,2,2,anova
40,218,0,0,anova
40,218,0,1,anova
40,218,0,2,anova
40,218,1,0,anova
40,218,1,1,anova
40,218,1,2,anova
40,218,2,0,anova
40,218,2,1,anova
40,218,2,2,anova
40,263,0,0,anova
40,263,0,1,anova
40,263,0,2,anova
40,263,1,0,anova
40,263,1,1,anova
40,263,1,2,anova
40,263,2,0,anova
40,263,2,1,anova
40,263,2,2,anova
40,275,0,0,anova
40,275,0,1,anova
40,275,0,2,anova
40,275,1,0,anova
40,275,1,1,anova
40,275,1,2,anova
40,275,2,0,anova
40,275,2,1,anova
40,275,2,2,anova
40,303,0,0,anova
40,303,0,1,anova
40,303,0,2,anova
40,303,1,0,anova
40,303,1,1,anova
40,303,1,2,anova
40,303,2,0,anova
40,303,2,1,anova
40,303,2,2,anova
40,343,0,0,anova
40,343,0,1,anova
40,343,0,2,anova
40,343,1,0,anova
40,343,1,1,anova
40,343,1,2,anova
40,343,2,0,anova
40,343,2,1,anova
40,343,2,2,anova
40,365,0,0,anova
40,365,0,1,anova
40,365,0,2,anova
40,365,1,0,anova
40,365,1,1,anova
40,365,1,2,anova
40,365,2,0,anova
40,365,2,1,anova
40,365,2,2,anova
40,464,0,0,anova
40,464,0,1,anova
40,464,0,2,anova
40,464,1,0,anova
40,464,1,1,anova
40,464,1,2,anova
40,464,2,0,anova
40,464,2,1,anova
40,464,2,2,anova
40,471,0,0,anova
40,471,0,1,anova
40,471,0,2,anova
40,471,1,0,anova
40,471,1,1,anova
40,471,1,2,anova
40,471,2,0,anova
40,471,2,1,anova
40,471,2,2,anova
40,628,0,0,anova
40,628,0,1,anova
40,628,0,2,anova
40,628,1,0,anova
40,628,1,1,anova
40,628,1,2,anova
40,628,2,0,anova
40,628,2,1,anova
40,628,2,2,anova
40,638,0,0,anova
40,638,0,1,anova
40,638,0,2,anova
40,638,1,0,anova
40,638,1,1,anova
40,638,1,2,anova
40,638,2,0,anova
40,638,2,1,anova
40,638,2,2,anova
40,680,0,0,anova
40,680,0,1,anova
40,680,0,2,anova
40,680,1,0,anova
40,680,1,1,anova
40,680,1,2,anova
40,680,2,0,anova
40,680,2,1,anova
40,680,2,2,anova
40,800,0,0,anova
40,800,0,1,anova
40,800,0,2,anova
40,800,1,0,anova
40,800,1,1,anova
40,800,1,2,anova
40,800,2,0,anova
40,800,2,1,anova
40,800,2,2,anova
46,37,0,0,anova
46,37,0,1,anova
46,37,0,2,anova
46,37,1,0,anova
46,37,1,1,anova
46,37,1,2,anova
46,37,2,0,anova
46,37,2,1,anova
46,37,2,2,anova
46,183,0,0,anova
46,183,0,1,anova
46,183,0,2,anova
46,183,1,0,anova
46,183,1,1,anova
46,183,1,2,anova
46,183,2,0,anova
46,183,2,1,anova
46,183,2,2,anova
46,191,0,0,anova
46,191,0,1,anova
46,191,0,2,anova
46,191,1,0,anova
46,191,1,1,anova
46,191,1,2,anova
46,191,2,0,anova
46,191,2,1,anova
46,191,2,2,anova
46,218,0,0,anova
46,218,0,1,anova
46,218,0,2,anova
46,218,1,0,anova
46,218,1,1,anova
46,218,1,2,anova
46,218,2,0,anova
46,218,2,1,anova
46,218,2,2,anova
46,263,0,0,anova
46,263,0,1,anova
46,263,0,2,anova
46,263,1,0,anova
46,263,1,1,anova
46,263,1,2,anova
46,263,2,0,anova
46,263,2,1,anova
