series,model,resid_over_band,logl,k,bic,dbic_vs_ar1,ljungbox_Q,ljungbox_p,params
ais,white,0.16947542327694196,121.14305930771827,1,-237.44983670848507,-4.221801086807119,151.1234231720122,2.1890368378577146e-27,0.0001
ais,AR(1),0.16947542327694196,121.45029971779046,2,-233.22803562167795,0.0,143.8400889117308,6.873799742767645e-26,0.0119344; 0.727411
ais,AR(2),0.16947542327694196,124.38952668932953,3,-234.27020765780463,-1.0421720361266864,91.43554611077455,2.7795071459887794e-15,0.00241424; 1.86439; -0.968216
ais,"ARMA(1,1)",0.16947542327694196,121.72764817111339,3,-228.94645062137235,4.281585000305597,139.65089755530047,4.968989464034837e-25,0.00822152; 0.674668; 0.99
ais,local level,0.16947542327694196,121.14308779235225,1,-237.449893677753,-4.221858056075064,151.12330575199448,2.1891586486422376e-27,1e-06
ais,trend+AR(1),0.16947542327694196,121.47216315293463,4,-223.59919867806335,9.628836943614601,144.00542045039168,6.35715330185575e-26,0.0117723; 0.727002
gsic,white,1.055929489512727,-14.028955868224116,1,32.87819330205327,18.041724368913684,807.0253098819779,6.3710904028638256e-167,0.0001
gsic,AR(1),1.055929489512727,-2.5979529009647564,2,14.836468933139587,0.0,468.45418937732387,2.4112973024057135e-94,0.0386359; 0.997718
gsic,AR(2),1.055929489512727,3.112078964748486,3,8.23668676731814,-6.599782165821447,309.8100978420298,1.3089698018971112e-60,0.00362915; 1.97319; -0.973819
gsic,"ARMA(1,1)",1.055929489512727,-1.8664907125159225,3,18.193826121846957,3.35735718870737,447.7857619010965,6.198700891423985e-90,0.0214823; 0.997458; 0.99
gsic,local level,1.055929489512727,-12.353650169340781,1,29.5275819042866,14.691112971147012,741.8610956304058,6.4352433762769e-153,0.0373581
gsic,trend+AR(1),1.055929489512727,2.4796311640773325,4,14.321863934265483,-0.5146049988741037,737.635089109754,5.203954530380368e-152,0.0247694; 0.978153
gis,white,1.8355858666337521,-102.0048106840697,1,208.84590327509088,364.68402595609086,1007.5975931952336,4.317525416688383e-210,0.511392
gis,AR(1),1.8355858666337521,82.75534324745146,2,-155.83812268099996,0.0,481.6112707248071,3.7423171663462824e-97,0.0507188; 0.991856
gis,AR(2),1.8355858666337521,95.32463723057798,3,-176.14042874030153,-20.30230605930157,170.1091500842797,2.633354119551273e-31,0.0102131; 1.91436; -0.917293
gis,"ARMA(1,1)",1.8355858666337521,86.1708709673419,3,-157.83289621382937,-1.994773532829413,441.6269418069832,1.275621304039207e-88,0.0280498; 0.99066; 0.99
gis,local level,1.8355858666337521,83.55392902549866,1,-162.27157614404584,-6.433453463045879,483.032740421031,1.8602472527204738e-97,0.0505422
gis,trend+AR(1),1.8355858666337521,83.25248947532305,4,-147.15985132284018,8.678271358159776,485.82690257864385,4.707651724890715e-98,0.0507076; 0.985666
steric,white,0.8990930206900428,-40.37813382285323,1,85.59254955265794,104.49743687354214,262.5469937671918,1.2430116595394022e-50,0.202781
steric,AR(1),0.8990930206900428,14.28872556739358,2,-18.904887320884207,0.0,47.0467575003405,9.259588085334912e-07,0.0617176; 0.982934
steric,AR(2),0.8990930206900428,15.5081946960231,3,-16.507543671191765,2.3973436496924414,35.75069761687699,9.289542512618229e-05,0.0394239; 1.50106; -0.515668
steric,"ARMA(1,1)",0.8990930206900428,15.331775825767174,3,-16.154705930679913,2.7501813902042933,38.75926701357367,2.7974490649626136e-05,0.0352319; 0.977808; 0.99
steric,local level,0.8990930206900428,14.230728244232992,1,-23.625174581514507,-4.7202872606303,48.19602860261451,5.715524756104023e-07,0.0632534
steric,trend+AR(1),0.8990930206900428,15.584301058691679,4,-11.823474489577446,7.081412831306761,49.85366575706819,2.8396580781651107e-07,0.0618222; 0.957925
dang,white,0.20512453090641652,-193.85600956376604,1,392.5403328648344,-4.828313737302267,312.04097758071276,4.414517986873549e-61,0.0001
dang,AR(1),0.20512453090641652,-193.85600956376604,2,397.36864660213666,0.0,312.04097758071276,4.414517986873549e-61,0.0001; 0
dang,AR(2),0.20512453090641652,-193.85600958503377,3,402.19696038197446,4.828313779837799,312.0409776480915,4.4145178419394484e-61,0.0001; 0.336741; -0.0143444
dang,"ARMA(1,1)",0.20512453090641652,-193.856009580584,3,402.1969603730749,4.828313770938223,312.04097756573685,4.4145180190873034e-61,0.0001; 0; -0.213914
dang,local level,0.20512453090641652,-193.85600930617275,1,392.5403323496478,-4.828314252488838,312.0409764349051,4.414520451549411e-61,1e-06
dang,trend+AR(1),0.20512453090641652,-193.85378195990677,4,407.0208188690227,9.652172266886055,312.04097758071276,4.414517986873549e-61,0.0001; 0
