form,set,n_cells,lo_cm,med_cm,hi_cm,envelope_cm,envelope_over_sampled,shipped_cm,shipped_pctile
n=2 (shipped form),grid only,9,57.75078090515786,66.17570057063237,86.46794718173504,28.71716627657718,1.0695215598650307,95.74017840065883,100.0
n=2 (shipped form),grid + shipped cell,10,57.75078090515786,66.8146474435371,95.74017840065883,37.989397495500974,1.4148498941854395,95.74017840065883,100.0
n=2 and n=3 pooled,grid only,16,56.85711851840437,65.83841906742721,86.46794718173504,29.610828663330672,1.1028044813297742,95.74017840065883,100.0
n=2 and n=3 pooled,grid + shipped cell,17,56.85711851840437,66.17570057063237,95.74017840065883,38.883059882254464,1.448132815650183,95.74017840065883,100.0
