cell,amp,a,b,T_off,f,tau_f,tau_s,kappa,nu,sigma,rho,ll_flow,ll_inv,ll_lec,ll_prior,logJ_unweighted,S1900,inv_z,com12,com15,com2,com3,sens,ds126,ds245,ds585,spread,npass,g_inv,g_s1900,g_lad,g_spread
NxTglac_enf,ampfit,0.38769356696224105,1.2,-0.4183035616958475,,,,0.0031900252024894917,2.552190564243297e-14,0.050410067703029374,0.99,-5.5894450379291065,1.8576511911026086,3.772314201751762,-6.022345066620067,-5.981824711694803,21.767209835785284,0.27137056750043875,91.84717326131315,95.40852726172056,98.2365695382621,99.73988164691683,12.542351696232357,7.653794248818632,7.705068887661853,7.744720600733365,0.09092635191473342,2,True,True,False,False
NxTglac_enf,amp1.8,0.38769356696224105,1.2,-0.4183035616958475,,,,0.0031900252024894917,2.552190564243297e-14,0.050410067703029374,0.99,-5.5894450379291065,1.8576511911026086,3.772314201751762,-6.022345066620067,-5.981824711694803,21.767209835785284,0.27137056750043875,93.93205371897022,96.82591243919923,98.92209406634679,99.8756903677338,8.831276310667047,7.673123276575203,7.719084086392513,7.753174592387224,0.08005131581202107,2,True,True,False,False
MxTglac_enf,ampfit,0.3999641936440713,0.7747156325166824,-0.5017773160794154,0.02,46.93493920445458,274.31533591529956,,,0.05444835085986202,0.99,-7.0197780399752325,1.7633155379205872,3.7617968675839535,-10.930052227618415,-12.424717862089107,22.19700676805541,0.5121652968227669,79.69199034569252,85.98206944466843,92.44250023326686,97.80332089496369,35.83092589961512,8.452379094231684,8.65686457086622,8.84791235168497,0.3955332574532857,2,True,True,False,False
MxTglac_enf,amp1.8,0.3999641936440713,0.7747156325166824,-0.5017773160794154,0.02,46.93493920445458,274.31533591529956,,,0.05444835085986202,0.99,-7.0197780399752325,1.7633155379205872,3.7617968675839535,-10.930052227618415,-12.424717862089107,22.19700676805541,0.5121652968227669,83.21740999650778,88.95480382445172,94.49998109816669,98.63621572548476,29.34494320572989,8.513891163787484,8.712193025625899,8.885794424661302,0.3719032608738182,2,True,True,False,False
