scenario,component,horizon,rhat,ess,converged,pooled_median_cm,pooled_p05_cm,pooled_p95_cm,spread_p05_p95_cm,med_range_cm,med_range_over_sd_wc,n_chains,n_per_chain,med_seed2026_cm,med_seed2027_cm,med_seed2028_cm,med_seed2029_cm
ssp245,ais,2100,1.0700986836105022,38.38947856914853,false,5.5843293943359065,3.7610030049447927,39.19933980502621,35.43833680008142,1.3977545065789592,0.11616527801639932,4,500,5.960626469088499,5.111509532484104,6.131331350904608,4.733576844325649
ssp245,ais,2150,1.0344783650546034,97.7030306611151,true,11.905364911780225,6.471177122854362,101.88798182026315,95.41680469740879,7.894247842409882,0.2359947510956969,4,500,11.969409255145926,10.533434042541494,17.55532318702984,9.661075344619956
ssp245,ais,2300,1.0249185515844303,183.22452851794824,true,131.34861718409843,15.355865575529485,296.1238522008858,280.7679866253563,39.24763074863432,0.3865937592052669,4,500,129.52038234389101,119.06336301515847,158.3109937637928,124.81927698999564
ssp245,total,2100,1.01308740910473,809.9628067227957,true,44.94653669115699,41.19770163738083,78.61517404227132,37.41747240489049,1.2866160976351395,0.10583587105009423,4,500,45.30075551706072,44.730322334936346,45.646922898228496,44.36030680059336
ssp245,total,2150,1.0135364523446557,815.0793448544835,true,70.74662988209161,61.92231260081241,159.02373703983454,97.10142443902214,5.0804892735613265,0.15119763939739347,4,500,71.20562523994718,69.37373851468526,73.56681216753104,68.48632289396971
ssp245,total,2300,1.0175702308149106,464.4587437071122,true,219.06643068930066,102.12131716339869,385.9894867401987,283.8681695768,38.18588031866307,0.37526049092553165,4,500,215.65612641280183,206.14002365487943,244.3259039735425,212.92590537704498
ssp585,ais,2100,1.014379330875467,650.1801610264031,true,37.07302382802588,16.45111107047176,67.00880260515375,50.557691534681986,6.536583569189773,0.4265424400817436,4,500,38.08759260632968,35.9277373158266,40.47183230734887,33.935248738159096
ssp585,ais,2150,1.0213397736992325,377.1106697911239,true,94.34845106432459,53.76145648576979,148.5505844726424,94.78912798687261,13.755010364110134,0.4806138623141274,4,500,98.06861849555087,92.42053752187357,101.09340721649113,87.338396852381
ssp585,ais,2300,1.0263443140782087,163.8137238480274,true,281.1895243759867,168.34130464984796,420.69676856599915,252.3554639161512,37.25165809775012,0.49453812007749687,4,500,295.5553067877702,274.437536690349,294.3068451870023,258.30364869002005
ssp585,total,2100,1.0122402748274102,793.9587028294886,true,94.66868952500033,74.33576137477942,124.46541882504165,50.12965745026223,6.276191950678722,0.40418936066127564,4,500,96.15576113577478,93.99850671948417,97.9798064950585,91.70361454437977
ssp585,total,2150,1.0180769975886184,598.4625097978734,true,198.62975459281333,157.7966646528028,252.71514379410206,94.91847914129926,10.946645841979688,0.37764202898640076,4,500,201.8466425352326,196.94835372025733,203.52881010782284,192.58216426584315
ssp585,total,2300,1.0238681870585458,216.87950549534546,true,467.5767275530126,355.16828613376896,608.6061105698636,253.43782443609467,34.83834498321721,0.4575749254784623,4,500,479.0616140082034,460.9637911191633,482.3320744471995,447.4937294639823
