year,drv_reg_R19,s_reg_R19,drv_reg_SLOWP,s_reg_SLOWP,drv_reg_FAST,s_reg_FAST,drv_obs_R19,s_obs_R19,drv_obs_SLOWP,s_obs_SLOWP,drv_obs_FAST,s_obs_FAST
1850,-0.201260000000,0.000000000000,-0.200295462857,0.000000000000,-0.120812899855,0.000000000000,-0.201260000000,0.000000000000,-0.200295462857,0.000000000000,-0.120812899855,0.000000000000
1851,0.028740000000,0.000000000000,0.570686717468,0.000000000000,0.419647706345,0.000141960618,0.028740000000,0.000000000000,0.570686717468,0.000000000000,0.419647706345,0.000147369752
1852,0.020740000000,0.000000000000,0.204003379674,0.000002254947,0.117112387174,0.000549247908,0.020740000000,0.000000000000,0.204003379674,0.000000312247,0.117112387174,0.000522634089
1853,-0.078920000000,0.000000000000,0.512631112684,0.000002254947,0.046425841232,0.000785315650,-0.078920000000,0.000000000000,0.512631112684,0.000000312247,0.046425841232,0.000752182443
1854,-0.179510000000,0.000000000000,0.412242259176,0.000003640953,0.054427579126,0.000987217296,-0.179510000000,0.000000000000,0.412242259176,0.000000457725,0.054427579126,0.000951897142
1855,0.151320000000,0.000000000000,0.020968363652,0.000004076927,0.082311329543,0.001190800632,0.151320000000,0.000000000000,0.020968363652,0.000000471823,0.082311329543,0.001152877668
1856,-0.035890000000,0.000000000000,-0.157270723777,0.000004076927,0.205758834347,0.001404829786,-0.035890000000,0.000000000000,-0.157270723777,0.000000471823,0.205758834347,0.001362734154
1857,-0.078260000000,0.000000000000,-0.144425306839,0.000004076927,-0.068132981141,0.001675510341,-0.078260000000,0.000000000000,-0.144425306839,0.000000471823,-0.068132981141,0.001621147624
1858,0.024370000000,0.000000000000,0.373152055575,0.000004076927,-0.073501520547,0.001824438502,0.024370000000,0.000000000000,0.373152055575,0.000000471823,-0.073501520547,0.001773581890
1859,0.031070000000,0.000000000000,0.330846040523,0.000004305633,0.021741366959,0.001970322943,0.031070000000,0.000000000000,0.330846040523,0.000000473432,0.021741366959,0.001923148825
1860,0.025510000000,0.000000000000,-0.031795803786,0.000004394157,-0.112893593726,0.002151681883,0.025510000000,0.000000000000,-0.031795803786,0.000000473432,-0.112893593726,0.002103806699
1861,-0.053200000000,0.000000000000,0.236807018838,0.000004394157,-0.203671575243,0.002281468912,-0.053200000000,0.000000000000,0.236807018838,0.000000473432,-0.203671575243,0.002238702173
1862,-0.019080000000,0.000000000000,-0.407297390300,0.000004394160,-0.478579335822,0.002381744495,-0.019080000000,0.000000000000,-0.407297390300,0.000000473432,-0.478579335822,0.002346779779
1863,-0.041390000000,0.000000000000,0.310999386659,0.000004394160,-0.257299369869,0.002418644742,-0.041390000000,0.000000000000,0.310999386659,0.000000473432,-0.257299369869,0.002394421065
1864,0.032450000000,0.000000000000,-0.096847176535,0.000004442578,-0.027341125065,0.002503146989,0.032450000000,0.000000000000,-0.096847176535,0.000000473432,-0.027341125065,0.002487777760
1865,-0.003570000000,0.000000000000,-0.091393066386,0.000004442578,-0.069230260837,0.002661009165,-0.003570000000,0.000000000000,-0.091393066386,0.000000473432,-0.069230260837,0.002647034832
