axis,rff_idx,fair_cfg_idx,seed_idx,post_idx
anova,1953,178,0,891
anova,1953,178,0,2074
anova,1953,178,0,4490
anova,1953,178,1,891
anova,1953,178,1,2074
anova,1953,178,1,4490
anova,1953,178,2,891
anova,1953,178,2,2074
anova,1953,178,2,4490
anova,1953,304,0,6721
anova,1953,304,0,3991
anova,1953,304,0,7906
anova,1953,304,1,6721
anova,1953,304,1,3991
anova,1953,304,1,7906
anova,1953,304,2,6721
anova,1953,304,2,3991
anova,1953,304,2,7906
anova,1953,129,0,3145
anova,1953,129,0,6038
anova,1953,129,0,5067
anova,1953,129,1,3145
anova,1953,129,1,6038
anova,1953,129,1,5067
anova,1953,129,2,3145
anova,1953,129,2,6038
anova,1953,129,2,5067
anova,1953,181,0,1932
anova,1953,181,0,9495
anova,1953,181,0,9273
anova,1953,181,1,1932
anova,1953,181,1,9495
anova,1953,181,1,9273
anova,1953,181,2,1932
anova,1953,181,2,9495
anova,1953,181,2,9273
anova,1953,595,0,4617
anova,1953,595,0,9401
anova,1953,595,0,7415
anova,1953,595,1,4617
anova,1953,595,1,9401
anova,1953,595,1,7415
anova,1953,595,2,4617
anova,1953,595,2,9401
anova,1953,595,2,7415
anova,1953,311,0,8177
anova,1953,311,0,703
anova,1953,311,0,697
anova,1953,311,1,8177
anova,1953,311,1,703
anova,1953,311,1,697
anova,1953,311,2,8177
anova,1953,311,2,703
anova,1953,311,2,697
anova,1953,80,0,1296
anova,1953,80,0,5298
anova,1953,80,0,2587
anova,1953,80,1,1296
anova,1953,80,1,5298
anova,1953,80,1,2587
anova,1953,80,2,1296
anova,1953,80,2,5298
anova,1953,80,2,2587
anova,1953,558,0,9044
anova,1953,558,0,9180
anova,1953,558,0,4010
anova,1953,558,1,9044
anova,1953,558,1,9180
anova,1953,558,1,4010
anova,1953,558,2,9044
anova,1953,558,2,9180
anova,1953,558,2,4010
anova,1953,588,0,1335
anova,1953,588,0,8583
anova,1953,588,0,6542
anova,1953,588,1,1335
anova,1953,588,1,8583
anova,1953,588,1,6542
anova,1953,588,2,1335
anova,1953,588,2,8583
anova,1953,588,2,6542
anova,1953,452,0,7268
anova,1953,452,0,283
anova,1953,452,0,3850
anova,1953,452,1,7268
anova,1953,452,1,283
anova,1953,452,1,3850
anova,1953,452,2,7268
anova,1953,452,2,283
anova,1953,452,2,3850
anova,1953,122,0,891
anova,1953,122,0,624
anova,1953,122,0,1682
anova,1953,122,1,891
anova,1953,122,1,624
anova,1953,122,1,1682
anova,1953,122,2,891
anova,1953,122,2,624
anova,1953,122,2,1682
anova,1953,490,0,1265
anova,1953,490,0,1480
anova,1953,490,0,3132
anova,1953,490,1,1265
anova,1953,490,1,1480
anova,1953,490,1,3132
anova,1953,490,2,1265
anova,1953,490,2,1480
anova,1953,490,2,3132
anova,1953,807,0,4304
anova,1953,807,0,423
anova,1953,807,0,297
anova,1953,807,1,4304
anova,1953,807,1,423
anova,1953,807,1,297
anova,1953,807,2,4304
anova,1953,807,2,423
anova,1953,807,2,297
anova,1953,217,0,8769
anova,1953,217,0,9606
anova,1953,217,0,6802
anova,1953,217,1,8769
anova,1953,217,1,9606
anova,1953,217,1,6802
anova,1953,217,2,8769
anova,1953,217,2,9606
anova,1953,217,2,6802
anova,1953,13,0,5578
anova,1953,13,0,8636
anova,1953,13,0,8225
anova,1953,13,1,5578
anova,1953,13,1,8636
anova,1953,13,1,8225
anova,1953,13,2,5578
anova,1953,13,2,8636
anova,1953,13,2,8225
anova,679,169,0,6426
anova,679,169,0,8487
anova,679,169,0,9067
anova,679,169,1,6426
anova,679,169,1,8487
anova,679,169,1,9067
anova,679,169,2,6426
anova,679,169,2,8487
anova,679,169,2,9067
anova,679,817,0,52
anova,679,817,0,9281
anova,679,817,0,4941
anova,679,817,1,52
anova,679,817,1,9281
anova,679,817,1,4941
anova,679,817,2,52
anova,679,817,2,9281
anova,679,817,2,4941
anova,679,620,0,3093
anova,679,620,0,8369
anova,679,620,0,4230
anova,679,620,1,3093
anova,679,620,1,8369
anova,679,620,1,4230
anova,679,620,2,3093
anova,679,620,2,8369
anova,679,620,2,4230
anova,679,672,0,492
anova,679,672,0,2468
anova,679,672,0,1152
anova,679,672,1,492
anova,679,672,1,2468
anova,679,672,1,1152
anova,679,672,2,492
anova,679,672,2,2468
anova,679,672,2,1152
anova,679,201,0,4407
anova,679,201,0,6304
anova,679,201,0,192
anova,679,201,1,4407
anova,679,201,1,6304
anova,679,201,1,192
anova,679,201,2,4407
anova,679,201,2,6304
anova,679,201,2,192
anova,679,84,0,4499
anova,679,84,0,9251
anova,679,84,0,8190
anova,679,84,1,4499
anova,679,84,1,9251
anova,679,84,1,8190
anova,679,84,2,4499
anova,679,84,2,9251
anova,679,84,2,8190
anova,679,26,0,1415
anova,679,26,0,835
anova,679,26,0,6298
anova,679,26,1,1415
anova,679,26,1,835
anova,679,26,1,6298
anova,679,26,2,1415
anova,679,26,2,835
anova,679,26,2,6298
anova,679,509,0,1315
anova,679,509,0,5050
anova,679,509,0,4707
anova,679,509,1,1315
anova,679,509,1,5050
anova,679,509,1,4707
anova,679,509,2,1315
anova,679,509,2,5050
anova,679,509,2,4707
anova,679,73,0,380
anova,679,73,0,2459
anova,679,73,0,6060
anova,679,73,1,380
anova,679,73,1,2459
anova,679,73,1,6060
anova,679,73,2,380
anova,679,73,2,2459
anova,679,73,2,6060
anova,679,668,0,2906
anova,679,668,0,9241
anova,679,668,0,3471
anova,679,668,1,2906
anova,679,668,1,9241
anova,679,668,1,3471
anova,679,668,2,2906
anova,679,668,2,9241
anova,679,668,2,3471
anova,679,429,0,3340
anova,679,429,0,9728
anova,679,429,0,8684
anova,679,429,1,3340
anova,679,429,1,9728
anova,679,429,1,8684
anova,679,429,2,3340
anova,679,429,2,9728
anova,679,429,2,8684
anova,679,508,0,1448
anova,679,508,0,6692
anova,679,508,0,8857
anova,679,508,1,1448
anova,679,508,1,6692
anova,679,508,1,8857
anova,679,508,2,1448
anova,679,508,2,6692
anova,679,508,2,8857
anova,679,499,0,8237
anova,679,499,0,6503
anova,679,499,0,1618
anova,679,499,1,8237
anova,679,499,1,6503
anova,679,499,1,1618
anova,679,499,2,8237
anova,679,499,2,6503
anova,679,499,2,1618
anova,679,415,0,6563
anova,679,415,0,1283
anova,679,415,0,3211
anova,679,415,1,6563
anova,679,415,1,1283
anova,679,415,1,3211
anova,679,415,2,6563
anova,679,415,2,1283
anova,679,415,2,3211
anova,679,342,0,5718
anova,679,342,0,5036
anova,679,342,0,560
anova,679,342,1,5718
anova,679,342,1,5036
anova,679,342,1,560
anova,679,342,2,5718
anova,679,342,2,5036
anova,679,342,2,560
anova,707,682,0,8335
anova,707,682,0,2354
anova,707,682,0,9068
anova,707,682,1,8335
anova,707,682,1,2354
anova,707,682,1,9068
anova,707,682,2,8335
anova,707,682,2,2354
anova,707,682,2,9068
anova,707,300,0,8058
anova,707,300,0,6401
anova,707,300,0,5810
anova,707,300,1,8058
anova,707,300,1,6401
anova,707,300,1,5810
anova,707,300,2,8058
anova,707,300,2,6401
anova,707,300,2,5810
anova,707,204,0,4711
anova,707,204,0,5985
anova,707,204,0,4429
anova,707,204,1,4711
anova,707,204,1,5985
anova,707,204,1,4429
anova,707,204,2,4711
anova,707,204,2,5985
anova,707,204,2,4429
anova,707,346,0,3916
anova,707,346,0,377
anova,707,346,0,607
anova,707,346,1,3916
anova,707,346,1,377
anova,707,346,1,607
anova,707,346,2,3916
anova,707,346,2,377
anova,707,346,2,607
anova,707,67,0,4900
anova,707,67,0,466
anova,707,67,0,5265
anova,707,67,1,4900
anova,707,67,1,466
anova,707,67,1,5265
anova,707,67,2,4900
anova,707,67,2,466
anova,707,67,2,5265
anova,707,528,0,9081
anova,707,528,0,9710
anova,707,528,0,3677
anova,707,528,1,9081
anova,707,528,1,9710
anova,707,528,1,3677
anova,707,528,2,9081
anova,707,528,2,9710
anova,707,528,2,3677
anova,707,225,0,719
anova,707,225,0,4903
anova,707,225,0,3671
anova,707,225,1,719
anova,707,225,1,4903
anova,707,225,1,3671
anova,707,225,2,719
anova,707,225,2,4903
anova,707,225,2,3671
anova,707,840,0,1055
anova,707,840,0,6470
anova,707,840,0,5849
anova,707,840,1,1055
anova,707,840,1,6470
anova,707,840,1,5849
anova,707,840,2,1055
anova,707,840,2,6470
anova,707,840,2,5849
anova,707,591,0,1743
anova,707,591,0,5363
anova,707,591,0,8016
anova,707,591,1,1743
anova,707,591,1,5363
anova,707,591,1,8016
anova,707,591,2,1743
anova,707,591,2,5363
anova,707,591,2,8016
anova,707,250,0,5515
anova,707,250,0,4882
anova,707,250,0,3719
anova,707,250,1,5515
anova,707,250,1,4882
anova,707,250,1,3719
anova,707,250,2,5515
anova,707,250,2,4882
anova,707,250,2,3719
anova,707,41,0,4808
anova,707,41,0,8953
anova,707,41,0,5764
anova,707,41,1,4808
anova,707,41,1,8953
anova,707,41,1,5764
anova,707,41,2,4808
anova,707,41,2,8953
anova,707,41,2,5764
anova,707,419,0,4157
anova,707,419,0,88
anova,707,419,0,9138
anova,707,419,1,4157
anova,707,419,1,88
anova,707,419,1,9138
anova,707,419,2,4157
anova,707,419,2,88
anova,707,419,2,9138
anova,707,722,0,6066
anova,707,722,0,1765
anova,707,722,0,4635
anova,707,722,1,6066
anova,707,722,1,1765
anova,707,722,1,4635
anova,707,722,2,6066
anova,707,722,2,1765
anova,707,722,2,4635
anova,707,817,0,1067
anova,707,817,0,3819
anova,707,817,0,8236
anova,707,817,1,1067
anova,707,817,1,3819
anova,707,817,1,8236
anova,707,817,2,1067
anova,707,817,2,3819
anova,707,817,2,8236
anova,707,117,0,7194
anova,707,117,0,3977
anova,707,117,0,4988
anova,707,117,1,7194
anova,707,117,1,3977
anova,707,117,1,4988
anova,707,117,2,7194
anova,707,117,2,3977
anova,707,117,2,4988
anova,1460,689,0,6121
anova,1460,689,0,6826
anova,1460,689,0,9434
anova,1460,689,1,6121
anova,1460,689,1,6826
anova,1460,689,1,9434
anova,1460,689,2,6121
anova,1460,689,2,6826
anova,1460,689,2,9434
anova,1460,462,0,685
anova,1460,462,0,7940
anova,1460,462,0,3333
anova,1460,462,1,685
anova,1460,462,1,7940
anova,1460,462,1,3333
anova,1460,462,2,685
anova,1460,462,2,7940
anova,1460,462,2,3333
anova,1460,652,0,9800
anova,1460,652,0,4760
anova,1460,652,0,9362
anova,1460,652,1,9800
anova,1460,652,1,4760
anova,1460,652,1,9362
anova,1460,652,2,9800
anova,1460,652,2,4760
anova,1460,652,2,9362
anova,1460,123,0,4163
anova,1460,123,0,1732
anova,1460,123,0,3127
anova,1460,123,1,4163
anova,1460,123,1,1732
anova,1460,123,1,3127
anova,1460,123,2,4163
anova,1460,123,2,1732
anova,1460,123,2,3127
