ssp,component,horizon,arm,n_draws,med_cm,mean_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio,provenance
vvLN,glaciers,2100,fixed,2000,8.152513330286602,8.185402122814558,7.122702749816183,9.349795487396916,2.2270927375807332,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2100,joint,2000,8.012849367106543,8.196130251228196,6.250141443984121,10.829188312706059,4.579046868721938,2.056064748204472,0.9828686004521812,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2150,fixed,2000,9.537440617418397,9.579323459418323,8.21329143030168,11.082361128271726,2.869069697970046,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2150,joint,2000,9.294119953079086,9.585585569416764,7.055318077238716,13.010302386427854,5.954984309189139,2.075580218006719,0.9744878448946848,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2300,fixed,2000,9.792458375248962,9.850535364484324,8.283852289512396,11.556552782833025,3.272700493320629,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,glaciers,2300,joint,2000,9.515344552582256,9.82404896198117,7.1250124952745,13.363376095344119,6.2383636000696185,1.9061822530970116,0.9717013019562964,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2100,fixed,2000,6.340099791248081,6.328219584238809,5.1309352094889515,7.44996423794098,2.3190290284520287,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2100,joint,2000,6.205971672617833,6.351175780030577,4.813345206417319,8.281491262833102,3.468146056415783,1.4955164484210013,0.9788444783131964,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2150,fixed,2000,8.016900128963396,8.022059946160592,6.2612785730006095,9.79843017012213,3.53715159712152,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2150,joint,2000,7.746366667497142,8.022944774467193,5.696228933642894,11.012843226696962,5.316614293054068,1.5030778712963977,0.9662546050076297,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2300,fixed,2000,7.413199634799793,7.490241559421629,5.0850355150428275,10.177334833742844,5.092299318700016,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,gis,2300,joint,2000,7.3019146739035135,7.517148033525563,4.292990838532393,11.41052787194061,7.117537033408217,1.3977059453813119,0.9849882687127601,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,ais,2100,fixed,2000,4.831122572016255,6.874396089315829,3.5902089159339297,23.721305525050646,20.131096609116717,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,ais,2100,joint,2000,4.627459275232271,9.864952947405698,3.2512179570299238,48.401724121511805,45.15050616448188,2.24282397731054,0.957843483838791,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
vvLN,ais,2150,fixed,2000,7.140353748266797,9.315133550103138,5.3336282672538635,26.714733005356397,21.381104738102533,1.0,1.0,scope_slr_fair_uncertainty.jl | Ladrillo L27 | ssp vvLN | forcing spliced | climate fair | lws central (mean 0.0003 m/yr) | tap true | run 1850-2300 reref 1995-2014 | julia 1.12.6
