ssp,component,horizon,arm,n_draws,med_cm,p05_cm,p95_cm,spread_cm,spread_ratio,med_ratio
ssp585,ais,2100,fixed,2000,37.07302382802588,16.45111107047176,67.00880260515375,50.557691534681986,1.0,1.0
ssp585,ais,2100,joint,2000,35.36053478194528,7.497762355287019,70.77487988628032,63.277117530993294,1.2515824122940014,0.9538076782184134
ssp585,ais,2150,fixed,2000,94.34845106432459,53.76145648576979,148.5505844726424,94.78912798687261,1.0,1.0
ssp585,ais,2150,joint,2000,92.46983152612603,47.44955738749541,154.20853999373523,106.75898260623981,1.1262787713483862,0.9800884962391405
ssp585,ais,2300,fixed,2000,281.1895243759867,168.34130464984796,420.69676856599915,252.3554639161512,1.0,1.0
ssp585,ais,2300,joint,2000,277.0586212265531,159.3891820294902,460.84801098034455,301.45882895085435,1.1945801540125103,0.985309185473389
ssp585,total,2100,fixed,2000,94.66868952500033,74.33576137477942,124.46541882504165,50.12965745026223,1.0,1.0
ssp585,total,2100,joint,2000,93.0549943078801,56.880218290877245,138.3551878449991,81.47496955412186,1.625284785457788,0.9829542879993698
ssp585,total,2150,fixed,2000,198.62975459281333,157.7966646528028,252.71514379410206,94.91847914129926,1.0,1.0
ssp585,total,2150,joint,2000,195.69433247159668,132.8006970453807,279.06569350800373,146.26499646262303,1.54095385625477,0.9852216394908497
ssp585,total,2300,fixed,2000,467.5767275530126,355.16828613376896,608.6061105698636,253.43782443609467,1.0,1.0
ssp585,total,2300,joint,2000,461.73218820628733,308.18824146942654,689.8799820064935,381.69174053706695,1.5060567276662051,0.9875003630370748
