component,n_years,coverage_param,coverage_pred,mean_bias,in_sample
ais,126,0.7857142857142857,0.9523809523809523,-0.1149420069808081,true
glaciers,124,0.6935483870967742,1.0,0.06092247401020318,true
gis,126,0.3492063492063492,0.9047619047619048,-0.14081017798723466,true
te,126,0.40476190476190477,0.9841269841269841,0.2638521093900033,true
total,125,0.808,NaN,0.07573610651473456,false
