index,name,comp,mu,sigma,lo,hi,prior_form,note,provenance
26,gic_b_FAST,glaciers_small_icecaps,0.368982026346,10.0,0.05,3.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
27,gic_T_off_FAST,glaciers_small_icecaps,-1.21396297595,10.0,-4.0,1.0,"flat on [lo, hi]",sigma = 10.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
28,gic_log10_kappa_FAST,glaciers_small_icecaps,-2.583191353176445,0.114,-3.774659554587068,-1.5210935581243517,"N(k10c(gic_amp_FAST), 0.114) on [lo, hi] -- centre is a log-linear function of the sampled amp",tau50-as-prior; at the amp prior mean the centre is -2.583,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
29,gic_amp_R19,likelihood_only,0.72,0.15,0.58,0.88,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
30,gic_amp_SLOWP,likelihood_only,2.5,0.45,1.8,3.5,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
31,gic_amp_FAST,likelihood_only,1.45,0.15,1.33,1.82,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
32,gic_u_unch,likelihood_only,28.15,1000.0,14.5,41.8,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
33,gic_u_pre,likelihood_only,12.5,1000.0,0.0,25.0,"flat on [lo, hi]",sigma = 1000.0 in the code = bounds-only; mu is the start point,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
34,gic_s_r5,likelihood_only,2.5,2.0,0.0,8.0,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
35,d2_steric_1,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
36,d2_steric_2,likelihood_only,0.0,0.5,-2.5,2.5,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
37,antarctic_lambda,antarctic_icesheet,0.010340416,0.003575958,0.0017231186,0.02952429,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
38,antarctic_gamma,antarctic_icesheet,2.7706168,0.9376221,0.5000172,4.2499385,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
39,antarctic_kappa,antarctic_icesheet,0.05877084,0.016584998,0.025000414,0.084999464,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
40,ais_gmst_amp,antarctic_icesheet,1.09,0.18,0.55,1.6300000000000001,"N(mu, sigma) on [lo, hi]",,"calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
41,ais_mu,antarctic_icesheet,10.803983219053745,1.8146745536450215,7.050094127655029,13.64998722076416,"joint paleo MvNormal (standardised, corr from paleo_geo_prior_ton.csv); marginal N(mu, sigma) on [lo, hi]","DAIS geometry; ais_precip0_LOG is log-space; ais_runoff_Ton = -h0/c, h0 reconstructed per draw","calibrate_mcmc_ext.jl --dump-priors | tag L26c | ARGS: 100 2026 --tag=L26c --gis-ordered --gis-basins2 --amp-mu=1.09 --amp-sigma=0.180 --paleo-priors --no-delta --no-d2-gsic --obs-corr-len=20 --toff-lo=-4 --precip-reparam --dump-priors | amp prior N(1.09, 0.18) | GIS_ORDERED=true (wedge: alpha_s <= alpha_f AND beta_s <= beta_f, a hard constraint on top of these marginals) | D2 sd 0.5 cm | K10_SIG 0.114 | 2026-09-19T15:12:03.748"
