year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi
1900,-0.6340783032503996,-1.2995929631319911,-0.014592996510592426,-7.27700420292941,-8.871634635058317,-5.571634635058317,-4.130332357233222,-5.203889638727361,-3.0638898676091983,-3.6098928928375242,-4.648588418960571,-2.5372496128082274,1.5646033324978563,0.6119207181713797,2.5119206466458066,-14.198217868071225,1.9013513550997623,,
1901,-0.6286254796114836,-1.2845930012789641,-0.014592996510592426,-7.192015799609098,-8.781634482470427,-5.501634558764371,-4.14182832891291,-5.218889791315252,-3.0838895624334155,-3.6964476108551025,-4.657472467422485,-2.6669180393218994,1.8565911330960014,0.9069207229397513,2.8019207992336965,-13.752241184900765,1.9793586629308142,,
1902,-0.6231535824862393,-1.274592963131991,-0.014592996510592426,-7.1059981909665195,-8.671634635058316,-5.441634711352262,-4.110059530084785,-5.188889867609198,-3.0688897913152524,-3.7697138309478753,-4.697459650039673,-2.7708406925201414,1.9890015640042045,1.0469207324764944,2.9419207610867244,-14.911070353898126,1.9410401282707384,,
1903,-0.6177760037508879,-1.26459302035245,-0.014592996510592426,-7.048844107714567,-8.606634482470426,-5.376634558764371,-4.069244558160955,-5.143889791315253,-3.018889791315252,-3.89201683998108,-4.8804590702056885,-2.863543939590455,1.9943495788357475,1.0469207324764944,2.9419207610867244,-13.898856883530264,1.9382080748203372,,
1904,-0.612356558713046,-1.249592963131991,-0.014592996510592426,-6.964708670702848,-8.501634940234098,-5.301634558764372,-3.986545354669745,-4.943889791315252,-3.0638898676091983,-4.005975580215455,-5.040529108047485,-2.91988320350647,1.9546252288601615,1.001920703866265,2.901920799233696,-13.744080748090635,1.9062885306848965,,
1905,-0.6069045933810149,-1.2395930203524501,-0.014592996510592426,-6.865145072070035,-8.391634329882535,-5.206634482470426,-3.965610296075995,-4.833889562433416,-3.1188897913152522,-4.084479761123657,-4.9836359500885,-3.099673318862914,2.011866287209771,1.0619207420132377,2.9719206847927784,-12.970216531161334,1.8778056024935137,,
1906,-0.6014521512118254,-1.224592963131991,-0.01959299174222079,-6.785165366259489,-8.291634329882536,-5.126634558764371,-3.9195184534246272,-4.768889791315253,-3.073889715021307,-4.1820330142974855,-5.247185373306275,-3.104096841812134,1.8110274352810602,0.8619207420132378,2.7669207610867246,-14.432600292481698,1.867389295775021,,
1907,-0.5960208806124601,-1.21459302035245,-0.01959299174222079,-6.7199607458981605,-8.211634787646208,-5.086634787646208,-3.8829637354070488,-4.743889791315253,-3.048889715021307,-4.245766305923461,-5.213574075698853,-3.2633627414703366,1.7740370788357473,0.8269207038662649,2.7169207610867243,-13.798995908912747,1.8502969750179694,,
1908,-0.5906124981966887,-1.199592963131991,-0.01959299174222079,-6.640979727831754,-8.116634329882535,-5.026634558764371,-3.8119527643377134,-4.668889791315252,-2.978889638727362,-4.304152536392211,-5.345814371109009,-3.2288202762603753,1.8447394408962943,0.9019207038662651,2.7969206847927786,-15.283324541043815,1.894808327135328,,
1909,-0.5851665410128508,-1.18959302035245,-0.024593010815707195,-6.5662955847653475,-8.016634329882535,-4.961634787646208,-3.7546384638006036,-4.493889791315253,-3.0388898676091984,-4.4123697757720945,-5.42250428199768,-3.411845636367798,1.9302844085476614,0.9869207420132378,2.881920722939751,-14.744668796048046,1.8993319041471761,,
1910,-0.5797470959750088,-1.179592982205478,-0.024593010815707195,-6.496743735400114,-7.946634635058317,-4.901634558764371,-3.709659749811346,-4.268889791315253,-3.1538896387273616,-4.497396707534791,-5.443472909927368,-3.4758474826812744,1.9672564544460993,1.0169207134030083,2.9369206466458064,-14.584220989879785,1.8801072713916969,,
1911,-0.5743019017306241,-1.169593039425937,-0.024593010815707195,-6.407831534472379,-7.836634787646208,-4.826634558764371,-3.7024556940252134,-4.253889638727362,-3.1538896387273616,-4.502541589736938,-5.501167154312133,-3.47614769935608,2.0035834350369193,1.0569207229397513,2.9569207229397514,-13.043930420599185,1.8370140435839637,,
1912,-0.5688701542941008,-1.1595930012789641,-0.029593006047335557,-6.332779654589567,-7.746634635058317,-4.761634787646208,-3.6499250238591983,-4.198889715021307,-3.098889715021307,-4.496937417984009,-5.457636880874634,-3.4817568302154545,1.9851510085842823,1.0469207324764944,2.9169207610867245,-12.278627734047507,1.7885820107069268,,
1913,-0.563472453030673,-1.1445930394259372,-0.029593006047335557,-6.264344748583707,-7.661634787646207,-4.696634635058317,-3.6160070245916187,-4.153889638727362,-3.0638898676091983,-4.43869423866272,-5.3681097507476805,-3.459259653091431,1.8794368781826714,0.9319207229397513,2.8069207229397515,-11.516863662958656,1.8020665924354191,,
1914,-0.5580358418551359,-1.129592982205478,-0.029593006047335557,-6.151126059618863,-7.531634482470427,-4.606634482470425,-3.6001985376531427,-4.133889562433415,-3.0688897913152524,-4.3344473361969,-5.385132455825806,-3.2745748996734614,2.022380165078423,1.066920713403008,2.9769207992336963,-11.317767953942738,1.7670565858230216,,
1915,-0.5526043805209073,-1.119593039425937,-0.029593006047335557,-5.996160849657926,-7.366634329882535,-4.486634787646208,-3.567949086969549,-4.093889791315252,-3.048889715021307,-4.308618783950806,-5.297390604019165,-3.2658010959625248,2.111382202126763,1.166920761086724,3.0519207992336965,-10.966806909463546,1.7578373778798455,,
1916,-0.5471856984225187,-1.104592982205478,-0.029593006047335557,-5.89606166752902,-7.236634787646207,-4.381634482470425,-3.5504369562322453,-4.078889638727361,-3.0338895624334157,-4.27322907447815,-5.255290842056274,-3.264140558242798,1.8790759124539114,0.9219207324764944,2.8119206466458064,-13.597869378010007,1.7349715112671578,,
