marker,specie,pulse_Gt,arm,horizon,component,median_cm,mean_cm,per_Gt_median,per_Gt_mean,p_fired,smooth_term_cm,premium_cm
M,CO2,0.1,P0p1,2100,total,0.0007297386086406732,0.0007626423933502954,0.007297386086406732,0.007626423933502953,0.0,0.007626423933502953,0.0
M,CO2,0.1,P0p1,2100,ais,7.88426154203492e-5,7.908796987817397e-5,0.000788426154203492,0.0007908796987817397,0.0,0.0007908796987817397,0.0
M,CO2,0.1,P0p1,2150,total,0.0009508625683167793,0.0009954252981175433,0.009508625683167793,0.009954252981175433,0.0,0.009954252981175433,0.0
M,CO2,0.1,P0p1,2150,ais,0.00014929916052608405,0.00015070144303863664,0.0014929916052608405,0.0015070144303863664,0.0,0.0015070144303863664,0.0
M,CO2,0.1,P0p1,2300,total,0.0014379214798054818,0.001708006071543385,0.014379214798054818,0.01708006071543385,0.0,0.01708006071543385,0.0
M,CO2,0.1,P0p1,2300,ais,0.0003805232893085986,0.0003911280929869143,0.0038052328930859858,0.003911280929869143,0.0,0.003911280929869143,0.0
M,CO2,0.3,P0p3,2100,total,0.0021892175660056523,0.0022879298605188816,0.007297391886685508,0.007626432868396272,0.0,0.007626432868396272,0.0
M,CO2,0.3,P0p3,2100,ais,0.00023653038231419288,0.00023726704626999182,0.0007884346077139763,0.0007908901542333061,0.0,0.0007908901542333061,0.0
M,CO2,0.3,P0p3,2150,total,0.002852592397061926,0.0029862781086897883,0.009508641323539754,0.009954260362299294,0.0,0.009954260362299294,0.0
M,CO2,0.3,P0p3,2150,ais,0.0004479028571040544,0.00045210980694417496,0.0014930095236801815,0.0015070326898139167,0.0,0.0015070326898139167,0.0
M,CO2,0.3,P0p3,2300,total,0.00431377835298008,0.005124027117107725,0.014379261176600266,0.017080090390359084,0.0,0.017080090390359084,0.0
M,CO2,0.3,P0p3,2300,ais,0.0011415784186539213,0.0011733974120547626,0.003805261395513071,0.003911324706849208,0.0,0.003911324706849208,0.0
M,CO2,1.0,P1p0,2100,total,0.0072973788555188435,0.007626461873188717,0.0072973788555188435,0.007626461873188717,0.0,0.007626461873188717,0.0
M,CO2,1.0,P1p0,2100,ais,0.0007884643203190933,0.0007909267892719877,0.0007884643203190933,0.0007909267892719877,0.0,0.0007909267892719877,0.0
M,CO2,1.0,P1p0,2150,total,0.009508687343171118,0.009954283630683255,0.009508687343171118,0.009954283630683255,0.0,0.009954283630683255,0.0
M,CO2,1.0,P1p0,2150,ais,0.0014930724058217493,0.0015070966018021863,0.0014930724058217493,0.0015070966018021863,0.0,0.0015070966018021863,0.0
M,CO2,1.0,P1p0,2300,total,0.014379425501488186,0.017080220082965763,0.014379425501488186,0.017080220082965763,0.0,0.017080220082965763,0.0
