ssp,label,pred_int_ours_Kyr,pred_T2300_ours_C,matched_p05_cm,matched_Tarm_p05_cm,matched_p17_cm,matched_Tarm_p17_cm,matched_p50_cm,matched_Tarm_p50_cm,matched_p83_cm,matched_Tarm_p83_cm,matched_p95_cm,matched_Tarm_p95_cm,extrapolated,union_anchors,union_lo_cm,union_hi_cm,band_lo_cm,band_hi_cm,band_rule,lit_lo_cm,lit_hi_cm,source,predictor
ssp126,SSP1-2.6,495.3723643753311,1.7337414776701034,4.798302092506975,4.759978829537494,5.3996831146784015,5.405957105289249,13.767134462332587,14.11896484930028,23.92508886874138,26.638390524130315,25.514106713973963,28.49090885381819,True,SSP1-2.6 r2300+SSP1-2.6 x2300,6.170609415119208,15.880634250010942,6.170609415119208,15.880634250010942,UNION of bracketing anchors (our predictor is below the anchor hull by 10%),5.800000000000001,16.3,"PROTECT-Greenland (Goelzer 2025) doi 10.11582/2025.lf9m2wd0, NORCE-CISM long runs, control-drift-corrected, rel 2015",GSAT integral 2015-2300 (K.yr)
ssp245,SSP2-4.5,790.0410942711337,3.144836911339462,10.585912118283778,11.043678843722441,11.239578371477926,11.999579038372135,15.436905739057494,17.279242569582024,20.811353479170812,23.92662284583661,21.520877244164215,24.793917418111334,False,SSP2-4.5 r2300,10.582843340811474,21.497216235170058,10.585912118283778,21.520877244164215,PCHIP interpolation at our forcing (inside the anchor hull),9.8,21.8,"PROTECT-Greenland (Goelzer 2025) doi 10.11582/2025.lf9m2wd0, NORCE-CISM long runs, control-drift-corrected, rel 2015",GSAT integral 2015-2300 (K.yr)
ssp585,SSP5-8.5,1625.6072547184122,7.797711495025833,42.9168781453884,58.60168014771042,79.36032280089672,100.34030659026438,98.50663957320324,120.17598428526283,138.8540443516838,165.92559939601938,144.988254731883,172.21934831642736,False,SSP5-8.5 r2300,29.774256399390698,108.70498415545973,42.9168781453884,144.988254731883,PCHIP interpolation at our forcing (inside the anchor hull),173.2,312.7,"PROTECT-Greenland (Goelzer 2025) doi 10.11582/2025.lf9m2wd0, NORCE-CISM long runs, control-drift-corrected, rel 2015",GSAT integral 2015-2300 (K.yr)
