arm,years_since_pulse,calendar_year,co2_slr_cm_per_gtco2,ch4_slr_cm_per_tg,co2_slr_cm_per_gtco2_coupled,ch4_slr_cm_per_tg_coupled,co2_dtemp_degc_per_gtco2,ch4_dtemp_degc_per_tg,gwp_basis_headline,ch4_variant,slr_metric_ch4,temp_metric_ch4,slr_over_temp,n_pairs,slr_metric_ch4_gwp100_biogenic,temp_metric_ch4_gwp100_biogenic,slr_metric_ch4_gwp100_fossil,temp_metric_ch4_gwp100_fossil,slr_metric_ch4_gwp20_biogenic,temp_metric_ch4_gwp20_biogenic,prov_model_lineage,prov_dais_integrator,prov_forcing_basis,prov_weighting,prov_units,prov_statistic,prov_code_git_commit
stochastic,20,2050,0.0026256040665680468,0.0003313083017720702,0.0026415398045327226,0.0003340717011975569,0.0003995882806842846,4.0663246321855606e-05,GWP-100 fossil,fossil (time-distributed oxidation CO2),4.234350635325226,3.414861078607275,1.2399774215858215,1682000,4.673468478988583,3.7689948200924737,4.234350635325226,3.414861078607275,1.5832327344126942,1.2768238411856558,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)",INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),d577d0d-DIRTY
stochastic,70,2100,0.014694847393663354,0.0009232733261235689,0.014793105505847143,0.0009339297893737336,0.00036277204833368783,8.772639956743893e-06,GWP-100 fossil,fossil (time-distributed oxidation CO2),2.108380274390981,0.8114844914818795,2.598176917146988,1682000,2.327027117661157,0.8956384387466669,2.108380274390981,0.8114844914818795,0.7883278817672675,0.30341578226047683,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)",INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),d577d0d-DIRTY
stochastic,100,2130,0.021155183650641462,0.001009106558636785,0.021257242062813285,0.0010124530418133934,0.00036577087326158605,6.1272929309018675e-06,GWP-100 fossil,fossil (time-distributed oxidation CO2),1.6006779593633302,0.5621384089668229,2.8474801469361997,1682000,1.7666741921861944,0.6204342439707897,1.6006779593633302,0.5621384089668229,0.5984969032500281,0.21018475015321608,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)",INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),d577d0d-DIRTY
stochastic,120,2150,0.025067722861403213,0.0010412697882761013,0.02514740172557267,0.0010409723247274312,0.0003673199303633909,5.439539898561716e-06,GWP-100 fossil,fossil (time-distributed oxidation CO2),1.393901607939672,0.49693708627328603,2.8049860765938255,1682000,1.538454367281564,0.5484713026275527,1.393901607939672,0.49693708627328603,0.5211827843990242,0.18580583652376315,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)",INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),d577d0d-DIRTY
stochastic,150,2180,0.030520439838801143,0.0010780930539907578,0.03066763680744474,0.001076859920833177,0.00037064254249631026,4.838254582942196e-06,GWP-100 fossil,fossil (time-distributed oxidation CO2),1.1853570738990995,0.43804344543626805,2.706026277184782,1682000,1.3082829926738209,0.4834701731111403,1.1853570738990995,0.43804344543626805,0.44320753829602466,0.1637853785947401,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)",INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),d577d0d-DIRTY
stochastic,270,2300,0.04955989131658274,0.0011877699310470517,0.04998465992834033,0.0011955248138709944,0.0003913037917205557,3.573959837500216e-06,GWP-100 fossil,fossil (time-distributed oxidation CO2),0.8042400884781872,0.3064921442335414,2.6240153413699603,1682000,0.8876427643203695,0.3382765147466493,0.8042400884781872,0.3064921442335414,0.30070708452509376,0.11459806647628021,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),"STOCHASTIC (FaIR internal variability ON, canonical)",INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),d577d0d-DIRTY
deterministic,20,2050,0.0026161134877064523,0.0003294900150496338,0.0026346616257373226,0.00033198827260693737,0.0003997020682856545,4.0652069421099386e-05,GWP-100 fossil,fossil (time-distributed oxidation CO2),4.226388482905864,3.412950574020228,1.238338613830982,1682000,4.66468062187388,3.766886189103807,4.226388482905864,3.412950574020228,1.5802556686398335,1.2761094994454554,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_nonoise_flatsolar',INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),a3bde83-DIRTY
deterministic,70,2100,0.014688268735702495,0.0009207375879725075,0.014793410230481436,0.0009288909978796698,0.0003628461827013253,8.768278913636334e-06,GWP-100 fossil,fossil (time-distributed oxidation CO2),2.1035313999001404,0.8109153725882263,2.594020869509758,1682000,2.321675396926821,0.8950103001158942,2.1035313999001404,0.8109153725882263,0.786514877252499,0.3032029874922101,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_nonoise_flatsolar',INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),a3bde83-DIRTY
deterministic,100,2130,0.021209228662889504,0.001013483136747028,0.02127827102718519,0.0010192026756045945,0.0003658563470289169,6.12565825091636e-06,GWP-100 fossil,fossil (time-distributed oxidation CO2),1.6035237194943022,0.5618571425039552,2.8539705170394165,1682000,1.7698150681826001,0.620123809133995,1.6035237194943022,0.5618571425039552,0.5995609390330012,0.21007958402280885,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_nonoise_flatsolar',INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),a3bde83-DIRTY
deterministic,120,2150,0.025141443312519392,0.001054345987418533,0.025238810762525758,0.0010689164795383247,0.0003674127649810483,5.4388719282294785e-06,GWP-100 fossil,fossil (time-distributed oxidation CO2),1.4072675698462602,0.4967505166089807,2.8329463640075025,1682000,1.5532064289414278,0.5482653849980602,1.4072675698462602,0.4967505166089807,0.5261803460654775,0.1857360777283265,BRICK-AM (Antarctic-Mengel; MimiBRICK v2.0.0 fork + Mengel-2016 glaciers),SUB-ANNUAL (frac patch ACTIVE),DETERMINISTIC (stochastic_run=False + future solar held at trailing 11-yr cycle mean); wide-file suffix '_nonoise_flatsolar',INDEPENDENT (equal-weight) headline; coupled columns = conditional-weighting check,SLR cm; temperature degC; per GtCO2 / per Tg CH4; metrics dimensionless,ensemble MEAN (median is tip-mode fragile),a3bde83-DIRTY
