tag,draw,amp,thresh,peak_shift,se,dll_at_zero
L14,1,0.9817307637557816,-15.624296663963987,0.16819975444424884,0.047286395371085144,0.7776879924906552
L14,2,0.9506673721590008,-16.0188455506816,-0.018345643379264226,0.013982846831938981,0.3993189863404609
L14,3,1.1631664762024263,-15.544931579275298,-0.026203508389528608,0.015577354434514665,0.27728928533279884
L14,4,1.0912955371363389,-15.175544876297455,0.015524646247490807,0.005804753275938908,0.3738263218965301
L14,5,1.0402500116493394,-15.663578498607299,0.04095089378272185,0.02202471065651502,0.10783839874714829
L14,6,1.0087081734687722,-15.500385601620165,0.13603218506813874,0.016171471993139237,0.9449918541922244
L14,7,0.8670551734823377,-15.979390641473351,0.0038859819426309964,0.004729212913360642,0.0
L14,8,0.83275652347695,-15.911405328695443,-0.02441603224314732,0.007304328648889277,1.520086152479081
L14,9,1.1598289086388278,-15.487675097539261,-0.03855790035604563,0.03577756048256985,1.8953500077231809
L14,10,1.0085326130504861,-15.316538604990171,-0.0026603519919829693,0.0243931677005958,0.0
L14,11,0.9960918719925785,-14.971316005057341,-0.12804195963678885,0.029108374062521737,1.0578572685036391
L14,12,1.0091461164565982,-15.675500270997812,-0.05585549913317153,0.015856458750864555,0.5477950983615756
L14,13,0.9928312837024329,-14.940854885132023,0.06299627310334342,0.017439277407490503,0.5967483259864252
L14,14,1.0630523254473276,-15.592683140193552,-0.0056889061680597515,0.05776755241036654,0.0020643918655025573
L14,15,0.9616850641005659,-15.578348872577985,0.10730565650964682,0.040628270867944606,0.9750667029139493
L14,16,0.9259148420175429,-15.48113078637544,-0.09958860079981142,0.029311227916396402,0.9577287643944175
L14,17,0.9792442642511525,-16.049748320217226,-0.013945446218160896,0.012414874030728437,0.5803865967384212
L14,18,0.9270069654416249,-14.909723876667051,0.20291100596461023,0.03808794230465086,0.22860702498320506
L14,19,1.0139024011715545,-15.185344450549474,-0.06935229580238281,0.032894536548361455,0.6711086155243464
L14,20,0.8863320967141601,-15.207535939049954,0.16149980248312143,0.05586043997424015,0.6556968874599818
L14,21,0.8573348972131039,-15.78950348133889,0.20558572831652294,0.010864204144974954,2.339549494347594
L14,22,0.897782474440319,-15.264778184001477,0.002955921989973222,0.00886876320186024,0.0
L14,23,0.8353177674246028,-16.216505282390496,-0.004584837913501099,0.007238493563097673,0.0
L14,24,0.8743487537344564,-16.198230914078398,0.004622171240335698,0.010761033925147488,0.0
L14,25,0.7854797204988528,-15.657944862554684,0.03579968395339549,0.007487177200991984,0.6771722655509649
L14,26,0.8685997590769817,-14.816531158998743,0.16524170779739927,0.006548565337194872,1.209804983219982
L14,27,1.0133769942676656,-15.80130297611681,-0.05577433580282605,0.006996533010124085,0.8953148543936464
L14,28,0.9125732942205104,-15.70201448868031,0.023884959305280777,0.018772319246622187,0.17568231199730633
L14,29,1.099155082181992,-15.38023985409112,NaN,NaN,1.4386832821054867
L14,30,1.1057241074313229,-15.466982595553402,0.003526553979551277,0.011550174278130489,0.0
L14,31,0.9154959873562055,-14.902608357409889,-0.004295217690374294,0.005312658699094845,0.0
L14,32,1.1276642622942463,-15.577880556257693,0.0577078721413906,0.019979074148278392,0.8521985793451989
L14,33,1.0609674180439475,-16.067663835627172,0.055313793026229886,0.01282915035295589,0.30146333179962426
L14,34,0.9730482847967111,-14.98250218600548,-0.037394867018026336,0.009217361564118709,0.17511302506133575
L14,35,1.04819744870553,-15.607920340010152,-0.06635686494119564,0.012186218914074051,0.19707670183531434
L14,36,0.9573910521852889,-15.996431783977547,0.11326647844539285,0.017177367267579888,0.6440315811134667
L14,37,0.8948304482444606,-15.173304625226557,-0.12751402317902585,0.019735149764034437,1.0503127891363278
L14,38,1.0821421559909785,-15.60397921346591,0.01751400872735368,0.05361832968929934,0.05235006909583717
L14,39,1.0155061821997304,-15.701867624173255,-0.06367225521636126,0.04655886636324276,0.396627366331856
L14,40,0.9685912364497737,-15.491298130974293,0.015632505266615894,0.006564472038326667,0.4227480444316427
L14,41,0.7760399012964653,-16.05207083998214,0.0637176795334996,0.01576901230584168,0.3201158733914724
L14,42,0.8323047562997589,-15.454353185387209,-0.12338615276640262,0.014066311717050929,0.1976753771214561
L14,43,0.9950943457870476,-15.270555624119947,-0.15682952453006233,0.009457756566254647,1.3990078279614835
L14,44,0.9899031013327745,-14.90305944138573,0.05373066361269836,0.011526010354616341,1.0101374582510658
L14,45,0.7840192890498617,-15.630223613847035,-0.02634748877467149,0.011963948856840113,0.40005670161338003
