marker,specie,pulse_Gt,component,horizon,n_draws,base_med_cm,pulse_med_cm,paired_med_cm,diff_of_med_cm,paired_mean_cm,paired_p05_cm,paired_p95_cm,per_unit_cm,se_mean_cm,p_fired,smooth_term_cm,premium_cm
ML,CH4,0.01,glaciers,2100,2000,12.696825202798305,12.697783654534323,0.0010184779024475787,0.0009584517360181621,0.0010476649690356731,0.000708808550664397,0.0014707894030778768,0.10184779024475787,5.324558693693635e-6,0.008459571938168847,0.0010382081176238875,9.533504904537743e-6
ML,CH4,0.01,glaciers,2150,2000,18.48371883412337,18.484682845593042,0.0009269576266000001,0.000964011469672954,0.0009483390629449051,0.0006206567367105009,0.001363608452720122,0.09269576266000001,5.130062354171541e-6,0.010243757431629013,0.0009386001660149333,9.736210369329027e-6
ML,CH4,0.01,glaciers,2300,2000,25.291414606489504,25.29212835768501,0.0007148220408819128,0.0007137511955050968,0.0007147329396145805,0.00033303617531679205,0.0011189023679250452,0.07148220408819128,5.312744387603635e-6,0.011451248513674198,0.0007076910397634289,7.046800102155782e-6
ML,CH4,0.01,gis,2100,2000,6.773367563913233,6.77373961241293,0.00033387537126117195,0.00037204849969718623,0.00039319692418797735,7.17577347275622e-5,0.0009347046986984962,0.033387537126117195,6.434826677211742e-6,0.008459571938168847,0.0003898702692189665,3.3267036541123904e-6
ML,CH4,0.01,gis,2150,2000,10.424223251678388,10.424576145231612,0.00037456961576864956,0.00035289355322376537,0.0004447089400920827,8.120454851656689e-5,0.0010670434764925572,0.037456961576864956,7.424703586801612e-6,0.010243757431629013,0.0004403079236412842,4.41806561032734e-6
ML,CH4,0.01,gis,2300,2000,17.822421540552416,17.822719675616298,0.0003973844161286877,0.0002981350638826541,0.00047763031390713097,8.514990485153362e-5,0.001188115904686704,0.03973844161286877,8.047241213826376e-6,0.011451248513674198,0.00047217132095812175,5.459037850239251e-6
ML,CH4,0.01,ais,2100,2000,8.508777846737445,8.50948108202378,7.540644606507385e-7,0.0007032352863358682,0.0076910767175235985,-0.0004981600910293648,0.0010723918002966566,7.540644606507385e-5,0.002086012272390814,0.008459571938168847,0.00013421311505918725,0.008523564332361146
ML,CH4,0.01,ais,2150,2000,13.72438338589521,13.725071317358038,1.3526307041544783e-5,0.0006879314628278621,0.01151760991781916,-0.0005538068875854618,0.001466551005395189,0.0013526307041544783,0.002525358885301794,0.010243757431629013,0.000180799815488898,0.010098598562216966
ML,CH4,0.01,ais,2300,2000,21.522673187989195,21.523253776011252,-2.8743514231877043e-5,0.0005805880220570714,0.010908037224626188,-0.0006706561474214556,0.0016229283816741706,-0.0028743514231877043,0.0023902286924226152,0.011451248513674198,0.0002030819453971195,0.010659584166708666
ML,CH4,0.01,te,2100,2000,17.56605051291028,17.567856670007487,0.0017154954970557412,0.001806157097206551,0.0017929357549519734,0.001013852275041671,0.0028272066431686226,0.17154954970557412,1.2738350563824395e-5,0.008459571938168847,0.0017752416277831591,1.8020153246752866e-5
ML,CH4,0.01,te,2150,2000,21.94549267661243,21.946896846918644,0.0014017991495247628,0.0014041703062126487,0.0014693937965124934,0.0007713127176055324,0.002389473857420832,0.14017991495247628,1.1640681030830168e-5,0.010243757431629013,0.0014519098103164252,1.7215582661705593e-5
ML,CH4,0.01,te,2300,2000,14.720967568489563,14.721705856437653,0.0007728715410371123,0.0007382879480903881,0.0008250490384398945,0.0002783138737385116,0.0015575376728099498,0.07728715410371123,9.01334209533845e-6,0.011451248513674198,0.0008139603217959812,1.1081679969688302e-5
ML,CH4,0.01,lws,2100,2000,2.342515618878139,2.342515618878139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008459571938168847,0.0,0.0
ML,CH4,0.01,lws,2150,2000,4.0429579468315175,4.0429579468315175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010243757431629013,0.0,0.0
ML,CH4,0.01,lws,2300,2000,8.89738572754609,8.89738572754609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011451248513674198,0.0,0.0
ML,CH4,0.01,total,2100,2000,52.51765108338009,52.521300423664826,0.0031386125504084816,0.0036493402847384004,0.01092487436569928,0.0019917657426212544,0.005503163102969921,0.31386125504084816,0.002087065529927239,0.008459571938168847,0.003337533129685261,0.008554444694166545
ML,CH4,0.01,total,2150,2000,74.44524098637348,74.44959173091756,0.0027999908801916717,0.0043507445440837955,0.01438005171736868,0.0016584733968400657,0.005341014406081256,0.2799990880191672,0.002526046510477857,0.010243757431629013,0.0030116177154616026,0.010129968420858303
ML,CH4,0.01,total,2300,2000,93.32302168925966,93.32573468465604,0.0019400998932681546,0.0027129953963793696,0.012925449516587527,0.0009233090262313226,0.004287183205829591,0.19400998932681546,0.00239050358699356,0.011451248513674198,0.002196904627914369,0.010683171684630764
