name,index,comp,mu,sigma,lo,hi,prior_form,note,provenance,p05,p50,p95,mean,description,units
ais_ocean_temperature₀,1,antarctic_icesheet,0.72,0.5,0.5,2.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.5406315607978739,0.8667341384198812,1.5151235653062036,0.9265089813619437,"Initial high-latitude ocean subsurface temperature T_oc,0",°C
antarctic_alpha,2,antarctic_icesheet,0.2196839882373174,0.1952070660173189,0.0059120056057529,0.8617826863647999,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.09906002855072323,0.2662477733596403,0.4183291456591052,0.26646040057309067,"Partition of ocean subsurface temperature into ice flux, α_DAIS",–
antarctic_nu,3,antarctic_icesheet,0.0092327903555548,0.0032077828587749,0.003297731247904,0.0147840089381998,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.006037726350646015,0.0096819013068879,0.013485598398722215,0.00972621885734744,Runoff-decrease-with-height to precipitation constant ν,m⁻¹ᐟ² yr⁻¹ᐟ²
antarctic_temp_threshold,4,antarctic_icesheet,-15.606366876305945,0.4352167909848384,-16.395312161654346,-14.51943308466894,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,-16.196895126222262,-15.583277405084829,-14.900085894260663,-15.571854247656196,Fast-dynamics temperature threshold,°C (DAIS scale)
anto_alpha,5,antarctic_ocean,0.1942008806630639,0.1877318865276388,0.0036199491869242,0.8445067661679276,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.1507782563686224,0.32609126995051935,0.5573162284396433,0.33589519065264656,Antarctic ocean temperature sensitivity a_ANTO,°C °C⁻¹
anto_beta,6,antarctic_ocean,0.8985057675116559,0.5426104483140833,0.0268277397182967,1.952293434600144,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.26998986610196346,1.0654135367199773,1.7576811484481385,1.043108012948323,Antarctic ocean temperature offset b_ANTO,°C
gis_c1,7,greenland_icesheet,0.032766,0.05,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.034679027480649785,0.04632748719435975,0.06884324689030957,0.048265858701071224,Committed-loss sensitivity to regional temperature,m SLE K⁻¹
gis_c0,8,greenland_icesheet,0.040429,0.1,0.0,4.0,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.0453519992940547,0.06141851007324535,0.10533100552839444,0.06685801023686706,Committed loss at zero regional anomaly,m SLE
gis_f,9,greenland_icesheet,0.782569,0.3,0.02,0.98,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.31386353362732394,0.5432425470123705,0.7211186604203118,0.533726716674834,Surface-mass-balance share of the committed loss,–
gis_alpha_f,10,greenland_icesheet,0.0028487,0.02,0.0,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.0016416197166974399,0.0047786199295304504,0.01020728040415472,0.0051894833659885805,"Fast (SMB) channel rate, temperature-dependent part",yr⁻¹ K⁻¹
gis_beta_f,11,greenland_icesheet,0.0073684,0.05,1e-06,0.5,"N(mu, sigma) on [lo, hi]",,ladrillo_prior_posterior_table.py | tag L24 | priors from calibrate_mcmc_ext.jl --dump-priors (tag L24) | posterior parameters_subsample_brick_mengel_L24.csv n=10000 | quantiles 5/50/95 over all draws | commit ea9121a | 2026-09-19 12:14,0.004308234342554481,0.009683019282501249,0.015843109059545432,0.009872185095315603,"Fast (SMB) channel rate, constant part",yr⁻¹
